archive,tarfile,run,lines,branches,ipsm_edges
results-bftpd_ablation_adaptive_full_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1240,480,144
results-bftpd_ablation_adaptive_full_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1248,480,160
results-bftpd_ablation_adaptive_full_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1234,469,156
results-bftpd_ablation_fixed200_full_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1235,471,168
results-bftpd_ablation_fixed200_full_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1271,497,191
results-bftpd_ablation_fixed200_full_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1234,473,185
results-bftpd_ablation_fixed512_full_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1263,486,168
results-bftpd_ablation_fixed512_full_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1206,455,189
results-bftpd_ablation_fixed512_full_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1257,481,146
results-bftpd_ablation_wo_frontier_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1265,491,192
results-bftpd_ablation_wo_frontier_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1280,492,161
results-bftpd_ablation_wo_frontier_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1259,476,146
results-bftpd_ablation_wo_refinement_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1238,475,131
results-bftpd_ablation_wo_refinement_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1239,480,129
results-bftpd_ablation_wo_refinement_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1238,478,167
results-bftpd_ablation_wo_state_prompt_20260318T170856,out-bftpd-chatafl_opt_1.tar.gz,1,1183,438,182
results-bftpd_ablation_wo_state_prompt_20260318T170856,out-bftpd-chatafl_opt_2.tar.gz,2,1273,480,175
results-bftpd_ablation_wo_state_prompt_20260318T170856,out-bftpd-chatafl_opt_3.tar.gz,3,1233,470,180
results-lighttpd1_ablation_adaptive_full_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3830,1846,16
results-lighttpd1_ablation_adaptive_full_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3848,1857,20
results-lighttpd1_ablation_adaptive_full_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3916,1892,13
results-lighttpd1_ablation_fixed200_full_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3892,1866,16
results-lighttpd1_ablation_fixed200_full_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3934,1940,17
results-lighttpd1_ablation_fixed200_full_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3865,1849,14
results-lighttpd1_ablation_fixed512_full_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3918,1906,14
results-lighttpd1_ablation_fixed512_full_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3894,1873,12
results-lighttpd1_ablation_fixed512_full_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3891,1896,13
results-lighttpd1_ablation_wo_frontier_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3917,1911,13
results-lighttpd1_ablation_wo_frontier_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3869,1845,18
results-lighttpd1_ablation_wo_frontier_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3837,1844,15
results-lighttpd1_ablation_wo_refinement_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3898,1885,18
results-lighttpd1_ablation_wo_refinement_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3888,1875,7
results-lighttpd1_ablation_wo_refinement_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3874,1866,11
results-lighttpd1_ablation_wo_state_prompt_20260318T171013,out-lighttpd1-chatafl_opt_1.tar.gz,1,3888,1883,15
results-lighttpd1_ablation_wo_state_prompt_20260318T171013,out-lighttpd1-chatafl_opt_2.tar.gz,2,3852,1825,9
results-lighttpd1_ablation_wo_state_prompt_20260318T171013,out-lighttpd1-chatafl_opt_3.tar.gz,3,3881,1875,17
results-proftpd_ablation_adaptive_full_20260318T170931,out-proftpd-chatafl_opt_1.tar.gz,1,10511,4761,142
results-proftpd_ablation_adaptive_full_20260318T170931,out-proftpd-chatafl_opt_2.tar.gz,2,10027,4467,137
results-proftpd_ablation_adaptive_full_20260318T170931,out-proftpd-chatafl_opt_3.tar.gz,3,10736,4797,187
results-proftpd_ablation_fixed200_full_20260318T170931,out-proftpd-chatafl_opt_1.tar.gz,1,9948,4399,123
