Time,l_per,l_abs,b_per,b_abs
1777098564,19.7,2689,12.9,1394
1777098566,19.8,2693,13.0,1402
1777098567,19.8,2693,13.0,1405
1777098569,20.2,2747,13.4,1453
1777098571,20.2,2747,13.5,1456
1777098572,22.9,3121,15.7,1699
1777098574,23.9,3251,16.6,1788
1777098576,24.2,3302,16.9,1828
1777098578,25.3,3450,18.1,1954
1777098579,25.4,3458,18.2,1964
1777098581,25.4,3458,18.2,1964
1777098583,25.4,3458,18.2,1964
1777098584,25.4,3458,18.2,1965
1777098586,25.4,3458,18.2,1965
1777098588,26.1,3560,18.8,2026
1777098589,26.1,3560,18.8,2026
1777098591,26.1,3560,18.8,2026
1777098593,26.1,3560,18.8,2026
1777098594,26.1,3562,18.8,2031
1777098596,26.1,3562,18.8,2032
1777098598,26.1,3562,18.8,2032
1777098599,26.2,3574,18.9,2044
1777098601,26.2,3576,18.9,2046
1777098602,26.2,3576,18.9,2046
1777098604,26.2,3576,18.9,2046
1777098605,26.2,3576,18.9,2046
1777098607,26.2,3576,18.9,2046
1777098609,26.2,3576,18.9,2046
1777098611,26.2,3576,18.9,2046
1777098612,26.2,3576,18.9,2046
1777098614,26.2,3576,18.9,2046
1777098616,26.2,3576,18.9,2046
1777098618,26.2,3576,18.9,2046
1777098620,26.2,3576,18.9,2046
1777098622,26.3,3581,19.0,2050
1777098623,26.3,3581,19.0,2050
1777098625,26.3,3581,19.0,2050
1777098627,26.3,3581,19.0,2050
1777098628,26.3,3581,19.0,2050
1777098630,26.3,3581,19.0,2050
1777098631,26.3,3581,19.0,2050
1777098633,26.3,3581,19.0,2050
1777098635,26.3,3581,19.0,2050
1777098636,26.3,3581,19.0,2050
1777098638,26.3,3581,19.0,2050
1777098639,26.3,3581,19.0,2050
1777098641,26.3,3581,19.0,2050
1777098643,26.3,3581,19.0,2050
1777098644,26.3,3581,19.0,2050
1777098645,26.3,3581,19.0,2050
1777098647,26.3,3581,19.0,2050
1777098649,26.3,3581,19.0,2050
1777098650,26.3,3581,19.0,2050
1777098652,26.3,3581,19.0,2050
1777098653,26.3,3581,19.0,2050
1777098655,26.4,3593,19.2,2069
1777098657,26.4,3593,19.2,2069
1777098659,26.4,3593,19.2,2069
1777098661,26.4,3593,19.2,2071
1777098662,26.4,3597,19.2,2072
1777098664,26.4,3597,19.2,2073
1777098665,26.4,3597,19.2,2073
1777098667,26.4,3597,19.2,2073
1777098669,26.4,3597,19.2,2074
1777098670,27.0,3676,19.9,2152
1777098672,28.0,3816,20.5,2215
1777098673,28.1,3823,20.5,2219
1777098675,28.1,3833,20.6,2223
1777098676,28.1,3833,20.6,2223
1777098678,28.1,3833,20.6,2228
1777098679,28.1,3833,20.6,2228
1777098680,28.1,3833,20.6,2228
1777098682,28.1,3833,20.6,2228
1777098683,28.1,3833,20.6,2228
1777098685,28.1,3833,20.6,2228
1777098686,28.7,3909,21.2,2289
1777098688,28.7,3909,21.2,2290
1777098689,28.7,3909,21.2,2290
1777098691,28.7,3909,21.2,2290
1777098692,28.7,3909,21.2,2290
1777098694,28.7,3909,21.2,2290
1777098695,28.7,3909,21.2,2290
1777098697,28.7,3909,21.2,2290
1777098698,28.7,3909,21.2,2290
1777098700,28.7,3909,21.2,2290
1777098701,28.7,3909,21.2,2290
1777098703,28.7,3909,21.2,2290
1777098704,28.8,3919,21.3,2297
1777098706,28.8,3919,21.3,2297
1777098707,28.8,3919,21.3,2297
1777098709,29.9,4072,22.3,2405
1777098710,29.9,4072,22.3,2405
1777097986,30.3,4134,22.9,2475
1777098056,30.4,4145,23.0,2489
1777098127,30.4,4148,23.1,2492
1777098197,30.4,4148,23.1,2493
1777098267,30.5,4151,23.1,2499
1777098339,30.5,4153,23.2,2502
1777098413,30.5,4153,23.2,2502
1777098489,30.5,4153,23.2,2502
1777098563,30.5,4153,23.2,2502
1777098630,30.5,4153,23.2,2502
1777098692,30.5,4153,23.2,2508
1777098770,30.6,4163,23.3,2516
1777099002,30.8,4197,23.5,2544
1777099368,30.9,4205,23.6,2551
1777100117,30.9,4210,23.6,2554
1777100931,31.1,4243,23.8,2567
1777101346,31.4,4279,24.0,2588
1777102369,31.5,4292,24.0,2597
1777103412,31.7,4314,24.3,2626
1777104062,31.8,4326,24.5,2644
1777106021,31.8,4327,24.5,2645
1777106425,31.8,4328,24.5,2646
