Time,l_per,l_abs,b_per,b_abs
1777098638,19.7,2689,12.9,1394
1777098639,19.8,2693,13.0,1402
1777098641,19.8,2693,13.0,1405
1777098642,20.0,2731,13.3,1435
1777098644,20.2,2747,13.5,1456
1777098645,22.9,3126,15.8,1707
1777098647,23.9,3257,16.6,1797
1777098649,24.3,3305,17.0,1836
1777098651,25.3,3449,18.1,1958
1777098653,25.4,3457,18.2,1968
1777098654,25.4,3457,18.2,1968
1777098656,25.4,3457,18.2,1968
1777098657,25.4,3457,18.2,1969
1777098659,25.4,3461,18.3,1973
1777098661,26.1,3562,18.8,2030
1777098662,26.1,3562,18.8,2030
1777098664,26.1,3562,18.8,2030
1777098666,26.1,3562,18.8,2030
1777098667,26.2,3564,18.8,2035
1777098669,26.2,3564,18.8,2036
1777098670,26.2,3564,18.8,2036
1777098672,26.2,3576,19.0,2049
1777098674,26.3,3578,19.0,2051
1777098675,26.3,3578,19.0,2051
1777098677,26.3,3578,19.0,2051
1777098678,26.3,3578,19.0,2051
1777098680,26.3,3578,19.0,2051
1777098682,26.3,3578,19.0,2051
1777098683,26.3,3578,19.0,2051
1777098685,26.3,3578,19.0,2051
1777098687,26.3,3578,19.0,2051
1777098688,26.3,3578,19.0,2051
1777098690,26.3,3578,19.0,2051
1777098692,26.3,3578,19.0,2051
1777098694,26.3,3583,19.0,2055
1777098695,26.3,3583,19.0,2055
1777098697,26.3,3583,19.0,2055
1777098699,26.3,3583,19.0,2055
1777098700,26.3,3583,19.0,2055
1777098702,26.3,3583,19.0,2055
1777098703,26.3,3583,19.0,2055
1777098705,26.3,3583,19.0,2055
1777098707,26.3,3583,19.0,2055
1777098708,26.3,3583,19.0,2055
1777098710,26.3,3583,19.0,2055
1777098711,26.3,3583,19.0,2055
1777098713,26.3,3583,19.0,2055
1777098715,26.3,3583,19.0,2055
1777098716,26.3,3583,19.0,2055
1777098718,26.3,3583,19.0,2055
1777098719,26.3,3583,19.0,2055
1777098721,26.3,3583,19.0,2055
1777098722,26.3,3583,19.0,2055
1777098724,26.3,3583,19.0,2055
1777098726,26.3,3583,19.0,2055
1777098728,26.4,3593,19.2,2071
1777098729,26.4,3593,19.2,2071
1777098731,26.4,3593,19.2,2071
1777098733,26.4,3593,19.2,2073
1777098735,26.4,3597,19.2,2074
1777098736,26.4,3597,19.2,2075
1777098738,26.4,3597,19.2,2075
1777098739,26.4,3597,19.2,2077
1777098741,26.4,3597,19.2,2077
1777098742,26.6,3623,19.3,2086
1777098744,27.8,3789,20.2,2178
1777098745,28.0,3809,20.3,2190
1777098747,28.7,3911,20.9,2260
1777098748,28.8,3927,21.0,2265
1777098750,28.8,3927,21.0,2265
1777098751,28.8,3927,21.0,2265
1777098753,28.8,3927,21.0,2265
1777098754,28.8,3927,21.0,2266
1777098756,28.8,3927,21.0,2266
1777098757,28.8,3927,21.0,2266
1777098759,28.8,3927,21.0,2266
1777098760,28.8,3927,21.0,2266
1777098762,29.3,3995,21.5,2320
1777098763,29.3,3995,21.5,2320
1777098764,29.5,4021,21.7,2339
1777098766,29.5,4021,21.7,2339
1777098767,29.5,4021,21.7,2339
1777098769,29.5,4021,21.7,2339
1777098770,29.5,4021,21.7,2339
1777098772,29.5,4021,21.7,2339
1777098773,29.5,4021,21.7,2339
1777098775,29.5,4021,21.7,2339
1777098776,29.5,4021,21.7,2339
1777098778,29.5,4021,21.7,2339
1777098779,29.5,4021,21.7,2339
1777098781,29.5,4021,21.7,2339
1777098782,29.5,4021,21.7,2339
1777098063,30.1,4105,22.5,2435
1777098135,30.1,4105,22.6,2437
1777098204,30.1,4105,22.6,2437
1777098276,30.1,4105,22.6,2438
1777098346,30.1,4106,22.6,2440
1777098421,30.2,4112,22.6,2446
1777098494,30.2,4112,22.6,2446
1777098567,30.2,4118,22.7,2451
1777098638,30.2,4118,22.7,2451
1777098703,30.2,4118,22.7,2451
1777098766,30.2,4118,22.7,2451
1777098847,30.3,4126,22.8,2458
1777099021,30.5,4152,23.0,2481
1777099298,30.5,4162,23.0,2489
1777099736,30.6,4170,23.1,2494
1777100325,31.1,4233,23.6,2549
1777101281,31.2,4249,23.7,2558
1777101963,31.4,4284,24.1,2601
1777103049,31.6,4306,24.2,2616
1777104109,31.7,4320,24.4,2635
1777106257,31.8,4330,24.5,2646
1777106438,31.8,4330,24.5,2647
