Time,l_per,l_abs,b_per,b_abs
1777098468,19.7,2689,12.9,1394
1777098470,19.9,2707,13.1,1413
1777098471,19.9,2710,13.1,1417
1777098473,20.2,2750,13.5,1454
1777098475,20.2,2750,13.5,1457
1777098477,22.9,3126,15.8,1707
1777098478,23.9,3257,16.6,1797
1777098480,24.3,3305,17.0,1836
1777098482,25.3,3449,18.1,1958
1777098484,25.4,3457,18.2,1968
1777098486,25.4,3457,18.2,1968
1777098487,25.4,3457,18.2,1968
1777098489,25.4,3457,18.2,1969
1777098490,25.4,3461,18.3,1973
1777098492,26.1,3562,18.8,2030
1777098494,26.1,3562,18.8,2030
1777098496,26.1,3562,18.8,2030
1777098497,26.1,3562,18.8,2030
1777098499,26.2,3564,18.8,2035
1777098501,26.2,3564,18.8,2036
1777098502,26.2,3564,18.8,2036
1777098504,26.2,3576,19.0,2049
1777098506,26.3,3578,19.0,2051
1777098507,26.3,3578,19.0,2051
1777098509,26.3,3578,19.0,2051
1777098510,26.3,3578,19.0,2051
1777098512,26.3,3578,19.0,2051
1777098514,26.3,3578,19.0,2051
1777098515,26.3,3578,19.0,2051
1777098517,26.3,3578,19.0,2051
1777098519,26.3,3578,19.0,2051
1777098521,26.3,3578,19.0,2051
1777098523,26.3,3578,19.0,2051
1777098525,26.3,3578,19.0,2051
1777098526,26.3,3583,19.0,2055
1777098528,26.3,3583,19.0,2055
1777098530,26.3,3583,19.0,2055
1777098531,26.3,3583,19.0,2055
1777098533,26.3,3583,19.0,2055
1777098534,26.3,3583,19.0,2055
1777098536,26.3,3583,19.0,2055
1777098538,26.3,3583,19.0,2055
1777098539,26.3,3583,19.0,2055
1777098541,26.3,3583,19.0,2055
1777098542,26.3,3583,19.0,2055
1777098544,26.3,3583,19.0,2055
1777098545,26.3,3583,19.0,2055
1777098547,26.3,3583,19.0,2055
1777098549,26.3,3583,19.0,2055
1777098550,26.3,3583,19.0,2055
1777098552,26.3,3583,19.0,2055
1777098553,26.3,3583,19.0,2055
1777098555,26.3,3583,19.0,2055
1777098556,26.3,3583,19.0,2055
1777098558,26.3,3583,19.0,2055
1777098560,26.4,3593,19.2,2071
1777098562,26.4,3593,19.2,2071
1777098564,26.4,3593,19.2,2071
1777098566,26.4,3593,19.2,2073
1777098567,26.4,3597,19.2,2074
1777098569,26.4,3597,19.2,2075
1777098571,26.4,3597,19.2,2075
1777098572,26.4,3603,19.3,2090
1777098574,26.6,3629,19.4,2099
1777098576,26.6,3631,19.4,2100
1777098577,27.6,3755,20.0,2157
1777098579,27.7,3776,20.1,2169
1777098580,27.7,3776,20.1,2169
1777098582,27.7,3776,20.1,2169
1777098583,28.0,3814,20.3,2194
1777098584,28.0,3815,20.3,2196
1777098586,28.0,3815,20.3,2196
1777098588,28.0,3815,20.3,2196
1777098589,28.0,3815,20.3,2196
1777098591,28.0,3815,20.3,2196
1777098592,28.4,3867,20.7,2239
1777098593,28.4,3867,20.7,2239
1777098595,29.2,3972,21.5,2324
1777098596,29.2,3980,21.6,2329
1777098598,29.2,3980,21.6,2329
1777098599,29.2,3980,21.6,2329
1777098601,29.2,3980,21.6,2329
1777098602,29.6,4035,22.0,2372
1777098604,29.6,4035,22.0,2372
1777098605,29.6,4035,22.0,2372
1777098607,29.6,4035,22.0,2372
1777098608,30.0,4090,22.4,2420
1777098610,30.0,4090,22.4,2420
1777098611,30.0,4090,22.4,2420
1777098613,30.0,4090,22.4,2420
1777098615,30.0,4090,22.4,2420
1777098616,30.0,4090,22.4,2420
1777097893,30.7,4180,23.3,2522
1777097963,30.7,4180,23.4,2524
1777098035,30.7,4184,23.4,2528
1777098107,30.7,4184,23.4,2528
1777098179,30.7,4184,23.4,2528
1777098250,30.7,4186,23.4,2530
1777098323,30.7,4187,23.4,2531
1777098394,30.7,4187,23.4,2531
1777098467,30.7,4187,23.4,2532
1777098534,30.7,4187,23.5,2538
1777098598,30.7,4187,23.5,2538
1777098672,30.9,4204,23.7,2555
1777098820,31.0,4222,23.8,2569
1777099211,31.0,4226,23.8,2572
1777099758,31.1,4236,23.9,2581
1777100386,31.1,4244,23.9,2586
1777101124,31.3,4269,24.1,2607
1777101497,31.6,4312,24.3,2629
1777102184,31.8,4333,24.6,2653
