Time,l_per,l_abs,b_per,b_abs
1777098505,19.7,2689,12.9,1394
1777098506,19.8,2693,13.0,1402
1777098508,19.8,2702,13.1,1412
1777098509,20.2,2747,13.4,1453
1777098511,20.2,2747,13.5,1456
1777098513,22.9,3121,15.7,1699
1777098514,24.0,3266,16.7,1800
1777098516,24.3,3314,17.0,1839
1777098518,25.3,3451,18.1,1956
1777098520,25.4,3459,18.2,1966
1777098522,25.4,3459,18.2,1966
1777098523,25.4,3459,18.2,1966
1777098525,25.4,3459,18.2,1967
1777098527,25.4,3459,18.2,1967
1777098529,26.1,3560,18.8,2026
1777098530,26.1,3560,18.8,2026
1777098532,26.1,3560,18.8,2026
1777098533,26.1,3560,18.8,2026
1777098535,26.1,3562,18.8,2031
1777098537,26.1,3562,18.8,2032
1777098538,26.1,3562,18.8,2032
1777098540,26.2,3574,18.9,2044
1777098542,26.2,3576,18.9,2046
1777098543,26.2,3576,18.9,2046
1777098545,26.2,3576,18.9,2046
1777098546,26.2,3576,18.9,2046
1777098548,26.2,3576,18.9,2046
1777098550,26.2,3576,18.9,2046
1777098551,26.2,3576,18.9,2046
1777098553,26.2,3576,18.9,2046
1777098555,26.2,3576,18.9,2046
1777098556,26.2,3576,18.9,2046
1777098558,26.2,3576,18.9,2046
1777098560,26.2,3576,18.9,2046
1777098562,26.3,3581,19.0,2050
1777098564,26.3,3581,19.0,2050
1777098565,26.3,3581,19.0,2050
1777098567,26.3,3581,19.0,2050
1777098569,26.3,3581,19.0,2050
1777098570,26.3,3581,19.0,2050
1777098572,26.3,3581,19.0,2050
1777098573,26.3,3581,19.0,2050
1777098575,26.3,3581,19.0,2050
1777098576,26.3,3581,19.0,2050
1777098578,26.3,3581,19.0,2050
1777098580,26.3,3581,19.0,2050
1777098581,26.3,3581,19.0,2050
1777098583,26.3,3581,19.0,2050
1777098584,26.3,3581,19.0,2050
1777098586,26.3,3581,19.0,2050
1777098587,26.3,3581,19.0,2050
1777098589,26.3,3581,19.0,2050
1777098591,26.3,3581,19.0,2050
1777098592,26.3,3581,19.0,2050
1777098594,26.3,3581,19.0,2050
1777098596,26.4,3593,19.2,2069
1777098598,26.4,3593,19.2,2069
1777098600,26.4,3593,19.2,2069
1777098602,26.4,3593,19.2,2071
1777098603,26.4,3597,19.2,2072
1777098605,26.4,3597,19.2,2073
1777098607,26.4,3597,19.2,2073
1777098608,26.4,3600,19.2,2075
1777098610,26.6,3626,19.3,2082
1777098612,26.7,3635,19.4,2091
1777098613,28.0,3816,20.3,2193
1777098615,28.4,3866,20.6,2223
1777098616,28.4,3876,20.6,2229
1777098618,28.4,3876,20.6,2230
1777098619,28.4,3876,20.6,2230
1777098621,28.4,3876,20.6,2230
1777098622,29.3,3997,21.7,2340
1777098624,29.3,3997,21.7,2340
1777098626,29.3,3997,21.7,2340
1777098627,29.3,3997,21.7,2341
1777098629,29.3,3997,21.7,2341
1777098630,29.3,3997,21.7,2341
1777098632,29.6,4033,21.9,2371
1777098633,29.6,4033,21.9,2371
1777098635,29.6,4033,21.9,2371
1777098636,29.6,4033,21.9,2371
1777098638,29.6,4033,21.9,2371
1777098639,29.6,4033,21.9,2371
1777098641,29.6,4033,21.9,2371
1777098642,29.6,4033,21.9,2371
1777098643,29.6,4033,21.9,2371
1777098645,29.6,4033,21.9,2371
1777098646,29.6,4033,21.9,2371
1777098648,30.1,4101,22.5,2426
1777098649,30.1,4101,22.5,2426
1777098651,30.2,4118,22.5,2435
1777098652,30.2,4118,22.5,2435
1777097927,30.8,4200,23.4,2529
1777097999,30.8,4201,23.4,2532
1777098069,30.9,4205,23.5,2536
1777098140,30.9,4205,23.5,2536
1777098213,30.9,4205,23.5,2538
1777098284,30.9,4205,23.5,2538
1777098357,30.9,4205,23.5,2538
1777098430,30.9,4207,23.5,2540
1777098503,30.9,4207,23.5,2540
1777098570,30.9,4207,23.5,2540
1777098635,30.9,4207,23.5,2540
1777098712,31.0,4222,23.7,2555
1777098879,31.1,4243,23.8,2569
1777099139,31.2,4250,23.8,2575
1777099701,31.3,4265,23.9,2586
1777100338,31.4,4280,24.0,2597
1777101105,31.6,4312,24.2,2609
1777101479,31.9,4346,24.4,2636
1777102206,31.9,4349,24.4,2641
1777103947,31.9,4351,24.5,2644
1777105589,31.9,4352,24.5,2645
1777106444,32.0,4354,24.5,2647
