Time,l_per,l_abs,b_per,b_abs
1777098482,19.7,2689,12.9,1394
1777098484,19.8,2693,13.0,1402
1777098485,19.8,2693,13.0,1405
1777098487,20.1,2734,13.3,1436
1777098489,20.1,2734,13.3,1439
1777098490,22.9,3124,15.7,1700
1777098492,23.9,3254,16.6,1789
1777098494,24.2,3302,16.9,1828
1777098496,25.3,3450,18.1,1954
1777098497,25.4,3458,18.2,1964
1777098499,25.4,3458,18.2,1964
1777098501,25.4,3458,18.2,1964
1777098502,25.4,3458,18.2,1965
1777098504,25.4,3458,18.2,1965
1777098506,26.1,3556,18.7,2021
1777098508,26.1,3556,18.7,2021
1777098509,26.1,3556,18.7,2021
1777098511,26.1,3556,18.7,2021
1777098513,26.1,3558,18.8,2026
1777098514,26.1,3558,18.8,2027
1777098516,26.1,3558,18.8,2027
1777098518,26.2,3570,18.9,2039
1777098519,26.2,3572,18.9,2041
1777098521,26.2,3572,18.9,2041
1777098523,26.2,3572,18.9,2041
1777098524,26.2,3572,18.9,2041
1777098526,26.2,3572,18.9,2041
1777098528,26.2,3572,18.9,2041
1777098529,26.2,3573,18.9,2045
1777098531,26.2,3573,18.9,2045
1777098533,26.2,3573,18.9,2045
1777098535,26.2,3573,18.9,2045
1777098536,26.2,3573,18.9,2045
1777098538,26.2,3573,18.9,2045
1777098540,26.3,3578,19.0,2049
1777098542,26.3,3578,19.0,2049
1777098543,26.3,3578,19.0,2049
1777098545,26.3,3578,19.0,2049
1777098546,26.3,3578,19.0,2049
1777098548,26.3,3578,19.0,2049
1777098550,26.3,3578,19.0,2049
1777098551,26.3,3578,19.0,2049
1777098553,26.3,3578,19.0,2049
1777098554,26.3,3578,19.0,2049
1777098556,26.3,3578,19.0,2049
1777098558,26.3,3578,19.0,2049
1777098559,26.3,3578,19.0,2049
1777098561,26.3,3578,19.0,2049
1777098563,26.3,3578,19.0,2049
1777098564,26.3,3578,19.0,2049
1777098566,26.3,3578,19.0,2049
1777098567,26.3,3578,19.0,2049
1777098569,26.3,3578,19.0,2049
1777098570,26.3,3578,19.0,2049
1777098572,26.3,3578,19.0,2049
1777098574,26.3,3590,19.1,2068
1777098576,26.3,3590,19.1,2068
1777098578,26.3,3590,19.1,2068
1777098580,26.3,3590,19.2,2070
1777098581,26.4,3594,19.2,2071
1777098583,26.4,3594,19.2,2072
1777098585,26.4,3594,19.2,2072
1777098586,26.8,3651,19.6,2116
1777098588,26.8,3651,19.6,2119
1777098589,26.8,3651,19.6,2120
1777098591,27.8,3788,20.2,2185
1777098592,27.8,3788,20.2,2185
1777098594,27.9,3798,20.3,2189
1777098595,27.9,3798,20.3,2189
1777098597,27.9,3808,20.3,2192
1777098598,27.9,3808,20.3,2192
1777098600,27.9,3808,20.3,2192
1777098602,27.9,3808,20.3,2192
1777098603,27.9,3808,20.3,2192
1777098605,27.9,3808,20.3,2192
1777098606,27.9,3808,20.3,2192
1777098608,27.9,3808,20.3,2192
1777098609,27.9,3808,20.3,2192
1777098611,27.9,3808,20.3,2192
1777098612,27.9,3808,20.3,2192
1777098614,27.9,3808,20.3,2192
1777098615,27.9,3808,20.3,2192
1777098617,27.9,3808,20.3,2192
1777098618,29.0,3946,21.4,2312
1777098620,29.0,3946,21.4,2312
1777098621,29.0,3946,21.4,2312
1777098623,29.0,3946,21.4,2312
1777098624,29.0,3946,21.4,2312
1777098626,29.0,3946,21.4,2312
1777098627,29.0,3946,21.4,2312
1777098629,29.0,3946,21.4,2312
1777098630,29.0,3946,21.4,2312
1777097905,29.6,4032,22.3,2411
1777097977,29.7,4041,22.4,2420
1777098046,29.7,4041,22.4,2420
1777098119,29.7,4045,22.4,2424
1777098190,29.7,4045,22.4,2425
1777098264,29.7,4045,22.5,2428
1777098335,29.7,4045,22.5,2428
1777098408,29.7,4045,22.5,2429
1777098481,29.7,4045,22.5,2429
1777098548,29.7,4045,22.5,2429
1777098612,29.7,4045,22.5,2429
1777098692,29.7,4053,22.5,2436
1777098925,30.0,4086,22.8,2462
1777099314,30.1,4098,22.9,2472
1777099891,30.1,4103,22.9,2476
1777100928,30.2,4110,23.0,2483
1777101349,30.7,4178,23.3,2513
1777102748,30.7,4181,23.4,2524
1777104053,30.8,4191,23.5,2535
1777104798,30.8,4198,23.7,2556
1777106425,30.9,4206,23.7,2562
