subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
forked-daapd,chatafl_opt,1,out-forked-daapd-chatafl_opt_1.tar.gz,1476,1476,8309,2629,8,22,1780342686,1780431265,completed,completed,0,
forked-daapd,chatafl_opt,2,out-forked-daapd-chatafl_opt_2.tar.gz,1476,1476,6946,2209,8,20,1780343945,1780432546,completed,,,
forked-daapd,chatafl_opt,3,out-forked-daapd-chatafl_opt_3.tar.gz,1473,1473,6321,2020,8,21,1780344741,1780433147,completed,,,
forked-daapd,chatafl_opt,4,out-forked-daapd-chatafl_opt_4.tar.gz,1476,1476,6429,2056,10,34,1780344910,1780433487,completed,,,
forked-daapd,chatafl_opt,5,out-forked-daapd-chatafl_opt_5.tar.gz,1475,1475,6393,2060,9,22,1780345768,1780434275,completed,,,
forked-daapd,chatafl_opt,6,out-forked-daapd-chatafl_opt_6.tar.gz,1473,1473,6309,2011,8,20,1780346159,1780434575,completed,,,
forked-daapd,chatafl_opt,7,out-forked-daapd-chatafl_opt_7.tar.gz,1472,1472,6218,1980,8,24,1780347296,1780435637,completed,,,
forked-daapd,chatafl_opt,8,out-forked-daapd-chatafl_opt_8.tar.gz,1475,1475,6224,1983,8,20,1780347931,1780436469,completed,,,
forked-daapd,chatafl_opt,9,out-forked-daapd-chatafl_opt_9.tar.gz,1472,1472,2006,704,8,22,1780348573,1780436909,completed,,,
forked-daapd,chatafl_opt,10,out-forked-daapd-chatafl_opt_10.tar.gz,1477,1477,6143,1949,8,21,1780349198,1780437859,completed,,,
