subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
forked-daapd,chatafl_opt,1,out-forked-daapd-chatafl_opt_1.tar.gz,1473,1473,7579,2379,8,21,1780342844,1780431266,completed,completed,0,
forked-daapd,chatafl_opt,2,out-forked-daapd-chatafl_opt_2.tar.gz,1476,1476,7016,2223,8,20,1780343968,1780432547,completed,,,
forked-daapd,chatafl_opt,3,out-forked-daapd-chatafl_opt_3.tar.gz,1476,1476,7161,2291,8,20,1780344558,1780433149,completed,,,
forked-daapd,chatafl_opt,4,out-forked-daapd-chatafl_opt_4.tar.gz,1477,1477,7641,2399,8,20,1780344831,1780433489,completed,,,
forked-daapd,chatafl_opt,5,out-forked-daapd-chatafl_opt_5.tar.gz,1473,1473,6219,1982,9,19,1780345861,1780434275,completed,,,
forked-daapd,chatafl_opt,6,out-forked-daapd-chatafl_opt_6.tar.gz,1473,1473,6218,1981,8,22,1780346186,1780434575,completed,,,
forked-daapd,chatafl_opt,7,out-forked-daapd-chatafl_opt_7.tar.gz,1477,1477,6219,1982,9,19,1780346994,1780435639,completed,,,
forked-daapd,chatafl_opt,8,out-forked-daapd-chatafl_opt_8.tar.gz,1472,1472,6217,1982,8,19,1780348119,1780436469,completed,,,
forked-daapd,chatafl_opt,9,out-forked-daapd-chatafl_opt_9.tar.gz,1476,1476,6158,1952,8,21,1780348295,1780436910,completed,,,
forked-daapd,chatafl_opt,10,out-forked-daapd-chatafl_opt_10.tar.gz,1477,1477,2292,829,9,21,1780349230,1780437859,completed,,,
