subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
forked-daapd,chatafl_opt,1,out-forked-daapd-chatafl_opt_1.tar.gz,1476,1476,8403,2646,8,22,1780342646,1780431265,completed,completed,0,
forked-daapd,chatafl_opt,2,out-forked-daapd-chatafl_opt_2.tar.gz,1476,1476,7807,2465,10,21,1780343962,1780432546,completed,,,
forked-daapd,chatafl_opt,3,out-forked-daapd-chatafl_opt_3.tar.gz,1476,1476,7221,2291,8,20,1780344572,1780433147,completed,,,
forked-daapd,chatafl_opt,4,out-forked-daapd-chatafl_opt_4.tar.gz,1477,1477,7520,2382,8,22,1780344809,1780433487,completed,,,
forked-daapd,chatafl_opt,5,out-forked-daapd-chatafl_opt_5.tar.gz,1477,1477,6523,2069,8,19,1780345643,1780434275,completed,,,
forked-daapd,chatafl_opt,6,out-forked-daapd-chatafl_opt_6.tar.gz,1473,1473,6342,2025,9,22,1780346149,1780434574,completed,,,
forked-daapd,chatafl_opt,7,out-forked-daapd-chatafl_opt_7.tar.gz,1472,1472,6219,1986,8,21,1780347294,1780435633,completed,,,
forked-daapd,chatafl_opt,8,out-forked-daapd-chatafl_opt_8.tar.gz,1475,1475,6190,1962,8,22,1780347940,1780436471,completed,,,
forked-daapd,chatafl_opt,9,out-forked-daapd-chatafl_opt_9.tar.gz,1475,1475,6190,1962,8,18,1780348394,1780436905,completed,,,
forked-daapd,chatafl_opt,10,out-forked-daapd-chatafl_opt_10.tar.gz,1477,1477,6218,1975,8,21,1780349214,1780437854,completed,,,
