subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
kamailio,chatafl_opt,1,out-kamailio-chatafl_opt_1.tar.gz,1475,1475,17637,10886,16,148,1780241032,1780329571,completed,completed,0,
kamailio,chatafl_opt,2,out-kamailio-chatafl_opt_2.tar.gz,1474,1474,17002,10393,16,136,1780248690,1780337170,completed,,,
kamailio,chatafl_opt,3,out-kamailio-chatafl_opt_3.tar.gz,1476,1476,17475,10592,14,149,1780249463,1780338051,completed,,,
kamailio,chatafl_opt,4,out-kamailio-chatafl_opt_4.tar.gz,1476,1476,16906,10190,15,118,1780249794,1780338367,completed,,,
kamailio,chatafl_opt,5,out-kamailio-chatafl_opt_5.tar.gz,1476,1476,17130,10446,19,156,1780251315,1780339892,completed,,,
kamailio,chatafl_opt,6,out-kamailio-chatafl_opt_6.tar.gz,1475,1475,16591,9952,17,113,1780275529,1780364078,completed,,,
kamailio,chatafl_opt,7,out-kamailio-chatafl_opt_7.tar.gz,1476,1476,16550,9872,14,121,1780311567,1780400153,completed,,,
kamailio,chatafl_opt,8,out-kamailio-chatafl_opt_8.tar.gz,1475,1475,16608,9910,19,134,1780312329,1780400869,completed,,,
kamailio,chatafl_opt,9,out-kamailio-chatafl_opt_9.tar.gz,1475,1475,17118,10462,18,142,1780342442,1780430996,completed,,,
kamailio,chatafl_opt,10,out-kamailio-chatafl_opt_10.tar.gz,1475,1475,17211,10635,15,121,1780343866,1780432405,completed,,,
kamailio,chatafl_opt,11,out-kamailio-chatafl_opt_11.tar.gz,1474,1474,17002,10393,16,136,1780248690,1780337170,completed,,,
kamailio,chatafl_opt,12,out-kamailio-chatafl_opt_12.tar.gz,1476,1476,17475,10592,14,149,1780249463,1780338051,completed,,,
kamailio,chatafl_opt,13,out-kamailio-chatafl_opt_13.tar.gz,1476,1476,16906,10190,15,118,1780249794,1780338367,completed,,,
kamailio,chatafl_opt,14,out-kamailio-chatafl_opt_14.tar.gz,1476,1476,17130,10446,19,156,1780251315,1780339892,completed,,,
kamailio,chatafl_opt,15,out-kamailio-chatafl_opt_15.tar.gz,1475,1475,16591,9952,17,113,1780275529,1780364078,completed,,,
kamailio,chatafl_opt,16,out-kamailio-chatafl_opt_16.tar.gz,1476,1476,16550,9872,14,121,1780311567,1780400153,completed,,,
kamailio,chatafl_opt,17,out-kamailio-chatafl_opt_17.tar.gz,1475,1475,16608,9910,19,134,1780312329,1780400869,completed,,,
kamailio,chatafl_opt,18,out-kamailio-chatafl_opt_18.tar.gz,1475,1475,17118,10462,18,142,1780342442,1780430996,completed,,,
kamailio,chatafl_opt,19,out-kamailio-chatafl_opt_19.tar.gz,1475,1475,17211,10635,15,121,1780343866,1780432405,completed,,,
