subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
kamailio,chatafl_opt,1,out-kamailio-chatafl_opt_1.tar.gz,1475,1475,17238,10681,17,137,1780241030,1780329571,completed,completed,0,
kamailio,chatafl_opt,2,out-kamailio-chatafl_opt_2.tar.gz,1476,1476,17575,10748,15,150,1780248572,1780337170,completed,,,
kamailio,chatafl_opt,3,out-kamailio-chatafl_opt_3.tar.gz,1476,1476,16882,10229,17,166,1780249475,1780338051,completed,,,
kamailio,chatafl_opt,4,out-kamailio-chatafl_opt_4.tar.gz,1475,1475,16880,10225,14,134,1780249842,1780338367,completed,,,
kamailio,chatafl_opt,5,out-kamailio-chatafl_opt_5.tar.gz,1476,1476,16919,10339,16,137,1780251298,1780339891,completed,,,
kamailio,chatafl_opt,6,out-kamailio-chatafl_opt_6.tar.gz,1475,1475,17151,10251,16,135,1780275545,1780364078,completed,,,
kamailio,chatafl_opt,7,out-kamailio-chatafl_opt_7.tar.gz,1476,1476,16775,9959,15,114,1780311574,1780400152,completed,,,
kamailio,chatafl_opt,8,out-kamailio-chatafl_opt_8.tar.gz,1476,1476,16453,9811,14,129,1780312291,1780400871,completed,,,
kamailio,chatafl_opt,9,out-kamailio-chatafl_opt_9.tar.gz,1476,1476,17393,10662,17,135,1780342388,1780430995,completed,,,
kamailio,chatafl_opt,10,out-kamailio-chatafl_opt_10.tar.gz,1476,1476,16985,10539,16,132,1780343822,1780432404,completed,,,
