subject,fuzzer,runs,mean_l_abs,std_l_abs,mean_b_abs,std_b_abs,mean_edges,std_edges
bftpd,aflnet,3,1267,45.7,492,21.6,160.3,11
bftpd,chatafl,3,1261.3,24,489,2,210,9.6
bftpd,chatafl_opt,3,1271,12.5,491,8.2,217.3,7
exim,aflnet,3,6423.7,20.3,3808,39.2,91.3,7
exim,chatafl,3,6280.3,100.4,3660.3,95.7,100,1
exim,chatafl_opt,3,6525,15.4,3904.3,10.8,119.7,3.5
forked-daapd,aflnet,3,7261.7,189.4,2289,53.7,21.7,2.1
forked-daapd,chatafl,3,7292.3,173.3,2304.3,64.2,23,2
forked-daapd,chatafl_opt,3,8249.3,202.2,2584,61.4,20.7,1.5
kamailio,aflnet,3,16836.7,17,10126.7,15.8,101,8.2
kamailio,chatafl,3,15701.7,2294.1,9077.7,2369.2,92,7.1
kamailio,chatafl_opt,3,17314.3,221.8,10677.7,128.6,128.3,12.5
lightftp,aflnet,3,192,31.3,77,7.9,180.7,16.8
lightftp,chatafl,3,216.7,7,81.7,2.9,185,13
lightftp,chatafl_opt,3,238.3,54.2,95.7,18.1,213,4
lighttpd1,aflnet,3,3923.3,49.3,1939.3,23,14.3,4.5
lighttpd1,chatafl,3,3944,23.6,1951.7,16.4,20.3,3.2
lighttpd1,chatafl_opt,3,4030,8.5,2049.3,6,29,2.6
live555,aflnet,3,5839.7,20.3,2901.3,17.7,109,7.5
live555,chatafl,3,5829.3,22.5,2901.7,8.1,143.7,2.5
live555,chatafl_opt,3,5829,14.5,2906.3,16.9,158,3
mosquitto,aflnet,3,3101,188,1928,134.4,33.7,3.1
mosquitto,chatafl,3,2885.7,127.8,1776.3,92.4,33,3
mosquitto,chatafl_opt,3,3234.7,161.7,2084,136.2,44.3,4
proftpd,aflnet,3,10787,145.7,4907,93.4,207,23.4
proftpd,chatafl,3,11581.7,343.4,5318.7,162.2,228.7,32
proftpd,chatafl_opt,3,11572,158.2,5341.3,79.6,284,4.4
pure-ftpd,aflnet,3,1951.7,37,1061.3,33,216,9.8
pure-ftpd,chatafl,3,2091.7,22.5,1178,19.7,254.7,11.6
pure-ftpd,chatafl_opt,3,2217.7,28.1,1284,32,321.3,41.8
