subject,fuzzer,data_type,time,data
bftpd,nsfuzz,nodes,0,0.0
bftpd,nsfuzz,nodes,1,14.8
bftpd,nsfuzz,nodes,61,14.8
bftpd,nsfuzz,nodes,121,14.8
bftpd,nsfuzz,nodes,181,14.8
bftpd,nsfuzz,nodes,241,14.8
bftpd,nsfuzz,nodes,301,14.8
bftpd,nsfuzz,nodes,361,14.8
bftpd,nsfuzz,nodes,421,14.8
bftpd,nsfuzz,nodes,481,14.8
bftpd,nsfuzz,nodes,541,14.8
bftpd,nsfuzz,nodes,601,14.8
bftpd,nsfuzz,nodes,661,14.8
bftpd,nsfuzz,nodes,721,14.8
bftpd,nsfuzz,nodes,781,14.8
bftpd,nsfuzz,nodes,841,14.8
bftpd,nsfuzz,nodes,901,14.8
bftpd,nsfuzz,nodes,961,14.8
bftpd,nsfuzz,nodes,1021,14.8
bftpd,nsfuzz,nodes,1081,14.8
bftpd,nsfuzz,nodes,1141,14.8
bftpd,nsfuzz,nodes,1201,14.8
bftpd,nsfuzz,nodes,1261,14.8
bftpd,nsfuzz,nodes,1321,14.8
bftpd,nsfuzz,nodes,1381,14.8
bftpd,nsfuzz,edges,0,0.0
bftpd,nsfuzz,edges,1,48.7
bftpd,nsfuzz,edges,61,48.7
bftpd,nsfuzz,edges,121,48.7
bftpd,nsfuzz,edges,181,48.7
bftpd,nsfuzz,edges,241,48.7
bftpd,nsfuzz,edges,301,48.7
bftpd,nsfuzz,edges,361,48.7
bftpd,nsfuzz,edges,421,48.7
bftpd,nsfuzz,edges,481,48.7
bftpd,nsfuzz,edges,541,48.7
bftpd,nsfuzz,edges,601,48.7
bftpd,nsfuzz,edges,661,48.7
bftpd,nsfuzz,edges,721,48.7
bftpd,nsfuzz,edges,781,48.7
bftpd,nsfuzz,edges,841,48.7
bftpd,nsfuzz,edges,901,48.7
bftpd,nsfuzz,edges,961,48.7
bftpd,nsfuzz,edges,1021,48.7
bftpd,nsfuzz,edges,1081,48.7
bftpd,nsfuzz,edges,1141,48.7
bftpd,nsfuzz,edges,1201,48.7
bftpd,nsfuzz,edges,1261,48.7
bftpd,nsfuzz,edges,1321,48.7
bftpd,nsfuzz,edges,1381,48.7
