time,subject,fuzzer,run,state_type,state
1776001089,bftpd,nsfuzz,1,nodes,15
1776001089,bftpd,nsfuzz,1,edges,49
1776001094,bftpd,nsfuzz,1,nodes,15
1776001094,bftpd,nsfuzz,1,edges,49
1776001099,bftpd,nsfuzz,1,nodes,15
1776001099,bftpd,nsfuzz,1,edges,49
1776001104,bftpd,nsfuzz,1,nodes,15
1776001104,bftpd,nsfuzz,1,edges,49
1776001109,bftpd,nsfuzz,1,nodes,15
1776001109,bftpd,nsfuzz,1,edges,49
1776001114,bftpd,nsfuzz,1,nodes,15
1776001114,bftpd,nsfuzz,1,edges,49
1776001119,bftpd,nsfuzz,1,nodes,15
1776001119,bftpd,nsfuzz,1,edges,49
1776001124,bftpd,nsfuzz,1,nodes,15
1776001124,bftpd,nsfuzz,1,edges,49
1776001129,bftpd,nsfuzz,1,nodes,15
1776001129,bftpd,nsfuzz,1,edges,49
1776001134,bftpd,nsfuzz,1,nodes,15
1776001134,bftpd,nsfuzz,1,edges,49
1776001139,bftpd,nsfuzz,1,nodes,15
1776001139,bftpd,nsfuzz,1,edges,49
1776001144,bftpd,nsfuzz,1,nodes,15
1776001144,bftpd,nsfuzz,1,edges,49
1776001149,bftpd,nsfuzz,1,nodes,15
1776001149,bftpd,nsfuzz,1,edges,49
1776001155,bftpd,nsfuzz,1,nodes,15
1776001155,bftpd,nsfuzz,1,edges,49
1776001160,bftpd,nsfuzz,1,nodes,15
1776001160,bftpd,nsfuzz,1,edges,49
1776001165,bftpd,nsfuzz,1,nodes,15
1776001165,bftpd,nsfuzz,1,edges,49
1776001170,bftpd,nsfuzz,1,nodes,15
1776001170,bftpd,nsfuzz,1,edges,49
1776001175,bftpd,nsfuzz,1,nodes,15
1776001175,bftpd,nsfuzz,1,edges,49
1776001180,bftpd,nsfuzz,1,nodes,15
1776001180,bftpd,nsfuzz,1,edges,49
1776001185,bftpd,nsfuzz,1,nodes,15
1776001185,bftpd,nsfuzz,1,edges,49
1776001190,bftpd,nsfuzz,1,nodes,15
1776001190,bftpd,nsfuzz,1,edges,49
1776001196,bftpd,nsfuzz,1,nodes,15
1776001196,bftpd,nsfuzz,1,edges,49
1776001201,bftpd,nsfuzz,1,nodes,15
1776001201,bftpd,nsfuzz,1,edges,49
1776001206,bftpd,nsfuzz,1,nodes,15
1776001206,bftpd,nsfuzz,1,edges,49
1776001211,bftpd,nsfuzz,1,nodes,15
1776001211,bftpd,nsfuzz,1,edges,49
1776001216,bftpd,nsfuzz,1,nodes,15
1776001216,bftpd,nsfuzz,1,edges,49
1776001221,bftpd,nsfuzz,1,nodes,15
1776001221,bftpd,nsfuzz,1,edges,49
1776001226,bftpd,nsfuzz,1,nodes,15
1776001226,bftpd,nsfuzz,1,edges,49
1776001231,bftpd,nsfuzz,1,nodes,15
1776001231,bftpd,nsfuzz,1,edges,49
1776001237,bftpd,nsfuzz,1,nodes,15
1776001237,bftpd,nsfuzz,1,edges,49
1776001242,bftpd,nsfuzz,1,nodes,15
1776001242,bftpd,nsfuzz,1,edges,49
1776001247,bftpd,nsfuzz,1,nodes,15
1776001247,bftpd,nsfuzz,1,edges,49
1776001262,bftpd,nsfuzz,1,nodes,15
1776001262,bftpd,nsfuzz,1,edges,49
1776001267,bftpd,nsfuzz,1,nodes,15
1776001267,bftpd,nsfuzz,1,edges,49
1776001272,bftpd,nsfuzz,1,nodes,15
1776001272,bftpd,nsfuzz,1,edges,49
1776001277,bftpd,nsfuzz,1,nodes,15
1776001277,bftpd,nsfuzz,1,edges,49
1776001282,bftpd,nsfuzz,1,nodes,15
1776001282,bftpd,nsfuzz,1,edges,49
1776001303,bftpd,nsfuzz,1,nodes,15
1776001303,bftpd,nsfuzz,1,edges,49
1776001318,bftpd,nsfuzz,1,nodes,15
1776001318,bftpd,nsfuzz,1,edges,49
1776001323,bftpd,nsfuzz,1,nodes,15
1776001323,bftpd,nsfuzz,1,edges,49
1776001328,bftpd,nsfuzz,1,nodes,15
1776001328,bftpd,nsfuzz,1,edges,49
1776001333,bftpd,nsfuzz,1,nodes,15
1776001333,bftpd,nsfuzz,1,edges,49
1776001339,bftpd,nsfuzz,1,nodes,15
1776001339,bftpd,nsfuzz,1,edges,49
1776001344,bftpd,nsfuzz,1,nodes,15
1776001344,bftpd,nsfuzz,1,edges,49
1776001349,bftpd,nsfuzz,1,nodes,15
1776001349,bftpd,nsfuzz,1,edges,49
1776001354,bftpd,nsfuzz,1,nodes,15
1776001354,bftpd,nsfuzz,1,edges,49
1776001359,bftpd,nsfuzz,1,nodes,15
1776001359,bftpd,nsfuzz,1,edges,49
1776001364,bftpd,nsfuzz,1,nodes,15
1776001364,bftpd,nsfuzz,1,edges,49
1776001369,bftpd,nsfuzz,1,nodes,15
1776001369,bftpd,nsfuzz,1,edges,49
1776001374,bftpd,nsfuzz,1,nodes,15
1776001374,bftpd,nsfuzz,1,edges,49
1776001379,bftpd,nsfuzz,1,nodes,15
1776001379,bftpd,nsfuzz,1,edges,49
1776001385,bftpd,nsfuzz,1,nodes,15
1776001385,bftpd,nsfuzz,1,edges,49
1776001390,bftpd,nsfuzz,1,nodes,15
1776001390,bftpd,nsfuzz,1,edges,49
1776001395,bftpd,nsfuzz,1,nodes,15
1776001395,bftpd,nsfuzz,1,edges,49
1776001400,bftpd,nsfuzz,1,nodes,15
1776001400,bftpd,nsfuzz,1,edges,49
1776001405,bftpd,nsfuzz,1,nodes,15
1776001405,bftpd,nsfuzz,1,edges,49
1776001410,bftpd,nsfuzz,1,nodes,15
1776001410,bftpd,nsfuzz,1,edges,49
1776001415,bftpd,nsfuzz,1,nodes,15
1776001415,bftpd,nsfuzz,1,edges,49
1776001435,bftpd,nsfuzz,1,nodes,15
1776001435,bftpd,nsfuzz,1,edges,49
1776001440,bftpd,nsfuzz,1,nodes,15
1776001440,bftpd,nsfuzz,1,edges,49
1776001446,bftpd,nsfuzz,1,nodes,15
1776001446,bftpd,nsfuzz,1,edges,49
1776001451,bftpd,nsfuzz,1,nodes,15
1776001451,bftpd,nsfuzz,1,edges,49
1776001456,bftpd,nsfuzz,1,nodes,15
1776001456,bftpd,nsfuzz,1,edges,49
1776001461,bftpd,nsfuzz,1,nodes,15
1776001461,bftpd,nsfuzz,1,edges,49
1776001466,bftpd,nsfuzz,1,nodes,15
1776001466,bftpd,nsfuzz,1,edges,49
1776001476,bftpd,nsfuzz,1,nodes,15
1776001476,bftpd,nsfuzz,1,edges,49
1776001481,bftpd,nsfuzz,1,nodes,15
1776001481,bftpd,nsfuzz,1,edges,49
1776001486,bftpd,nsfuzz,1,nodes,15
1776001486,bftpd,nsfuzz,1,edges,49
1776001496,bftpd,nsfuzz,1,nodes,15
1776001496,bftpd,nsfuzz,1,edges,49
1776001507,bftpd,nsfuzz,1,nodes,15
1776001507,bftpd,nsfuzz,1,edges,49
1776001512,bftpd,nsfuzz,1,nodes,15
1776001512,bftpd,nsfuzz,1,edges,49
1776001527,bftpd,nsfuzz,1,nodes,15
1776001527,bftpd,nsfuzz,1,edges,49
1776001532,bftpd,nsfuzz,1,nodes,15
1776001532,bftpd,nsfuzz,1,edges,49
1776001537,bftpd,nsfuzz,1,nodes,15
1776001537,bftpd,nsfuzz,1,edges,49
1776001548,bftpd,nsfuzz,1,nodes,15
1776001548,bftpd,nsfuzz,1,edges,49
1776001558,bftpd,nsfuzz,1,nodes,15
1776001558,bftpd,nsfuzz,1,edges,49
1776001563,bftpd,nsfuzz,1,nodes,15
1776001563,bftpd,nsfuzz,1,edges,49
1776001568,bftpd,nsfuzz,1,nodes,15
1776001568,bftpd,nsfuzz,1,edges,49
1776001578,bftpd,nsfuzz,1,nodes,15
1776001578,bftpd,nsfuzz,1,edges,49
1776001584,bftpd,nsfuzz,1,nodes,15
1776001584,bftpd,nsfuzz,1,edges,49
1776001589,bftpd,nsfuzz,1,nodes,15
1776001589,bftpd,nsfuzz,1,edges,49
1776001594,bftpd,nsfuzz,1,nodes,15
1776001594,bftpd,nsfuzz,1,edges,49
1776001599,bftpd,nsfuzz,1,nodes,15
1776001599,bftpd,nsfuzz,1,edges,49
1776001604,bftpd,nsfuzz,1,nodes,15
1776001604,bftpd,nsfuzz,1,edges,49
1776001619,bftpd,nsfuzz,1,nodes,15
1776001619,bftpd,nsfuzz,1,edges,49
1776001639,bftpd,nsfuzz,1,nodes,15
1776001639,bftpd,nsfuzz,1,edges,49
1776001645,bftpd,nsfuzz,1,nodes,15
1776001645,bftpd,nsfuzz,1,edges,49
1776001650,bftpd,nsfuzz,1,nodes,15
1776001650,bftpd,nsfuzz,1,edges,49
1776001655,bftpd,nsfuzz,1,nodes,15
1776001655,bftpd,nsfuzz,1,edges,49
1776001660,bftpd,nsfuzz,1,nodes,15
1776001660,bftpd,nsfuzz,1,edges,49
1776001675,bftpd,nsfuzz,1,nodes,15
1776001675,bftpd,nsfuzz,1,edges,49
1776001680,bftpd,nsfuzz,1,nodes,15
1776001680,bftpd,nsfuzz,1,edges,49
1776001696,bftpd,nsfuzz,1,nodes,15
1776001696,bftpd,nsfuzz,1,edges,49
1776001701,bftpd,nsfuzz,1,nodes,15
1776001701,bftpd,nsfuzz,1,edges,49
1776001711,bftpd,nsfuzz,1,nodes,15
1776001711,bftpd,nsfuzz,1,edges,49
1776001716,bftpd,nsfuzz,1,nodes,15
1776001716,bftpd,nsfuzz,1,edges,49
1776001721,bftpd,nsfuzz,1,nodes,15
1776001721,bftpd,nsfuzz,1,edges,49
1776001726,bftpd,nsfuzz,1,nodes,15
1776001726,bftpd,nsfuzz,1,edges,49
1776001731,bftpd,nsfuzz,1,nodes,15
1776001731,bftpd,nsfuzz,1,edges,49
1776001741,bftpd,nsfuzz,1,nodes,15
1776001741,bftpd,nsfuzz,1,edges,49
1776001746,bftpd,nsfuzz,1,nodes,15
1776001746,bftpd,nsfuzz,1,edges,49
1776001756,bftpd,nsfuzz,1,nodes,15
1776001756,bftpd,nsfuzz,1,edges,49
1776001761,bftpd,nsfuzz,1,nodes,15
1776001761,bftpd,nsfuzz,1,edges,49
1776001766,bftpd,nsfuzz,1,nodes,15
1776001766,bftpd,nsfuzz,1,edges,49
1776001772,bftpd,nsfuzz,1,nodes,15
1776001772,bftpd,nsfuzz,1,edges,49
1776001777,bftpd,nsfuzz,1,nodes,15
1776001777,bftpd,nsfuzz,1,edges,49
1776001782,bftpd,nsfuzz,1,nodes,15
1776001782,bftpd,nsfuzz,1,edges,49
1776001787,bftpd,nsfuzz,1,nodes,15
1776001787,bftpd,nsfuzz,1,edges,49
1776001792,bftpd,nsfuzz,1,nodes,15
1776001792,bftpd,nsfuzz,1,edges,49
1776001807,bftpd,nsfuzz,1,nodes,15
1776001807,bftpd,nsfuzz,1,edges,49
1776001823,bftpd,nsfuzz,1,nodes,15
1776001823,bftpd,nsfuzz,1,edges,49
1776001838,bftpd,nsfuzz,1,nodes,15
1776001838,bftpd,nsfuzz,1,edges,49
1776001843,bftpd,nsfuzz,1,nodes,15
1776001843,bftpd,nsfuzz,1,edges,49
1776001874,bftpd,nsfuzz,1,nodes,15
1776001874,bftpd,nsfuzz,1,edges,49
1776001879,bftpd,nsfuzz,1,nodes,15
1776001879,bftpd,nsfuzz,1,edges,49
1776001884,bftpd,nsfuzz,1,nodes,15
1776001884,bftpd,nsfuzz,1,edges,49
1776001889,bftpd,nsfuzz,1,nodes,15
1776001889,bftpd,nsfuzz,1,edges,49
1776001894,bftpd,nsfuzz,1,nodes,15
1776001894,bftpd,nsfuzz,1,edges,49
1776001904,bftpd,nsfuzz,1,nodes,15
