subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
exim,nsfuzz,1,out-exim-nsfuzz_1.tar.gz,1479,1479,6847,4213,5,15,1775879379,1775968175
exim,nsfuzz,2,out-exim-nsfuzz_2.tar.gz,1479,1479,6759,4145,5,11,1775879380,1775968177
exim,nsfuzz,3,out-exim-nsfuzz_3.tar.gz,1479,1479,6720,4093,5,15,1775879381,1775968178
exim,nsfuzz,4,out-exim-nsfuzz_4.tar.gz,1479,1479,6908,4268,5,14,1775879382,1775968179
exim,nsfuzz,5,out-exim-nsfuzz_5.tar.gz,1479,1479,6934,4277,5,13,1775879384,1775968181
exim,nsfuzz,6,out-exim-nsfuzz_6.tar.gz,1479,1479,6875,4245,5,14,1775879385,1775968182
exim,nsfuzz,7,out-exim-nsfuzz_7.tar.gz,1479,1479,6740,4140,5,14,1775879386,1775968183
exim,nsfuzz,8,out-exim-nsfuzz_8.tar.gz,1479,1479,6724,4133,5,14,1775879387,1775968184
exim,nsfuzz,9,out-exim-nsfuzz_9.tar.gz,1479,1479,6853,4198,5,14,1775879389,1775968184
exim,nsfuzz,10,out-exim-nsfuzz_10.tar.gz,1479,1479,6815,4203,5,15,1775879390,1775968187
