subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
forked-daapd,nsfuzz,1,out-forked-daapd-nsfuzz_1.tar.gz,1479,1479,8184,2702,10,33,1775879746,1775968543
forked-daapd,nsfuzz,2,out-forked-daapd-nsfuzz_2.tar.gz,1479,1479,8230,2726,8,22,1775879747,1775968544
forked-daapd,nsfuzz,3,out-forked-daapd-nsfuzz_3.tar.gz,1479,1479,8457,2803,9,27,1775879748,1775968546
forked-daapd,nsfuzz,4,out-forked-daapd-nsfuzz_4.tar.gz,1479,1479,8308,2756,10,30,1775879750,1775968546
forked-daapd,nsfuzz,5,out-forked-daapd-nsfuzz_5.tar.gz,1479,1479,8103,2674,6,16,1775879751,1775968547
forked-daapd,nsfuzz,6,out-forked-daapd-nsfuzz_6.tar.gz,1479,1479,8196,2715,9,23,1775879752,1775968549
forked-daapd,nsfuzz,7,out-forked-daapd-nsfuzz_7.tar.gz,1479,1479,8195,2695,10,29,1775879754,1775968550
forked-daapd,nsfuzz,8,out-forked-daapd-nsfuzz_8.tar.gz,1479,1479,8296,2743,10,34,1775879755,1775968552
forked-daapd,nsfuzz,9,out-forked-daapd-nsfuzz_9.tar.gz,1479,1479,8063,2653,8,22,1775879756,1775968552
forked-daapd,nsfuzz,10,out-forked-daapd-nsfuzz_10.tar.gz,1479,1479,8360,2761,10,34,1775879758,1775968554
