subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
proftpd,nsfuzz,1,out-proftpd-nsfuzz_1.tar.gz,1479,1479,11140,5307,37,193,1776001110,1776089907
proftpd,nsfuzz,2,out-proftpd-nsfuzz_2.tar.gz,1479,1479,11198,5316,36,179,1776001112,1776089908
proftpd,nsfuzz,3,out-proftpd-nsfuzz_3.tar.gz,1479,1479,11368,5411,38,175,1776001113,1776089909
proftpd,nsfuzz,4,out-proftpd-nsfuzz_4.tar.gz,1479,1479,11112,5282,37,194,1776001115,1776089910
proftpd,nsfuzz,5,out-proftpd-nsfuzz_5.tar.gz,1479,1479,11617,5533,37,179,1776001116,1776089912
proftpd,nsfuzz,6,out-proftpd-nsfuzz_6.tar.gz,1479,1479,11168,5306,37,198,1776001118,1776089914
proftpd,nsfuzz,7,out-proftpd-nsfuzz_7.tar.gz,1479,1479,11109,5260,37,184,1776001120,1776089916
proftpd,nsfuzz,8,out-proftpd-nsfuzz_8.tar.gz,1479,1479,11103,5264,37,201,1776001122,1776089917
proftpd,nsfuzz,9,out-proftpd-nsfuzz_9.tar.gz,1479,1479,11106,5274,37,192,1776001123,1776089920
proftpd,nsfuzz,10,out-proftpd-nsfuzz_10.tar.gz,1479,1479,11302,5397,36,165,1776001125,1776089922
