subject,fuzzer,fuzzer_label,elapsed_min,value,runs
lightftp,aflnet,AFLNet,0,47.7,10
lightftp,aflnet,AFLNet,60,71.0,10
lightftp,aflnet,AFLNet,120,71.0,10
lightftp,aflnet,AFLNet,180,71.0,10
lightftp,aflnet,AFLNet,240,71.0,10
lightftp,aflnet,AFLNet,300,71.0,10
lightftp,aflnet,AFLNet,360,71.0,10
lightftp,aflnet,AFLNet,420,71.0,10
lightftp,aflnet,AFLNet,480,71.0,10
lightftp,aflnet,AFLNet,540,71.0,10
lightftp,aflnet,AFLNet,600,71.0,10
lightftp,aflnet,AFLNet,660,71.0,10
lightftp,aflnet,AFLNet,720,71.0,10
lightftp,aflnet,AFLNet,780,71.0,10
lightftp,aflnet,AFLNet,840,71.0,10
lightftp,aflnet,AFLNet,900,71.0,10
lightftp,aflnet,AFLNet,960,71.0,10
lightftp,aflnet,AFLNet,1020,71.0,10
lightftp,aflnet,AFLNet,1080,71.0,10
lightftp,aflnet,AFLNet,1140,71.0,10
lightftp,aflnet,AFLNet,1200,71.0,10
lightftp,aflnet,AFLNet,1260,71.0,10
lightftp,aflnet,AFLNet,1320,71.0,10
lightftp,aflnet,AFLNet,1380,71.0,10
lightftp,aflnet,AFLNet,1440,71.0,10
lightftp,chatafl,ChatAFL,0,33.9,10
lightftp,chatafl,ChatAFL,60,71.0,10
lightftp,chatafl,ChatAFL,120,71.0,10
lightftp,chatafl,ChatAFL,180,71.0,10
lightftp,chatafl,ChatAFL,240,71.0,10
lightftp,chatafl,ChatAFL,300,71.0,10
lightftp,chatafl,ChatAFL,360,71.0,10
lightftp,chatafl,ChatAFL,420,71.0,10
lightftp,chatafl,ChatAFL,480,71.0,10
lightftp,chatafl,ChatAFL,540,71.0,10
lightftp,chatafl,ChatAFL,600,71.0,10
lightftp,chatafl,ChatAFL,660,71.0,10
lightftp,chatafl,ChatAFL,720,71.0,10
lightftp,chatafl,ChatAFL,780,71.0,10
lightftp,chatafl,ChatAFL,840,71.0,10
lightftp,chatafl,ChatAFL,900,71.0,10
lightftp,chatafl,ChatAFL,960,71.0,10
lightftp,chatafl,ChatAFL,1020,71.0,10
lightftp,chatafl,ChatAFL,1080,71.0,10
lightftp,chatafl,ChatAFL,1140,71.0,10
lightftp,chatafl,ChatAFL,1200,71.0,10
lightftp,chatafl,ChatAFL,1260,71.0,10
lightftp,chatafl,ChatAFL,1320,71.0,10
lightftp,chatafl,ChatAFL,1380,71.0,10
lightftp,chatafl,ChatAFL,1440,71.0,10
lightftp,chatafl_opt,LoopFuzz,0,41.6,10
lightftp,chatafl_opt,LoopFuzz,60,71.0,10
lightftp,chatafl_opt,LoopFuzz,120,71.7,10
lightftp,chatafl_opt,LoopFuzz,180,71.7,10
lightftp,chatafl_opt,LoopFuzz,240,71.7,10
lightftp,chatafl_opt,LoopFuzz,300,71.7,10
lightftp,chatafl_opt,LoopFuzz,360,71.7,10
lightftp,chatafl_opt,LoopFuzz,420,71.7,10
lightftp,chatafl_opt,LoopFuzz,480,71.7,10
lightftp,chatafl_opt,LoopFuzz,540,71.7,10
lightftp,chatafl_opt,LoopFuzz,600,71.7,10
lightftp,chatafl_opt,LoopFuzz,660,71.7,10
