subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
bftpd,chatafl_opt,1,out-bftpd-chatafl_opt_1.tar.gz,1477,1477,1262,494,24,213,1779990548,1780079184,completed,completed,0,
bftpd,chatafl_opt,2,out-bftpd-chatafl_opt_2.tar.gz,1476,1476,1282,500,24,227,1779992388,1780081002,completed,,,
bftpd,chatafl_opt,3,out-bftpd-chatafl_opt_3.tar.gz,1477,1477,1266,495,24,208,1779994607,1780083253,completed,,,
bftpd,chatafl_opt,4,out-bftpd-chatafl_opt_4.tar.gz,1476,1476,1289,506,24,226,1780026480,1780115090,completed,,,
bftpd,chatafl_opt,5,out-bftpd-chatafl_opt_5.tar.gz,1477,1477,1297,509,24,198,1780026979,1780115652,completed,,,
bftpd,chatafl_opt,6,out-bftpd-chatafl_opt_6.tar.gz,1477,1477,1262,494,24,199,1780027516,1780116185,completed,,,
bftpd,chatafl_opt,7,out-bftpd-chatafl_opt_7.tar.gz,1477,1477,1269,498,24,248,1780028051,1780116704,completed,,,
bftpd,chatafl_opt,8,out-bftpd-chatafl_opt_8.tar.gz,1477,1477,1292,503,24,227,1780028497,1780117173,completed,,,
bftpd,chatafl_opt,9,out-bftpd-chatafl_opt_9.tar.gz,1477,1477,1326,517,24,229,1780029625,1780118294,completed,,,
bftpd,chatafl_opt,10,out-bftpd-chatafl_opt_10.tar.gz,1477,1477,1268,499,24,242,1780030114,1780118789,completed,,,
