subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
bftpd,chatafl_opt,1,out-bftpd-chatafl_opt_1.tar.gz,1476,1476,1237,474,24,196,1779990576,1780079185,completed,completed,0,
bftpd,chatafl_opt,2,out-bftpd-chatafl_opt_2.tar.gz,1477,1477,1266,494,24,206,1779992327,1780081002,completed,,,
bftpd,chatafl_opt,3,out-bftpd-chatafl_opt_3.tar.gz,1477,1477,1293,503,24,228,1779994604,1780083255,completed,,,
bftpd,chatafl_opt,4,out-bftpd-chatafl_opt_4.tar.gz,1477,1477,1258,490,24,225,1780026462,1780115090,completed,,,
bftpd,chatafl_opt,5,out-bftpd-chatafl_opt_5.tar.gz,1477,1477,1282,500,24,230,1780026979,1780115652,completed,,,
bftpd,chatafl_opt,6,out-bftpd-chatafl_opt_6.tar.gz,1477,1477,1278,501,24,211,1780027520,1780116184,completed,,,
bftpd,chatafl_opt,7,out-bftpd-chatafl_opt_7.tar.gz,1477,1477,1286,501,24,211,1780028063,1780116704,completed,,,
bftpd,chatafl_opt,8,out-bftpd-chatafl_opt_8.tar.gz,1477,1477,1288,502,24,226,1780028531,1780117174,completed,,,
bftpd,chatafl_opt,9,out-bftpd-chatafl_opt_9.tar.gz,1477,1477,1278,498,24,217,1780029652,1780118296,completed,,,
bftpd,chatafl_opt,10,out-bftpd-chatafl_opt_10.tar.gz,1478,1478,1265,500,24,217,1780030095,1780118788,completed,,,
