subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
exim,chatafl_opt,1,out-exim-chatafl_opt_1.tar.gz,1477,1477,6535,3903,20,127,1780232797,1780321429,completed,completed,0,
exim,chatafl_opt,2,out-exim-chatafl_opt_2.tar.gz,1478,1478,6515,3860,20,135,1780234833,1780323527,completed,,,
exim,chatafl_opt,3,out-exim-chatafl_opt_3.tar.gz,1478,1478,6536,3895,21,116,1780236428,1780325123,completed,,,
exim,chatafl_opt,4,out-exim-chatafl_opt_4.tar.gz,1478,1478,6552,3913,19,124,1780237406,1780326109,completed,,,
exim,chatafl_opt,5,out-exim-chatafl_opt_5.tar.gz,1478,1478,6491,3875,20,124,1780238598,1780327290,completed,,,
exim,chatafl_opt,6,out-exim-chatafl_opt_6.tar.gz,1478,1478,6474,3848,20,131,1780239110,1780327791,completed,,,
exim,chatafl_opt,7,out-exim-chatafl_opt_7.tar.gz,1452,1452,6536,3854,20,135,1780608610,1780695745,completed,,,
exim,chatafl_opt,8,out-exim-chatafl_opt_8.tar.gz,1450,1450,6544,3903,17,114,1780609356,1780696359,completed,,,
exim,chatafl_opt,9,out-exim-chatafl_opt_9.tar.gz,1451,1451,6489,3881,21,121,1780609337,1780696439,completed,,,
exim,chatafl_opt,10,out-exim-chatafl_opt_10.tar.gz,1447,1447,6515,3863,21,130,1780630166,1780716991,completed,,,
