subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
forked-daapd,chatafl_opt,1,out-forked-daapd-chatafl_opt_1.tar.gz,1476,1476,7360,2331,8,21,1780344587,1780433147,completed,completed,0,
forked-daapd,chatafl_opt,2,out-forked-daapd-chatafl_opt_2.tar.gz,1473,1473,6238,1996,8,21,1780345072,1780433487,completed,,,
forked-daapd,chatafl_opt,3,out-forked-daapd-chatafl_opt_3.tar.gz,1473,1473,6349,2026,9,20,1780345839,1780434275,completed,,,
forked-daapd,chatafl_opt,4,out-forked-daapd-chatafl_opt_4.tar.gz,1477,1477,6479,2081,8,23,1780345953,1780434574,completed,,,
forked-daapd,chatafl_opt,5,out-forked-daapd-chatafl_opt_5.tar.gz,1472,1472,6216,1979,9,22,1780347282,1780435639,completed,,,
forked-daapd,chatafl_opt,6,out-forked-daapd-chatafl_opt_6.tar.gz,1472,1472,6309,2013,9,22,1780348130,1780436467,completed,,,
forked-daapd,chatafl_opt,7,out-forked-daapd-chatafl_opt_7.tar.gz,1476,1476,6191,1964,8,22,1780348333,1780436907,completed,,,
forked-daapd,chatafl_opt,8,out-forked-daapd-chatafl_opt_8.tar.gz,1477,1477,6078,1955,9,23,1780349184,1780437815,completed,,,
forked-daapd,chatafl_opt,9,out-forked-daapd-chatafl_opt_9.tar.gz,1450,1450,6187,1964,10,28,1780491117,1780578143,completed,,,
forked-daapd,chatafl_opt,10,out-forked-daapd-chatafl_opt_10.tar.gz,1468,1468,6181,1960,8,20,1780493817,1780581940,completed,,,
