subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
lightftp,chatafl_opt,1,out-lightftp-chatafl_opt_1.tar.gz,1463,1463,171,71,24,210,1780140254,1780228079,completed,completed,0,
lightftp,chatafl_opt,2,out-lightftp-chatafl_opt_2.tar.gz,1469,1469,171,71,23,202,1780142059,1780230238,completed,,,
lightftp,chatafl_opt,3,out-lightftp-chatafl_opt_3.tar.gz,1477,1477,171,71,23,181,1780142911,1780231560,completed,,,
lightftp,chatafl_opt,4,out-lightftp-chatafl_opt_4.tar.gz,1478,1478,171,71,23,196,1780148051,1780236734,completed,,,
lightftp,chatafl_opt,5,out-lightftp-chatafl_opt_5.tar.gz,1477,1477,171,71,24,212,1780143511,1780232188,completed,,,
lightftp,chatafl_opt,6,out-lightftp-chatafl_opt_6.tar.gz,1471,1471,171,71,24,210,1780146713,1780234978,completed,,,
lightftp,chatafl_opt,7,out-lightftp-chatafl_opt_7.tar.gz,1451,1451,171,71,23,209,1780605463,1780692550,completed,,,
lightftp,chatafl_opt,8,out-lightftp-chatafl_opt_8.tar.gz,1468,1468,171,71,24,181,1780657526,1780745623,completed,,,
lightftp,chatafl_opt,9,out-lightftp-chatafl_opt_9.tar.gz,1468,1468,171,71,23,194,1780511692,1780599786,completed,,,
lightftp,chatafl_opt,10,out-lightftp-chatafl_opt_10.tar.gz,1478,1478,171,71,24,202,1781180304,1781269000,completed,,,
