subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
lightftp,chatafl_opt,1,out-lightftp-chatafl_opt_1.tar.gz,1463,1463,177,75,24,208,1780140273,1780228079,completed,completed,0,
lightftp,chatafl_opt,2,out-lightftp-chatafl_opt_2.tar.gz,1467,1467,171,71,22,179,1780142208,1780230238,completed,,,
lightftp,chatafl_opt,3,out-lightftp-chatafl_opt_3.tar.gz,1476,1476,171,71,23,186,1780142969,1780231562,completed,,,
lightftp,chatafl_opt,4,out-lightftp-chatafl_opt_4.tar.gz,1478,1478,171,71,24,199,1780143486,1780232185,completed,,,
lightftp,chatafl_opt,5,out-lightftp-chatafl_opt_5.tar.gz,1478,1478,171,71,24,227,1780144817,1780233507,completed,,,
lightftp,chatafl_opt,6,out-lightftp-chatafl_opt_6.tar.gz,1478,1478,171,71,24,218,1780145906,1780234626,completed,,,
lightftp,chatafl_opt,7,out-lightftp-chatafl_opt_7.tar.gz,1477,1477,171,71,24,206,1780148069,1780236739,completed,,,
lightftp,chatafl_opt,8,out-lightftp-chatafl_opt_8.tar.gz,1468,1468,171,71,23,173,1780511658,1780599786,completed,,,
lightftp,chatafl_opt,9,out-lightftp-chatafl_opt_9.tar.gz,1447,1447,171,71,23,205,1780603780,1780690620,completed,,,
lightftp,chatafl_opt,10,out-lightftp-chatafl_opt_10.tar.gz,1447,1447,171,71,23,203,1780605704,1780692552,completed,,,
