subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
lighttpd1,chatafl_opt,1,out-lighttpd1-chatafl_opt_1.tar.gz,1476,1476,4309,2333,11,54,1780213864,1780302480,completed,completed,0,
lighttpd1,chatafl_opt,2,out-lighttpd1-chatafl_opt_2.tar.gz,1474,1474,4083,2106,10,29,1780214828,1780303272,completed,,,
lighttpd1,chatafl_opt,3,out-lighttpd1-chatafl_opt_3.tar.gz,1475,1475,4266,2296,13,38,1780215289,1780303802,completed,,,
lighttpd1,chatafl_opt,4,out-lighttpd1-chatafl_opt_4.tar.gz,1476,1476,4076,2096,10,30,1780216938,1780305506,completed,,,
lighttpd1,chatafl_opt,5,out-lighttpd1-chatafl_opt_5.tar.gz,1475,1475,4073,2091,10,32,1780222041,1780310558,completed,,,
lighttpd1,chatafl_opt,6,out-lighttpd1-chatafl_opt_6.tar.gz,1474,1474,4129,2150,10,35,1780228004,1780316475,completed,,,
lighttpd1,chatafl_opt,7,out-lighttpd1-chatafl_opt_7.tar.gz,1477,1477,4113,2126,9,30,1780228604,1780317255,completed,,,
lighttpd1,chatafl_opt,8,out-lighttpd1-chatafl_opt_8.tar.gz,1478,1478,4049,2086,10,34,1780229306,1780318019,completed,,,
lighttpd1,chatafl_opt,9,out-lighttpd1-chatafl_opt_9.tar.gz,1477,1477,4060,2074,10,32,1780229719,1780318353,completed,,,
lighttpd1,chatafl_opt,10,out-lighttpd1-chatafl_opt_10.tar.gz,1474,1474,4027,2048,10,30,1780232922,1780321395,completed,,,
