subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
lighttpd1,chatafl_opt,1,out-lighttpd1-chatafl_opt_1.tar.gz,1477,1477,4006,2029,8,28,1780213809,1780302480,completed,completed,0,
lighttpd1,chatafl_opt,2,out-lighttpd1-chatafl_opt_2.tar.gz,1475,1475,4049,2064,7,18,1780214737,1780303271,completed,,,
lighttpd1,chatafl_opt,3,out-lighttpd1-chatafl_opt_3.tar.gz,1475,1475,4081,2104,10,31,1780215250,1780303802,completed,,,
lighttpd1,chatafl_opt,4,out-lighttpd1-chatafl_opt_4.tar.gz,1475,1475,3996,1999,9,22,1780216980,1780305507,completed,,,
lighttpd1,chatafl_opt,5,out-lighttpd1-chatafl_opt_5.tar.gz,1475,1475,4029,2036,10,30,1780222016,1780310558,completed,,,
lighttpd1,chatafl_opt,6,out-lighttpd1-chatafl_opt_6.tar.gz,1474,1474,4029,2057,10,31,1780228026,1780316474,completed,,,
lighttpd1,chatafl_opt,7,out-lighttpd1-chatafl_opt_7.tar.gz,1477,1477,4339,2350,11,40,1780228610,1780317254,completed,,,
lighttpd1,chatafl_opt,8,out-lighttpd1-chatafl_opt_8.tar.gz,1478,1478,4095,2100,10,30,1780229311,1780318019,completed,,,
lighttpd1,chatafl_opt,9,out-lighttpd1-chatafl_opt_9.tar.gz,1478,1478,4080,2110,10,31,1780229659,1780318353,completed,,,
lighttpd1,chatafl_opt,10,out-lighttpd1-chatafl_opt_10.tar.gz,1475,1475,4061,2092,10,31,1780232893,1780321395,completed,,,
