subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
live555,chatafl_opt,1,out-live555-chatafl_opt_1.tar.gz,1475,1475,6074,3037,14,151,1780350019,1780438542,completed,completed,0,
live555,chatafl_opt,2,out-live555-chatafl_opt_2.tar.gz,1473,1473,6165,3125,14,156,1780353521,1780441911,completed,,,
live555,chatafl_opt,3,out-live555-chatafl_opt_3.tar.gz,1473,1473,6110,3077,14,160,1780369412,1780457798,completed,,,
live555,chatafl_opt,4,out-live555-chatafl_opt_4.tar.gz,1468,1468,6136,3104,14,155,1780370705,1780458828,completed,,,
live555,chatafl_opt,5,out-live555-chatafl_opt_5.tar.gz,1471,1471,6195,3138,14,158,1780374403,1780462720,completed,,,
live555,chatafl_opt,6,out-live555-chatafl_opt_6.tar.gz,1470,1470,6078,3073,14,156,1780391314,1780479515,completed,,,
live555,chatafl_opt,7,out-live555-chatafl_opt_7.tar.gz,1471,1471,6120,3098,14,154,1780403315,1780491601,completed,,,
live555,chatafl_opt,8,out-live555-chatafl_opt_8.tar.gz,1469,1469,6137,3104,14,154,1780404773,1780492967,completed,,,
live555,chatafl_opt,9,out-live555-chatafl_opt_9.tar.gz,1468,1468,6164,3117,14,153,1780406008,1780494130,completed,,,
live555,chatafl_opt,10,out-live555-chatafl_opt_10.tar.gz,1472,1472,6093,3064,14,154,1780422272,1780510639,completed,,,
