subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
mosquitto-v2.0.18,chatafl_opt,1,out-mosquitto-v2.0.18-chatafl_opt_1.tar.gz,1474,1474,4837,3195,19,123,1781457807,1781546290,completed,completed,0,
mosquitto-v2.0.18,chatafl_opt,2,out-mosquitto-v2.0.18-chatafl_opt_2.tar.gz,1471,1471,4551,2767,18,142,1781461719,1781549992,completed,,,
mosquitto-v2.0.18,chatafl_opt,3,out-mosquitto-v2.0.18-chatafl_opt_3.tar.gz,1456,1456,4263,2471,18,128,1781508208,1781595573,completed,,,
mosquitto-v2.0.18,chatafl_opt,4,out-mosquitto-v2.0.18-chatafl_opt_4.tar.gz,1471,1471,4212,2486,18,118,1781508902,1781597189,completed,,,
mosquitto-v2.0.18,chatafl_opt,5,out-mosquitto-v2.0.18-chatafl_opt_5.tar.gz,1469,1469,4156,2422,18,128,1781511415,1781599582,completed,,,
mosquitto-v2.0.18,chatafl_opt,6,out-mosquitto-v2.0.18-chatafl_opt_6.tar.gz,1447,1447,4741,3026,18,141,1781641471,1781728326,completed,,,
mosquitto-v2.0.18,chatafl_opt,7,out-mosquitto-v2.0.18-chatafl_opt_7.tar.gz,1455,1455,4673,2947,18,115,1781873124,1781960429,completed,,,
mosquitto-v2.0.18,chatafl_opt,8,out-mosquitto-v2.0.18-chatafl_opt_8.tar.gz,1456,1456,4667,2994,17,104,1781875649,1781963032,completed,,,
mosquitto-v2.0.18,chatafl_opt,9,out-mosquitto-v2.0.18-chatafl_opt_9.tar.gz,1458,1458,4634,2949,17,110,1781878373,1781965896,completed,,,
mosquitto-v2.0.18,chatafl_opt,10,out-mosquitto-v2.0.18-chatafl_opt_10.tar.gz,1457,1457,4654,2900,18,131,1781881403,1781968850,completed,,,
