subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
mosquitto-v2.0.18,chatafl_opt,1,out-mosquitto-v2.0.18-chatafl_opt_1.tar.gz,1474,1474,4664,2996,18,131,1781457817,1781546290,completed,completed,0,
mosquitto-v2.0.18,chatafl_opt,2,out-mosquitto-v2.0.18-chatafl_opt_2.tar.gz,1471,1471,4602,2916,17,114,1781460004,1781548289,completed,,,
mosquitto-v2.0.18,chatafl_opt,3,out-mosquitto-v2.0.18-chatafl_opt_3.tar.gz,1472,1472,4621,2904,17,128,1781460716,1781549086,completed,,,
mosquitto-v2.0.18,chatafl_opt,4,out-mosquitto-v2.0.18-chatafl_opt_4.tar.gz,1471,1471,4482,2758,18,117,1781461706,1781549992,completed,,,
mosquitto-v2.0.18,chatafl_opt,5,out-mosquitto-v2.0.18-chatafl_opt_5.tar.gz,1447,1447,4200,2480,17,125,1781463797,1781550676,completed,,,
mosquitto-v2.0.18,chatafl_opt,6,out-mosquitto-v2.0.18-chatafl_opt_6.tar.gz,1473,1473,4602,2952,17,115,1781506260,1781594674,completed,,,
mosquitto-v2.0.18,chatafl_opt,7,out-mosquitto-v2.0.18-chatafl_opt_7.tar.gz,1468,1468,4322,2593,18,135,1781511444,1781599583,completed,,,
mosquitto-v2.0.18,chatafl_opt,8,out-mosquitto-v2.0.18-chatafl_opt_8.tar.gz,1456,1456,4144,2407,16,123,1781644320,1781731723,completed,,,
mosquitto-v2.0.18,chatafl_opt,9,out-mosquitto-v2.0.18-chatafl_opt_9.tar.gz,1458,1458,4672,2979,17,138,1781872923,1781960429,completed,,,
mosquitto-v2.0.18,chatafl_opt,10,out-mosquitto-v2.0.18-chatafl_opt_10.tar.gz,1458,1458,4635,2878,18,114,1781878414,1781965896,completed,,,
