subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
proftpd,chatafl_opt,1,out-proftpd-chatafl_opt_1.tar.gz,1477,1477,11529,5272,29,310,1780113425,1780202064,exit_137_near_limit,completed,137,
proftpd,chatafl_opt,2,out-proftpd-chatafl_opt_2.tar.gz,1477,1477,11791,5443,29,272,1780114685,1780203363,completed,,,
proftpd,chatafl_opt,3,out-proftpd-chatafl_opt_3.tar.gz,1478,1478,11769,5401,27,250,1780117594,1780206278,completed,,,
proftpd,chatafl_opt,4,out-proftpd-chatafl_opt_4.tar.gz,1477,1477,11761,5432,29,285,1780126605,1780215270,completed,,,
proftpd,chatafl_opt,5,out-proftpd-chatafl_opt_5.tar.gz,1477,1477,11652,5341,28,285,1780129329,1780217999,completed,,,
proftpd,chatafl_opt,6,out-proftpd-chatafl_opt_6.tar.gz,1467,1467,11066,5067,20,160,1780657780,1780745839,completed,,,
proftpd,chatafl_opt,7,out-proftpd-chatafl_opt_7.tar.gz,1476,1476,12427,5727,27,270,1781180667,1781269283,completed,,,
proftpd,chatafl_opt,8,out-proftpd-chatafl_opt_8.tar.gz,1476,1476,12078,5550,29,266,1781181078,1781269668,completed,,,
proftpd,chatafl_opt,9,out-proftpd-chatafl_opt_9.tar.gz,1476,1476,11595,5336,29,281,1781189752,1781278366,completed,,,
proftpd,chatafl_opt,10,out-proftpd-chatafl_opt_10.tar.gz,1477,1477,12063,5536,29,278,1781190136,1781278766,completed,,,
