subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
proftpd,chatafl_opt,1,out-proftpd-chatafl_opt_1.tar.gz,1477,1477,11897,5481,28,305,1780113419,1780202063,exit_137_near_limit,completed,137,
proftpd,chatafl_opt,2,out-proftpd-chatafl_opt_2.tar.gz,1477,1477,12023,5494,29,294,1780114704,1780203363,completed,,,
proftpd,chatafl_opt,3,out-proftpd-chatafl_opt_3.tar.gz,1477,1477,11974,5491,28,259,1780117612,1780206278,completed,,,
proftpd,chatafl_opt,4,out-proftpd-chatafl_opt_4.tar.gz,1477,1477,11220,5126,28,275,1780118558,1780207232,completed,,,
proftpd,chatafl_opt,5,out-proftpd-chatafl_opt_5.tar.gz,1464,1464,11565,5329,29,270,1780121674,1780209537,completed,,,
proftpd,chatafl_opt,6,out-proftpd-chatafl_opt_6.tar.gz,1478,1478,11507,5311,29,239,1780125050,1780213732,completed,,,
proftpd,chatafl_opt,7,out-proftpd-chatafl_opt_7.tar.gz,1477,1477,11259,5186,27,256,1780125673,1780214352,completed,,,
proftpd,chatafl_opt,8,out-proftpd-chatafl_opt_8.tar.gz,1475,1475,11521,5289,28,273,1781180727,1781269282,completed,,,
proftpd,chatafl_opt,9,out-proftpd-chatafl_opt_9.tar.gz,1476,1476,11405,5242,28,258,1781189775,1781278367,completed,,,
proftpd,chatafl_opt,10,out-proftpd-chatafl_opt_10.tar.gz,1476,1476,11912,5469,28,235,1781190148,1781278766,completed,,,
