subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
proftpd,chatafl_opt,1,out-proftpd-chatafl_opt_1.tar.gz,1477,1477,11895,5443,28,257,1780082767,1780171419,exit_137_near_limit,completed,137,
proftpd,chatafl_opt,2,out-proftpd-chatafl_opt_2.tar.gz,1477,1477,11629,5335,29,279,1780113411,1780202064,completed,,,
proftpd,chatafl_opt,3,out-proftpd-chatafl_opt_3.tar.gz,1477,1477,12107,5577,29,291,1780114705,1780203363,completed,,,
proftpd,chatafl_opt,4,out-proftpd-chatafl_opt_4.tar.gz,1477,1477,11860,5440,27,266,1780117618,1780206279,completed,,,
proftpd,chatafl_opt,5,out-proftpd-chatafl_opt_5.tar.gz,1477,1477,11639,5359,27,273,1780118579,1780207230,completed,,,
proftpd,chatafl_opt,6,out-proftpd-chatafl_opt_6.tar.gz,1465,1465,11921,5493,29,271,1780121606,1780209537,completed,,,
proftpd,chatafl_opt,7,out-proftpd-chatafl_opt_7.tar.gz,1477,1477,12139,5566,27,228,1780125071,1780213730,completed,,,
proftpd,chatafl_opt,8,out-proftpd-chatafl_opt_8.tar.gz,1476,1476,11577,5328,26,264,1780125734,1780214353,completed,,,
proftpd,chatafl_opt,9,out-proftpd-chatafl_opt_9.tar.gz,1477,1477,11524,5293,25,261,1781180648,1781269283,completed,,,
proftpd,chatafl_opt,10,out-proftpd-chatafl_opt_10.tar.gz,1476,1476,11541,5314,29,278,1781193281,1781281878,completed,,,
