subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
pure-ftpd,chatafl_opt,1,out-pure-ftpd-chatafl_opt_1.tar.gz,1476,1476,2229,1293,30,301,1780130255,1780218848,completed,completed,0,
pure-ftpd,chatafl_opt,2,out-pure-ftpd-chatafl_opt_2.tar.gz,1476,1476,2119,1198,28,249,1780130844,1780219442,completed,,,
pure-ftpd,chatafl_opt,3,out-pure-ftpd-chatafl_opt_3.tar.gz,1477,1477,2147,1225,29,271,1780132188,1780220858,completed,,,
pure-ftpd,chatafl_opt,4,out-pure-ftpd-chatafl_opt_4.tar.gz,1477,1477,2174,1242,30,295,1780132686,1780221319,completed,,,
pure-ftpd,chatafl_opt,5,out-pure-ftpd-chatafl_opt_5.tar.gz,1468,1468,2213,1271,28,321,1780134862,1780222970,completed,,,
pure-ftpd,chatafl_opt,6,out-pure-ftpd-chatafl_opt_6.tar.gz,1468,1468,2163,1240,29,328,1780135907,1780224003,completed,,,
pure-ftpd,chatafl_opt,7,out-pure-ftpd-chatafl_opt_7.tar.gz,1467,1467,2148,1235,30,288,1780136851,1780224903,completed,,,
pure-ftpd,chatafl_opt,8,out-pure-ftpd-chatafl_opt_8.tar.gz,1476,1476,2158,1232,28,293,1781188470,1781277073,completed,,,
pure-ftpd,chatafl_opt,9,out-pure-ftpd-chatafl_opt_9.tar.gz,1477,1477,2153,1228,29,329,1781189125,1781277746,completed,,,
pure-ftpd,chatafl_opt,10,out-pure-ftpd-chatafl_opt_10.tar.gz,1475,1475,2159,1241,29,321,1781189491,1781278049,completed,,,
