subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
pure-ftpd,chatafl_opt,1,out-pure-ftpd-chatafl_opt_1.tar.gz,1476,1476,2155,1236,30,300,1780130232,1780218847,completed,completed,0,
pure-ftpd,chatafl_opt,2,out-pure-ftpd-chatafl_opt_2.tar.gz,1477,1477,2177,1256,30,326,1780130807,1780219442,completed,,,
pure-ftpd,chatafl_opt,3,out-pure-ftpd-chatafl_opt_3.tar.gz,1477,1477,2151,1230,30,332,1780131127,1780219791,completed,,,
pure-ftpd,chatafl_opt,4,out-pure-ftpd-chatafl_opt_4.tar.gz,1477,1477,2088,1183,29,296,1780132180,1780220858,completed,,,
pure-ftpd,chatafl_opt,5,out-pure-ftpd-chatafl_opt_5.tar.gz,1477,1477,2162,1206,29,303,1780132692,1780221319,completed,,,
pure-ftpd,chatafl_opt,6,out-pure-ftpd-chatafl_opt_6.tar.gz,1477,1477,2147,1222,29,266,1780133344,1780222002,completed,,,
pure-ftpd,chatafl_opt,7,out-pure-ftpd-chatafl_opt_7.tar.gz,1476,1476,2247,1294,31,293,1780133702,1780222317,completed,,,
pure-ftpd,chatafl_opt,8,out-pure-ftpd-chatafl_opt_8.tar.gz,1466,1466,2141,1219,28,285,1780135985,1780224003,completed,,,
pure-ftpd,chatafl_opt,9,out-pure-ftpd-chatafl_opt_9.tar.gz,1477,1477,2044,1134,29,281,1781188171,1781276804,completed,,,
pure-ftpd,chatafl_opt,10,out-pure-ftpd-chatafl_opt_10.tar.gz,1477,1477,2131,1202,30,268,1781189426,1781278048,completed,,,
