subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
exim,aflnet,1,out-exim-aflnet_1.tar.gz,1479,1479,6430,3826,18,92,1773673810,1773762605,completed,,,
exim,aflnet,2,out-exim-aflnet_2.tar.gz,1479,1479,6440,3835,18,84,1773673811,1773762605,completed,,,
exim,aflnet,3,out-exim-aflnet_3.tar.gz,1479,1479,6401,3763,19,98,1773673811,1773762606,completed,,,
exim,aflnet,4,out-exim-aflnet_4.tar.gz,1479,1479,6364,3706,18,93,1774173990,1774262787,completed,,,
exim,aflnet,5,out-exim-aflnet_5.tar.gz,1479,1479,6453,3818,20,91,1774173991,1774262788,completed,,,
exim,aflnet,6,out-exim-aflnet_6.tar.gz,1479,1479,6428,3821,17,83,1774173992,1774262788,completed,,,
exim,aflnet,7,out-exim-aflnet_7.tar.gz,1479,1479,6368,3758,17,83,1774173992,1774262789,completed,,,
exim,aflnet,8,out-exim-aflnet_8.tar.gz,1479,1479,6415,3797,17,84,1774173993,1774262789,completed,,,
exim,aflnet,9,out-exim-aflnet_9.tar.gz,1479,1479,6479,3839,20,91,1774173993,1774262791,completed,,,
exim,aflnet,10,out-exim-aflnet_10.tar.gz,1479,1479,6387,3782,17,84,1774173994,1774262791,completed,,,
exim,chatafl,1,out-exim-chatafl_1.tar.gz,1470,1470,6403,3773,18,120,1779990410,1780078651,completed,,,
exim,chatafl,2,out-exim-chatafl_2.tar.gz,1469,1469,6373,3711,18,117,1779990471,1780078655,completed,,,
exim,chatafl,3,out-exim-chatafl_3.tar.gz,1473,1473,6424,3763,19,125,1779990248,1780078660,completed,,,
exim,chatafl,4,out-exim-chatafl_4.tar.gz,1473,1473,6444,3828,18,120,1779990262,1780078665,completed,,,
exim,chatafl,5,out-exim-chatafl_5.tar.gz,1468,1468,6447,3781,21,129,1779990540,1780078671,completed,,,
exim,chatafl,6,out-exim-chatafl_6.tar.gz,1469,1469,6327,3665,21,130,1779990525,1780078676,completed,,,
exim,chatafl,7,out-exim-chatafl_7.tar.gz,1476,1476,6402,3742,19,104,1780035812,1780124375,completed,,,
exim,chatafl,8,out-exim-chatafl_8.tar.gz,1476,1476,6364,3761,18,109,1780036906,1780125496,completed,,,
exim,chatafl,9,out-exim-chatafl_9.tar.gz,1474,1474,6414,3751,19,108,1780038979,1780127436,completed,,,
exim,chatafl,10,out-exim-chatafl_10.tar.gz,1469,1469,6324,3687,18,102,1780044340,1780132539,completed,,,
exim,chatafl_opt,1,out-exim-chatafl_opt_1.tar.gz,1476,1476,6598,3946,20,125,1780232812,1780321429,completed,,,
exim,chatafl_opt,2,out-exim-chatafl_opt_2.tar.gz,1477,1477,6511,3808,21,142,1780233894,1780322559,completed,,,
exim,chatafl_opt,3,out-exim-chatafl_opt_3.tar.gz,1478,1478,6576,3961,19,117,1780234819,1780323526,completed,,,
exim,chatafl_opt,4,out-exim-chatafl_opt_4.tar.gz,1478,1478,6609,3937,18,123,1780235335,1780324065,completed,,,
exim,chatafl_opt,5,out-exim-chatafl_opt_5.tar.gz,1478,1478,6550,3926,20,128,1780235925,1780324611,completed,,,
exim,chatafl_opt,6,out-exim-chatafl_opt_6.tar.gz,1478,1478,6503,3887,20,131,1780236417,1780325123,completed,,,
exim,chatafl_opt,7,out-exim-chatafl_opt_7.tar.gz,1478,1478,6519,3902,19,128,1780237423,1780326108,completed,,,
exim,chatafl_opt,8,out-exim-chatafl_opt_8.tar.gz,1450,1450,6577,3930,22,141,1780608745,1780695746,completed,,,
exim,chatafl_opt,9,out-exim-chatafl_opt_9.tar.gz,1449,1449,6557,3897,20,123,1780609377,1780696358,completed,,,
exim,chatafl_opt,10,out-exim-chatafl_opt_10.tar.gz,1451,1451,6522,3891,20,127,1780609349,1780696439,completed,,,
