subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
mosquitto,aflnet,1,out-mosquitto-aflnet_1.tar.gz,1479,1479,3216,1998,9,31,1773673840,1773762635,completed,,,
mosquitto,aflnet,2,out-mosquitto-aflnet_2.tar.gz,1479,1479,3203,2013,8,33,1773673841,1773762636,completed,,,
mosquitto,aflnet,3,out-mosquitto-aflnet_3.tar.gz,1479,1479,2884,1773,8,37,1773673841,1773762636,completed,,,
mosquitto,aflnet,4,out-mosquitto-aflnet_4.tar.gz,1479,1479,2722,1656,9,36,1774615273,1774704061,completed,,,
mosquitto,aflnet,5,out-mosquitto-aflnet_5.tar.gz,1479,1479,2691,1641,8,31,1774615273,1774704061,completed,,,
mosquitto,aflnet,6,out-mosquitto-aflnet_6.tar.gz,1479,1479,3123,1921,8,37,1774174290,1774263086,completed,,,
mosquitto,aflnet,7,out-mosquitto-aflnet_7.tar.gz,1479,1479,2916,1788,9,41,1774174290,1774263087,completed,,,
mosquitto,aflnet,8,out-mosquitto-aflnet_8.tar.gz,1479,1479,2725,1656,9,37,1774174291,1774263088,completed,,,
mosquitto,aflnet,9,out-mosquitto-aflnet_9.tar.gz,1479,1479,2839,1735,9,32,1774615273,1774704061,completed,,,
mosquitto,aflnet,10,out-mosquitto-aflnet_10.tar.gz,1479,1479,3096,1962,9,45,1774174293,1774263090,completed,,,
mosquitto-v2.0.18,chatafl_opt,1,out-mosquitto-v2.0.18-chatafl_opt_1.tar.gz,1474,1474,4655,3034,18,131,1781457833,1781546290,completed,,,
mosquitto-v2.0.18,chatafl_opt,2,out-mosquitto-v2.0.18-chatafl_opt_2.tar.gz,1473,1473,4650,2986,17,136,1781459893,1781548289,completed,,,
mosquitto-v2.0.18,chatafl_opt,3,out-mosquitto-v2.0.18-chatafl_opt_3.tar.gz,1442,1442,4666,2982,18,144,1781466524,1781553065,completed,,,
mosquitto-v2.0.18,chatafl_opt,4,out-mosquitto-v2.0.18-chatafl_opt_4.tar.gz,1474,1474,4614,2875,18,141,1781506219,1781594674,completed,,,
mosquitto-v2.0.18,chatafl_opt,5,out-mosquitto-v2.0.18-chatafl_opt_5.tar.gz,1455,1455,4424,2649,18,151,1781508247,1781595573,completed,,,
mosquitto-v2.0.18,chatafl_opt,6,out-mosquitto-v2.0.18-chatafl_opt_6.tar.gz,1444,1444,4794,3058,17,134,1781641666,1781728326,completed,,,
mosquitto-v2.0.18,chatafl_opt,7,out-mosquitto-v2.0.18-chatafl_opt_7.tar.gz,1458,1458,4664,3018,18,114,1781642894,1781730403,completed,,,
mosquitto-v2.0.18,chatafl_opt,8,out-mosquitto-v2.0.18-chatafl_opt_8.tar.gz,1440,1440,4686,2954,18,129,1781760505,1781846936,completed,,,
mosquitto-v2.0.18,chatafl_opt,9,out-mosquitto-v2.0.18-chatafl_opt_9.tar.gz,1456,1456,4689,3010,17,114,1781875634,1781963031,completed,,,
mosquitto-v2.0.18,chatafl_opt,10,out-mosquitto-v2.0.18-chatafl_opt_10.tar.gz,1455,1455,4810,3062,20,125,1781878542,1781965896,completed,,,
