target,subject,fuzzer,fuzzer_label,metric,runs,mean,sd,aflnet_mean,relative_mean,relative_sd
LightFTP,lightftp,aflnet,AFLNet,b_abs,10,71.0,0.0,71.0,1.0,0.0
LightFTP,lightftp,aflnet,AFLNet,edges,10,182.8,10.184956226382779,182.8,1.0,0.05571639073513555
LightFTP,lightftp,chatafl,ChatAFL,b_abs,10,71.0,0.0,71.0,1.0,0.0
LightFTP,lightftp,chatafl,ChatAFL,edges,10,194.2,10.239357618739783,182.8,1.062363238512035,0.05601399134977999
LightFTP,lightftp,chatafl_opt,LoopFuzz,b_abs,10,71.7,1.5670212364724214,71.0,1.0098591549295775,0.02207072164045664
LightFTP,lightftp,chatafl_opt,LoopFuzz,edges,10,216.6,10.394442959795606,182.8,1.184901531728665,0.05686237942995408
bftpd,bftpd,aflnet,AFLNet,b_abs,10,488.6,13.906033862240442,488.6,1.0,0.028460978023414737
bftpd,bftpd,aflnet,AFLNet,edges,10,166.9,9.433392225964576,166.9,1.0,0.05652122364268769
bftpd,bftpd,chatafl,ChatAFL,b_abs,10,492.3,15.122095680750661,488.6,1.0075726565697911,0.030949847893472493
bftpd,bftpd,chatafl,ChatAFL,edges,10,205.2,9.715966241192895,166.9,1.2294787297783103,0.05821429743075431
bftpd,bftpd,chatafl_opt,LoopFuzz,b_abs,10,501.5,7.412451985979028,488.6,1.0264019647973803,0.015170798170239516
bftpd,bftpd,chatafl_opt,LoopFuzz,edges,10,221.7,16.905291742199804,166.9,1.3283403235470341,0.10128994453085562
ProFTPD,proftpd,aflnet,AFLNet,b_abs,10,4919.9,97.78030931066279,4919.9,1.0,0.019874450560105447
ProFTPD,proftpd,aflnet,AFLNet,edges,10,180.5,23.104833549137144,180.5,1.0,0.1280046180007598
ProFTPD,proftpd,chatafl,ChatAFL,b_abs,10,5317.3,101.6650819548624,4919.9,1.0807739994715342,0.020664054544779854
ProFTPD,proftpd,chatafl,ChatAFL,edges,10,250.5,9.058452161134127,180.5,1.3878116343490305,0.05018533053259904
ProFTPD,proftpd,chatafl_opt,LoopFuzz,b_abs,10,5358.8,136.13783864565764,4919.9,1.0892091302668754,0.027670854823402438
ProFTPD,proftpd,chatafl_opt,LoopFuzz,edges,10,271.7,18.791546562809092,180.5,1.5052631578947369,0.10410829120669857
Pure-FTPd,pure-ftpd,aflnet,AFLNet,b_abs,10,1054.3,76.40542447293181,1054.3,1.0,0.07247028784305398
Pure-FTPd,pure-ftpd,aflnet,AFLNet,edges,10,213.9,11.85514421862697,213.9,1.0,0.055423769138041
Pure-FTPd,pure-ftpd,chatafl,ChatAFL,b_abs,10,1179.2,31.04763365468543,1054.3,1.1184672294413356,0.029448575979024408
Pure-FTPd,pure-ftpd,chatafl,ChatAFL,edges,10,266.2,14.289078968841126,213.9,1.2445067788686301,0.0668026132250637
Pure-FTPd,pure-ftpd,chatafl_opt,LoopFuzz,b_abs,10,1242.6,30.569411000032186,1054.3,1.1786019159631982,0.028994983401339457
Pure-FTPd,pure-ftpd,chatafl_opt,LoopFuzz,edges,10,291.0,23.57965224510319,213.9,1.3604488078541375,0.11023680338991673
Exim,exim,aflnet,AFLNet,b_abs,10,3794.5,42.40872551728005,3794.5,1.0,0.01117636724661485
Exim,exim,aflnet,AFLNet,edges,10,88.3,5.3343748982946035,88.3,1.0,0.06041194675305327
Exim,exim,chatafl,ChatAFL,b_abs,10,3746.2,47.725604588452654,3794.5,0.9872710502042429,0.012577574011978562
Exim,exim,chatafl,ChatAFL,edges,10,116.4,10.167486305758064,88.3,1.318233295583239,0.11514707028038579
Exim,exim,chatafl_opt,LoopFuzz,b_abs,10,3908.5,43.18757537378855,3794.5,1.0300434839899855,0.011381624818497443
Exim,exim,chatafl_opt,LoopFuzz,edges,10,128.5,7.8351061823621055,88.3,1.4552661381653456,0.08873279934724922
Live555,live555,aflnet,AFLNet,b_abs,10,2894.1,23.292583464365745,2894.1,1.0,0.008048299459025516
Live555,live555,aflnet,AFLNet,edges,10,103.9,10.11544473674896,103.9,1.0,0.09735750468478306
Live555,live555,chatafl,ChatAFL,b_abs,10,2911.1,10.867382389517726,2894.1,1.00587401955703,0.0037550127464557985
Live555,live555,chatafl,ChatAFL,edges,10,151.2,3.9101008796307144,103.9,1.4552454282964387,0.037633309717331226
Live555,live555,chatafl_opt,LoopFuzz,b_abs,10,3088.7,22.415520416790585,2894.1,1.0672402473998825,0.007745247371131124
Live555,live555,chatafl_opt,LoopFuzz,edges,10,158.7,8.538149682454625,103.9,1.5274302213666986,0.08217660907078561
Kamailio,kamailio,aflnet,AFLNet,b_abs,10,10244.0,118.07906955369637,10244.0,1.0,0.011526656535893827
Kamailio,kamailio,aflnet,AFLNet,edges,10,101.1,7.723700897597961,101.1,1.0,0.07639664587139428
Kamailio,kamailio,chatafl,ChatAFL,b_abs,10,10314.7,98.44011151738684,10244.0,1.006901600937134,0.009609538414426673
Kamailio,kamailio,chatafl,ChatAFL,edges,10,115.7,13.944732179412968,101.1,1.1444114737883284,0.13793009079538052
Kamailio,kamailio,chatafl_opt,LoopFuzz,b_abs,10,10402.7,141.3019226101801,10244.0,1.0154919953143304,0.013793627744062877
Kamailio,kamailio,chatafl_opt,LoopFuzz,edges,10,127.6,9.628660919936433,101.1,1.2621167161226508,0.09523898041480151
Forked-daapd,forked-daapd,aflnet,AFLNet,b_abs,10,2326.3,77.25578007861648,2326.3,1.0,0.03320972362920366
Forked-daapd,forked-daapd,aflnet,AFLNet,edges,10,21.1,1.286683937707919,21.1,1.0,0.060980281407958234
Forked-daapd,forked-daapd,chatafl,ChatAFL,b_abs,10,2315.3,50.14434719443015,2326.3,0.9952714611185144,0.021555408672325214
Forked-daapd,forked-daapd,chatafl,ChatAFL,edges,10,20.5,2.068278940998476,21.1,0.971563981042654,0.09802269862552018
Forked-daapd,forked-daapd,chatafl_opt,LoopFuzz,b_abs,10,2171.9,226.0238188038302,2326.3,0.9336285087907836,0.09716021957779744
Forked-daapd,forked-daapd,chatafl_opt,LoopFuzz,edges,10,22.1,1.5238839267549948,21.1,1.04739336492891,0.07222198704999976
Lighttpd1,lighttpd1,aflnet,AFLNet,b_abs,10,1930.4,18.67975731462626,1930.4,1.0,0.009676625214787744
Lighttpd1,lighttpd1,aflnet,AFLNet,edges,10,14.9,3.8137179293236207,14.9,1.0,0.2559542234445383
Lighttpd1,lighttpd1,chatafl,ChatAFL,b_abs,10,1987.5,38.34999637838604,1930.4,1.0295793617903024,0.01986634706712911
Lighttpd1,lighttpd1,chatafl,ChatAFL,edges,10,29.7,4.715223571935199,14.9,1.9932885906040267,0.3164579578479999
Lighttpd1,lighttpd1,chatafl_opt,LoopFuzz,b_abs,10,2156.5,111.7708469245099,1930.4,1.1171259842519685,0.05790035584568477
Lighttpd1,lighttpd1,chatafl_opt,LoopFuzz,edges,10,32.5,10.793516572461451,14.9,2.1812080536912752,0.7243970854000974
