subject,fuzzer,fuzzer_label,elapsed_min,value,runs
lightftp,aflnet,AFLNet,0,16.1,10
lightftp,aflnet,AFLNet,60,137.1,10
lightftp,aflnet,AFLNet,120,151.5,10
lightftp,aflnet,AFLNet,180,157.1,10
lightftp,aflnet,AFLNet,240,162.9,10
lightftp,aflnet,AFLNet,300,166.3,10
lightftp,aflnet,AFLNet,360,168.6,10
lightftp,aflnet,AFLNet,420,171.1,10
lightftp,aflnet,AFLNet,480,172.6,10
lightftp,aflnet,AFLNet,540,174.3,10
lightftp,aflnet,AFLNet,600,175.2,10
lightftp,aflnet,AFLNet,660,175.7,10
lightftp,aflnet,AFLNet,720,176.0,10
lightftp,aflnet,AFLNet,780,177.0,10
lightftp,aflnet,AFLNet,840,178.0,10
lightftp,aflnet,AFLNet,900,179.0,10
lightftp,aflnet,AFLNet,960,179.2,10
lightftp,aflnet,AFLNet,1020,179.8,10
lightftp,aflnet,AFLNet,1080,180.4,10
lightftp,aflnet,AFLNet,1140,180.9,10
lightftp,aflnet,AFLNet,1200,181.6,10
lightftp,aflnet,AFLNet,1260,181.9,10
lightftp,aflnet,AFLNet,1320,182.2,10
lightftp,aflnet,AFLNet,1380,182.2,10
lightftp,aflnet,AFLNet,1440,182.5,10
lightftp,chatafl,ChatAFL,0,55.5,10
lightftp,chatafl,ChatAFL,60,147.2,10
lightftp,chatafl,ChatAFL,120,162.6,10
lightftp,chatafl,ChatAFL,180,169.2,10
lightftp,chatafl,ChatAFL,240,173.7,10
lightftp,chatafl,ChatAFL,300,175.7,10
lightftp,chatafl,ChatAFL,360,178.1,10
lightftp,chatafl,ChatAFL,420,180.2,10
lightftp,chatafl,ChatAFL,480,181.3,10
lightftp,chatafl,ChatAFL,540,182.5,10
lightftp,chatafl,ChatAFL,600,183.8,10
lightftp,chatafl,ChatAFL,660,184.9,10
lightftp,chatafl,ChatAFL,720,185.9,10
lightftp,chatafl,ChatAFL,780,186.9,10
lightftp,chatafl,ChatAFL,840,187.2,10
lightftp,chatafl,ChatAFL,900,188.2,10
lightftp,chatafl,ChatAFL,960,189.4,10
lightftp,chatafl,ChatAFL,1020,189.8,10
lightftp,chatafl,ChatAFL,1080,190.5,10
lightftp,chatafl,ChatAFL,1140,191.2,10
lightftp,chatafl,ChatAFL,1200,192.3,10
lightftp,chatafl,ChatAFL,1260,192.8,10
lightftp,chatafl,ChatAFL,1320,193.0,10
lightftp,chatafl,ChatAFL,1380,193.8,10
lightftp,chatafl,ChatAFL,1440,194.2,10
lightftp,chatafl_opt,LoopFuzz,0,67.5,10
lightftp,chatafl_opt,LoopFuzz,60,173.5,10
lightftp,chatafl_opt,LoopFuzz,120,188.2,10
lightftp,chatafl_opt,LoopFuzz,180,195.6,10
lightftp,chatafl_opt,LoopFuzz,240,200.5,10
lightftp,chatafl_opt,LoopFuzz,300,202.1,10
lightftp,chatafl_opt,LoopFuzz,360,204.3,10
lightftp,chatafl_opt,LoopFuzz,420,206.4,10
lightftp,chatafl_opt,LoopFuzz,480,207.2,10
lightftp,chatafl_opt,LoopFuzz,540,208.4,10
lightftp,chatafl_opt,LoopFuzz,600,208.9,10
lightftp,chatafl_opt,LoopFuzz,660,210.1,10
lightftp,chatafl_opt,LoopFuzz,720,210.8,10
lightftp,chatafl_opt,LoopFuzz,780,211.5,10
lightftp,chatafl_opt,LoopFuzz,840,213.0,10
lightftp,chatafl_opt,LoopFuzz,900,213.7,10
lightftp,chatafl_opt,LoopFuzz,960,214.5,10
lightftp,chatafl_opt,LoopFuzz,1020,214.9,10
lightftp,chatafl_opt,LoopFuzz,1080,215.3,10
lightftp,chatafl_opt,LoopFuzz,1140,215.7,10
lightftp,chatafl_opt,LoopFuzz,1200,215.7,10
lightftp,chatafl_opt,LoopFuzz,1260,215.9,10
lightftp,chatafl_opt,LoopFuzz,1320,216.2,10
lightftp,chatafl_opt,LoopFuzz,1380,216.4,10
lightftp,chatafl_opt,LoopFuzz,1440,216.6,10
bftpd,aflnet,AFLNet,0,24.8,10
bftpd,aflnet,AFLNet,60,130.4,10
bftpd,aflnet,AFLNet,120,146.0,10
bftpd,aflnet,AFLNet,180,151.2,10
bftpd,aflnet,AFLNet,240,152.9,10
bftpd,aflnet,AFLNet,300,154.9,10
bftpd,aflnet,AFLNet,360,156.6,10
bftpd,aflnet,AFLNet,420,157.3,10
bftpd,aflnet,AFLNet,480,158.7,10
bftpd,aflnet,AFLNet,540,159.7,10
bftpd,aflnet,AFLNet,600,160.2,10
bftpd,aflnet,AFLNet,660,161.5,10
bftpd,aflnet,AFLNet,720,162.0,10
bftpd,aflnet,AFLNet,780,162.8,10
bftpd,aflnet,AFLNet,840,163.6,10
bftpd,aflnet,AFLNet,900,164.0,10
bftpd,aflnet,AFLNet,960,164.3,10
bftpd,aflnet,AFLNet,1020,164.3,10
bftpd,aflnet,AFLNet,1080,164.8,10
bftpd,aflnet,AFLNet,1140,164.8,10
bftpd,aflnet,AFLNet,1200,165.5,10
bftpd,aflnet,AFLNet,1260,166.1,10
bftpd,aflnet,AFLNet,1320,166.2,10
bftpd,aflnet,AFLNet,1380,166.5,10
bftpd,aflnet,AFLNet,1440,166.8,10
bftpd,chatafl,ChatAFL,0,97.1,10
bftpd,chatafl,ChatAFL,60,167.2,10
bftpd,chatafl,ChatAFL,120,182.0,10
bftpd,chatafl,ChatAFL,180,187.9,10
bftpd,chatafl,ChatAFL,240,190.9,10
bftpd,chatafl,ChatAFL,300,193.2,10
bftpd,chatafl,ChatAFL,360,195.1,10
bftpd,chatafl,ChatAFL,420,196.4,10
bftpd,chatafl,ChatAFL,480,197.5,10
bftpd,chatafl,ChatAFL,540,198.6,10
bftpd,chatafl,ChatAFL,600,199.3,10
bftpd,chatafl,ChatAFL,660,200.2,10
bftpd,chatafl,ChatAFL,720,200.6,10
bftpd,chatafl,ChatAFL,780,201.2,10
