CVE 编号	CVE 链接
CVE-2024-3935	https://nvd.nist.gov/vuln/detail/CVE-2024-3935
CVE-2024-42645	https://nvd.nist.gov/vuln/detail/CVE-2024-42645
CVE-2024-42644	https://nvd.nist.gov/vuln/detail/CVE-2024-42644
CVE-2024-42650	https://nvd.nist.gov/vuln/detail/CVE-2024-42650
CVE-2023-34488	https://nvd.nist.gov/vuln/detail/CVE-2023-34488
CVE-2024-42651	https://nvd.nist.gov/vuln/detail/CVE-2024-42651
CVE-2024-42646	https://nvd.nist.gov/vuln/detail/CVE-2024-42646
CVE-2024-42647	https://nvd.nist.gov/vuln/detail/CVE-2024-42647
CVE-2024-42649	https://nvd.nist.gov/vuln/detail/CVE-2024-42649
CVE-2024-42648	https://nvd.nist.gov/vuln/detail/CVE-2024-42648
CVE-2024-42655	https://nvd.nist.gov/vuln/detail/CVE-2024-42655
