time,subject,fuzzer,run,cov_type,cov
1771753004,bftpd,chatafl,1,l_per,30.0
1771753004,bftpd,chatafl,1,l_abs,760
1771753004,bftpd,chatafl,1,b_per,19.7
1771753004,bftpd,chatafl,1,b_abs,266
1771753006,bftpd,chatafl,1,l_per,35.0
1771753006,bftpd,chatafl,1,l_abs,886
1771753006,bftpd,chatafl,1,b_per,22.3
1771753006,bftpd,chatafl,1,b_abs,301
1771753007,bftpd,chatafl,1,l_per,37.8
1771753007,bftpd,chatafl,1,l_abs,960
1771753007,bftpd,chatafl,1,b_per,24.6
1771753007,bftpd,chatafl,1,b_abs,331
1771753008,bftpd,chatafl,1,l_per,37.8
1771753008,bftpd,chatafl,1,l_abs,960
1771753008,bftpd,chatafl,1,b_per,24.6
1771753008,bftpd,chatafl,1,b_abs,331
1771753010,bftpd,chatafl,1,l_per,37.8
1771753010,bftpd,chatafl,1,l_abs,960
1771753010,bftpd,chatafl,1,b_per,24.6
1771753010,bftpd,chatafl,1,b_abs,331
1771753011,bftpd,chatafl,1,l_per,37.8
1771753011,bftpd,chatafl,1,l_abs,960
1771753011,bftpd,chatafl,1,b_per,24.6
1771753011,bftpd,chatafl,1,b_abs,331
1771753013,bftpd,chatafl,1,l_per,37.8
1771753013,bftpd,chatafl,1,l_abs,960
1771753013,bftpd,chatafl,1,b_per,24.6
1771753013,bftpd,chatafl,1,b_abs,331
1771753014,bftpd,chatafl,1,l_per,37.8
1771753014,bftpd,chatafl,1,l_abs,960
1771753014,bftpd,chatafl,1,b_per,24.6
1771753014,bftpd,chatafl,1,b_abs,331
1771753015,bftpd,chatafl,1,l_per,37.8
1771753015,bftpd,chatafl,1,l_abs,960
1771753015,bftpd,chatafl,1,b_per,24.6
1771753015,bftpd,chatafl,1,b_abs,331
1771753017,bftpd,chatafl,1,l_per,39.9
1771753017,bftpd,chatafl,1,l_abs,1013
1771753017,bftpd,chatafl,1,b_per,25.9
1771753017,bftpd,chatafl,1,b_abs,349
1771753018,bftpd,chatafl,1,l_per,39.9
1771753018,bftpd,chatafl,1,l_abs,1013
1771753018,bftpd,chatafl,1,b_per,25.9
1771753018,bftpd,chatafl,1,b_abs,349
1771753019,bftpd,chatafl,1,l_per,39.9
1771753019,bftpd,chatafl,1,l_abs,1013
1771753019,bftpd,chatafl,1,b_per,25.9
1771753019,bftpd,chatafl,1,b_abs,349
1771753020,bftpd,chatafl,1,l_per,40.0
1771753020,bftpd,chatafl,1,l_abs,1016
1771753020,bftpd,chatafl,1,b_per,25.9
1771753020,bftpd,chatafl,1,b_abs,349
1771753022,bftpd,chatafl,1,l_per,40.1
1771753022,bftpd,chatafl,1,l_abs,1018
1771753022,bftpd,chatafl,1,b_per,26.0
1771753022,bftpd,chatafl,1,b_abs,350
1771753023,bftpd,chatafl,1,l_per,40.1
1771753023,bftpd,chatafl,1,l_abs,1018
1771753023,bftpd,chatafl,1,b_per,26.0
1771753023,bftpd,chatafl,1,b_abs,350
1771753025,bftpd,chatafl,1,l_per,40.1
1771753025,bftpd,chatafl,1,l_abs,1018
1771753025,bftpd,chatafl,1,b_per,26.0
1771753025,bftpd,chatafl,1,b_abs,350
1771753026,bftpd,chatafl,1,l_per,40.1
1771753026,bftpd,chatafl,1,l_abs,1018
1771753026,bftpd,chatafl,1,b_per,26.0
1771753026,bftpd,chatafl,1,b_abs,350
1771753027,bftpd,chatafl,1,l_per,40.5
1771753027,bftpd,chatafl,1,l_abs,1028
1771753027,bftpd,chatafl,1,b_per,26.3
1771753027,bftpd,chatafl,1,b_abs,355
1771753029,bftpd,chatafl,1,l_per,40.5
1771753029,bftpd,chatafl,1,l_abs,1028
1771753029,bftpd,chatafl,1,b_per,26.3
1771753029,bftpd,chatafl,1,b_abs,355
1771753030,bftpd,chatafl,1,l_per,40.5
