subject,fuzzer,data_type,time,data
bftpd,aflnet,nodes,0,0.0
bftpd,aflnet,nodes,1,15.0
bftpd,aflnet,nodes,61,24.0
bftpd,aflnet,edges,0,0.0
bftpd,aflnet,edges,1,31.0
bftpd,aflnet,edges,61,116.0
bftpd,chatafl,nodes,0,0.0
bftpd,chatafl,nodes,1,20.0
bftpd,chatafl,nodes,61,24.0
bftpd,chatafl,edges,0,0.0
bftpd,chatafl,edges,1,107.0
bftpd,chatafl,edges,61,154.0
bftpd,chatafl_opt,nodes,0,0.0
bftpd,chatafl_opt,nodes,1,22.0
bftpd,chatafl_opt,nodes,61,24.0
bftpd,chatafl_opt,edges,0,0.0
bftpd,chatafl_opt,edges,1,134.0
bftpd,chatafl_opt,edges,61,187.0
