subject,fuzzer,data_type,time,data
bftpd,aflnet,nodes,0,0.0
bftpd,aflnet,nodes,1,0.0
bftpd,aflnet,nodes,61,0.0
bftpd,aflnet,edges,0,0.0
bftpd,aflnet,edges,1,0.0
bftpd,aflnet,edges,61,0.0
bftpd,chatafl,nodes,0,0.0
bftpd,chatafl,nodes,1,21.0
bftpd,chatafl,nodes,61,23.0
bftpd,chatafl,edges,0,0.0
bftpd,chatafl,edges,1,114.0
bftpd,chatafl,edges,61,168.0
bftpd,chatafl_opt,nodes,0,0.0
bftpd,chatafl_opt,nodes,1,21.0
bftpd,chatafl_opt,nodes,61,23.0
bftpd,chatafl_opt,edges,0,0.0
bftpd,chatafl_opt,edges,1,112.0
bftpd,chatafl_opt,edges,61,171.0
