time,subject,fuzzer,run,cov_type,cov
1772457530,bftpd,aflnet,1,l_per,15.2
1772457530,bftpd,aflnet,1,l_abs,382
1772457530,bftpd,aflnet,1,b_per,9.6
1772457530,bftpd,aflnet,1,b_abs,129
1772457535,bftpd,aflnet,1,l_per,15.2
1772457535,bftpd,aflnet,1,l_abs,382
1772457535,bftpd,aflnet,1,b_per,9.6
1772457535,bftpd,aflnet,1,b_abs,129
1772457540,bftpd,aflnet,1,l_per,15.2
1772457540,bftpd,aflnet,1,l_abs,382
1772457540,bftpd,aflnet,1,b_per,9.6
1772457540,bftpd,aflnet,1,b_abs,129
1772457545,bftpd,aflnet,1,l_per,15.2
1772457545,bftpd,aflnet,1,l_abs,382
1772457545,bftpd,aflnet,1,b_per,9.6
1772457545,bftpd,aflnet,1,b_abs,129
1772457545,bftpd,aflnet,1,l_per,15.2
1772457545,bftpd,aflnet,1,l_abs,382
1772457545,bftpd,aflnet,1,b_per,9.6
1772457545,bftpd,aflnet,1,b_abs,129
1772459526,bftpd,chatafl,1,l_per,32.9
1772459526,bftpd,chatafl,1,l_abs,832
1772459526,bftpd,chatafl,1,b_per,20.9
1772459526,bftpd,chatafl,1,b_abs,282
1772459527,bftpd,chatafl,1,l_per,34.8
1772459527,bftpd,chatafl,1,l_abs,881
1772459527,bftpd,chatafl,1,b_per,22.3
1772459527,bftpd,chatafl,1,b_abs,300
1772459528,bftpd,chatafl,1,l_per,37.3
1772459528,bftpd,chatafl,1,l_abs,947
1772459528,bftpd,chatafl,1,b_per,24.1
1772459528,bftpd,chatafl,1,b_abs,325
1772459530,bftpd,chatafl,1,l_per,37.3
1772459530,bftpd,chatafl,1,l_abs,947
1772459530,bftpd,chatafl,1,b_per,24.1
1772459530,bftpd,chatafl,1,b_abs,325
1772459531,bftpd,chatafl,1,l_per,37.3
1772459531,bftpd,chatafl,1,l_abs,947
1772459531,bftpd,chatafl,1,b_per,24.1
1772459531,bftpd,chatafl,1,b_abs,325
1772459533,bftpd,chatafl,1,l_per,37.3
1772459533,bftpd,chatafl,1,l_abs,947
1772459533,bftpd,chatafl,1,b_per,24.4
1772459533,bftpd,chatafl,1,b_abs,329
1772459534,bftpd,chatafl,1,l_per,37.8
1772459534,bftpd,chatafl,1,l_abs,959
1772459534,bftpd,chatafl,1,b_per,24.9
1772459534,bftpd,chatafl,1,b_abs,335
1772459535,bftpd,chatafl,1,l_per,37.8
1772459535,bftpd,chatafl,1,l_abs,959
1772459535,bftpd,chatafl,1,b_per,24.9
1772459535,bftpd,chatafl,1,b_abs,335
1772459537,bftpd,chatafl,1,l_per,38.1
1772459537,bftpd,chatafl,1,l_abs,966
1772459537,bftpd,chatafl,1,b_per,25.0
1772459537,bftpd,chatafl,1,b_abs,337
1772459538,bftpd,chatafl,1,l_per,38.2
1772459538,bftpd,chatafl,1,l_abs,970
1772459538,bftpd,chatafl,1,b_per,25.0
1772459538,bftpd,chatafl,1,b_abs,337
1772459540,bftpd,chatafl,1,l_per,40.3
1772459540,bftpd,chatafl,1,l_abs,1023
1772459540,bftpd,chatafl,1,b_per,26.3
1772459540,bftpd,chatafl,1,b_abs,355
1772459541,bftpd,chatafl,1,l_per,40.3
1772459541,bftpd,chatafl,1,l_abs,1023
1772459541,bftpd,chatafl,1,b_per,26.3
1772459541,bftpd,chatafl,1,b_abs,355
1772459542,bftpd,chatafl,1,l_per,40.3
1772459542,bftpd,chatafl,1,l_abs,1023
1772459542,bftpd,chatafl,1,b_per,26.4
1772459542,bftpd,chatafl,1,b_abs,356
1772459544,bftpd,chatafl,1,l_per,40.5
1772459544,bftpd,chatafl,1,l_abs,1029
1772459544,bftpd,chatafl,1,b_per,26.8
1772459544,bftpd,chatafl,1,b_abs,361
1772459545,bftpd,chatafl,1,l_per,40.5
1772459545,bftpd,chatafl,1,l_abs,1029
1772459545,bftpd,chatafl,1,b_per,26.8
1772459545,bftpd,chatafl,1,b_abs,361
1772459547,bftpd,chatafl,1,l_per,40.5
1772459547,bftpd,chatafl,1,l_abs,1029
1772459547,bftpd,chatafl,1,b_per,26.8
1772459547,bftpd,chatafl,1,b_abs,361
1772459548,bftpd,chatafl,1,l_per,40.5
1772459548,bftpd,chatafl,1,l_abs,1029
1772459548,bftpd,chatafl,1,b_per,26.8
1772459548,bftpd,chatafl,1,b_abs,361
1772459549,bftpd,chatafl,1,l_per,40.6
1772459549,bftpd,chatafl,1,l_abs,1032
1772459549,bftpd,chatafl,1,b_per,26.8
1772459549,bftpd,chatafl,1,b_abs,361
1772459551,bftpd,chatafl,1,l_per,41.0
1772459551,bftpd,chatafl,1,l_abs,1042
1772459551,bftpd,chatafl,1,b_per,27.2
1772459551,bftpd,chatafl,1,b_abs,366
1772459552,bftpd,chatafl,1,l_per,41.0
1772459552,bftpd,chatafl,1,l_abs,1042
1772459552,bftpd,chatafl,1,b_per,27.2
1772459552,bftpd,chatafl,1,b_abs,366
1772459554,bftpd,chatafl,1,l_per,42.3
1772459554,bftpd,chatafl,1,l_abs,1073
1772459554,bftpd,chatafl,1,b_per,27.4
1772459554,bftpd,chatafl,1,b_abs,370
1772459555,bftpd,chatafl,1,l_per,42.3
1772459555,bftpd,chatafl,1,l_abs,1073
1772459555,bftpd,chatafl,1,b_per,27.4
1772459555,bftpd,chatafl,1,b_abs,370
1772459556,bftpd,chatafl,1,l_per,42.3
1772459556,bftpd,chatafl,1,l_abs,1073
1772459556,bftpd,chatafl,1,b_per,27.4
1772459556,bftpd,chatafl,1,b_abs,370
1772459558,bftpd,chatafl,1,l_per,42.3
1772459558,bftpd,chatafl,1,l_abs,1073
1772459558,bftpd,chatafl,1,b_per,27.4
1772459558,bftpd,chatafl,1,b_abs,370
1772459559,bftpd,chatafl,1,l_per,42.6
1772459559,bftpd,chatafl,1,l_abs,1081
1772459559,bftpd,chatafl,1,b_per,27.8
1772459559,bftpd,chatafl,1,b_abs,375
1772459561,bftpd,chatafl,1,l_per,43.2
1772459561,bftpd,chatafl,1,l_abs,1098
1772459561,bftpd,chatafl,1,b_per,28.3
1772459561,bftpd,chatafl,1,b_abs,382
1772459562,bftpd,chatafl,1,l_per,43.4
1772459562,bftpd,chatafl,1,l_abs,1102
1772459562,bftpd,chatafl,1,b_per,28.6
1772459562,bftpd,chatafl,1,b_abs,385
1772459564,bftpd,chatafl,1,l_per,43.4
1772459564,bftpd,chatafl,1,l_abs,1102
1772459564,bftpd,chatafl,1,b_per,28.6
