time,subject,fuzzer,run,state_type,state
1772733161,bftpd,aflnet,1,nodes,14
1772733161,bftpd,aflnet,1,edges,26
1772733170,bftpd,aflnet,1,nodes,14
1772733170,bftpd,aflnet,1,edges,29
1772733181,bftpd,aflnet,1,nodes,15
1772733181,bftpd,aflnet,1,edges,31
1772733186,bftpd,aflnet,1,nodes,15
1772733186,bftpd,aflnet,1,edges,31
1772733192,bftpd,aflnet,1,nodes,15
1772733192,bftpd,aflnet,1,edges,31
1772733206,bftpd,aflnet,1,nodes,15
1772733206,bftpd,aflnet,1,edges,31
1772733216,bftpd,aflnet,1,nodes,15
1772733216,bftpd,aflnet,1,edges,31
1772733235,bftpd,aflnet,1,nodes,15
1772733235,bftpd,aflnet,1,edges,31
1772733257,bftpd,aflnet,1,nodes,15
1772733257,bftpd,aflnet,1,edges,31
1772733265,bftpd,aflnet,1,nodes,15
1772733265,bftpd,aflnet,1,edges,31
1772733273,bftpd,aflnet,1,nodes,15
1772733273,bftpd,aflnet,1,edges,31
1772733286,bftpd,aflnet,1,nodes,15
1772733286,bftpd,aflnet,1,edges,31
1772733385,bftpd,aflnet,1,nodes,15
1772733385,bftpd,aflnet,1,edges,31
1772733393,bftpd,aflnet,1,nodes,15
1772733393,bftpd,aflnet,1,edges,31
1772733401,bftpd,aflnet,1,nodes,15
1772733401,bftpd,aflnet,1,edges,31
1772733424,bftpd,aflnet,1,nodes,15
1772733424,bftpd,aflnet,1,edges,31
1772733497,bftpd,aflnet,1,nodes,15
1772733497,bftpd,aflnet,1,edges,31
1772733547,bftpd,aflnet,1,nodes,15
1772733547,bftpd,aflnet,1,edges,31
1772733565,bftpd,aflnet,1,nodes,16
1772733565,bftpd,aflnet,1,edges,35
1772733570,bftpd,aflnet,1,nodes,16
1772733570,bftpd,aflnet,1,edges,36
1772733576,bftpd,aflnet,1,nodes,16
1772733576,bftpd,aflnet,1,edges,36
1772733581,bftpd,aflnet,1,nodes,16
1772733581,bftpd,aflnet,1,edges,36
1772733586,bftpd,aflnet,1,nodes,16
1772733586,bftpd,aflnet,1,edges,36
1772733596,bftpd,aflnet,1,nodes,16
1772733596,bftpd,aflnet,1,edges,37
1772733604,bftpd,aflnet,1,nodes,16
1772733604,bftpd,aflnet,1,edges,37
1772733609,bftpd,aflnet,1,nodes,16
1772733609,bftpd,aflnet,1,edges,38
1772733624,bftpd,aflnet,1,nodes,16
1772733624,bftpd,aflnet,1,edges,39
1772733629,bftpd,aflnet,1,nodes,16
1772733629,bftpd,aflnet,1,edges,39
1772733649,bftpd,aflnet,1,nodes,16
1772733649,bftpd,aflnet,1,edges,40
1772733666,bftpd,aflnet,1,nodes,16
1772733666,bftpd,aflnet,1,edges,40
1772733687,bftpd,aflnet,1,nodes,16
1772733687,bftpd,aflnet,1,edges,40
1772733709,bftpd,aflnet,1,nodes,16
1772733709,bftpd,aflnet,1,edges,40
1772733714,bftpd,aflnet,1,nodes,16
1772733714,bftpd,aflnet,1,edges,40
1772733725,bftpd,aflnet,1,nodes,16
1772733725,bftpd,aflnet,1,edges,40
1772733730,bftpd,aflnet,1,nodes,16
1772733730,bftpd,aflnet,1,edges,40
1772733746,bftpd,aflnet,1,nodes,16
1772733746,bftpd,aflnet,1,edges,41
1772733756,bftpd,aflnet,1,nodes,16
1772733756,bftpd,aflnet,1,edges,41
1772733777,bftpd,aflnet,1,nodes,16
1772733777,bftpd,aflnet,1,edges,41
1772733787,bftpd,aflnet,1,nodes,16
1772733787,bftpd,aflnet,1,edges,41
1772733860,bftpd,aflnet,1,nodes,16
1772733860,bftpd,aflnet,1,edges,41
1772733870,bftpd,aflnet,1,nodes,16
1772733870,bftpd,aflnet,1,edges,41
1772733886,bftpd,aflnet,1,nodes,16
1772733886,bftpd,aflnet,1,edges,41
1772733896,bftpd,aflnet,1,nodes,16
1772733896,bftpd,aflnet,1,edges,41
