time,subject,fuzzer,run,state_type,state
1772023565,exim,chatafl,1,nodes,15
1772023565,exim,chatafl,1,edges,32
1772023570,exim,chatafl,1,nodes,15
1772023570,exim,chatafl,1,edges,32
1772023580,exim,chatafl,1,nodes,15
1772023580,exim,chatafl,1,edges,34
1772023607,exim,chatafl,1,nodes,15
1772023607,exim,chatafl,1,edges,34
1772023617,exim,chatafl,1,nodes,15
1772023617,exim,chatafl,1,edges,34
1772023623,exim,chatafl,1,nodes,15
1772023623,exim,chatafl,1,edges,34
1772023628,exim,chatafl,1,nodes,15
1772023628,exim,chatafl,1,edges,34
1772023639,exim,chatafl,1,nodes,15
1772023639,exim,chatafl,1,edges,34
1772023644,exim,chatafl,1,nodes,15
1772023644,exim,chatafl,1,edges,34
1772023650,exim,chatafl,1,nodes,15
1772023650,exim,chatafl,1,edges,34
1772023660,exim,chatafl,1,nodes,15
1772023660,exim,chatafl,1,edges,34
1772023665,exim,chatafl,1,nodes,15
1772023665,exim,chatafl,1,edges,34
1772023676,exim,chatafl,1,nodes,15
1772023676,exim,chatafl,1,edges,34
1772023687,exim,chatafl,1,nodes,15
1772023687,exim,chatafl,1,edges,34
1772023698,exim,chatafl,1,nodes,15
1772023698,exim,chatafl,1,edges,34
1772023703,exim,chatafl,1,nodes,15
1772023703,exim,chatafl,1,edges,34
1772023709,exim,chatafl,1,nodes,15
1772023709,exim,chatafl,1,edges,34
1772023719,exim,chatafl,1,nodes,15
1772023719,exim,chatafl,1,edges,34
1772023730,exim,chatafl,1,nodes,15
1772023730,exim,chatafl,1,edges,34
1772023741,exim,chatafl,1,nodes,15
1772023741,exim,chatafl,1,edges,34
1772023746,exim,chatafl,1,nodes,15
1772023746,exim,chatafl,1,edges,34
1772023756,exim,chatafl,1,nodes,15
1772023756,exim,chatafl,1,edges,34
1772023778,exim,chatafl,1,nodes,15
1772023778,exim,chatafl,1,edges,34
1772023794,exim,chatafl,1,nodes,15
1772023794,exim,chatafl,1,edges,34
1772023799,exim,chatafl,1,nodes,15
1772023799,exim,chatafl,1,edges,34
1772023810,exim,chatafl,1,nodes,15
1772023810,exim,chatafl,1,edges,34
1772023825,exim,chatafl,1,nodes,15
1772023825,exim,chatafl,1,edges,34
1772023852,exim,chatafl,1,nodes,15
1772023852,exim,chatafl,1,edges,34
1772023884,exim,chatafl,1,nodes,15
1772023884,exim,chatafl,1,edges,34
1772023895,exim,chatafl,1,nodes,15
1772023895,exim,chatafl,1,edges,34
1772023916,exim,chatafl,1,nodes,15
1772023916,exim,chatafl,1,edges,34
1772023922,exim,chatafl,1,nodes,15
1772023922,exim,chatafl,1,edges,34
1772023954,exim,chatafl,1,nodes,15
1772023954,exim,chatafl,1,edges,34
1772023969,exim,chatafl,1,nodes,15
1772023969,exim,chatafl,1,edges,34
1772024011,exim,chatafl,1,nodes,15
1772024011,exim,chatafl,1,edges,35
1772024017,exim,chatafl,1,nodes,15
1772024017,exim,chatafl,1,edges,35
1772024054,exim,chatafl,1,nodes,15
1772024054,exim,chatafl,1,edges,35
1772024069,exim,chatafl,1,nodes,15
1772024069,exim,chatafl,1,edges,35
1772024080,exim,chatafl,1,nodes,15
1772024080,exim,chatafl,1,edges,35
1772024096,exim,chatafl,1,nodes,16
1772024096,exim,chatafl,1,edges,38
1772024107,exim,chatafl,1,nodes,16
1772024107,exim,chatafl,1,edges,40
1772024112,exim,chatafl,1,nodes,16
1772024112,exim,chatafl,1,edges,40
1772024128,exim,chatafl,1,nodes,16
1772024128,exim,chatafl,1,edges,40
1772024149,exim,chatafl,1,nodes,16
1772024149,exim,chatafl,1,edges,40
1772024154,exim,chatafl,1,nodes,16
1772024154,exim,chatafl,1,edges,40
1772024181,exim,chatafl,1,nodes,16
1772024181,exim,chatafl,1,edges,40
1772024197,exim,chatafl,1,nodes,16
1772024197,exim,chatafl,1,edges,40
1772024212,exim,chatafl,1,nodes,16
1772024212,exim,chatafl,1,edges,40
1772024217,exim,chatafl,1,nodes,16
1772024217,exim,chatafl,1,edges,43
1772024228,exim,chatafl,1,nodes,16
1772024228,exim,chatafl,1,edges,45
1772024233,exim,chatafl,1,nodes,16
1772024233,exim,chatafl,1,edges,45
1772024238,exim,chatafl,1,nodes,16
1772024238,exim,chatafl,1,edges,45
1772024244,exim,chatafl,1,nodes,16
1772024244,exim,chatafl,1,edges,45
1772024249,exim,chatafl,1,nodes,16
1772024249,exim,chatafl,1,edges,45
1772024254,exim,chatafl,1,nodes,16
1772024254,exim,chatafl,1,edges,46
1772024286,exim,chatafl,1,nodes,16
1772024286,exim,chatafl,1,edges,46
1772024291,exim,chatafl,1,nodes,16
1772024291,exim,chatafl,1,edges,46
1772024296,exim,chatafl,1,nodes,16
1772024296,exim,chatafl,1,edges,46
1772024302,exim,chatafl,1,nodes,16
1772024302,exim,chatafl,1,edges,46
1772024312,exim,chatafl,1,nodes,16
1772024312,exim,chatafl,1,edges,47
1772024318,exim,chatafl,1,nodes,16
1772024318,exim,chatafl,1,edges,50
1772024323,exim,chatafl,1,nodes,16
1772024323,exim,chatafl,1,edges,51
1772024333,exim,chatafl,1,nodes,16
1772024333,exim,chatafl,1,edges,52
1772024339,exim,chatafl,1,nodes,16
1772024339,exim,chatafl,1,edges,52
1772024344,exim,chatafl,1,nodes,16
1772024344,exim,chatafl,1,edges,52
1772024365,exim,chatafl,1,nodes,16
1772024365,exim,chatafl,1,edges,52
1772024370,exim,chatafl,1,nodes,16
1772024370,exim,chatafl,1,edges,52
1772024375,exim,chatafl,1,nodes,16
1772024375,exim,chatafl,1,edges,52
1772024392,exim,chatafl,1,nodes,16
1772024392,exim,chatafl,1,edges,52
1772024397,exim,chatafl,1,nodes,16
1772024397,exim,chatafl,1,edges,52
1772024418,exim,chatafl,1,nodes,16
1772024418,exim,chatafl,1,edges,52
1772024428,exim,chatafl,1,nodes,16
1772024428,exim,chatafl,1,edges,52
1772024433,exim,chatafl,1,nodes,16
1772024433,exim,chatafl,1,edges,53
1772024438,exim,chatafl,1,nodes,16
1772024438,exim,chatafl,1,edges,53
1772024443,exim,chatafl,1,nodes,16
1772024443,exim,chatafl,1,edges,53
1772024449,exim,chatafl,1,nodes,16
1772024449,exim,chatafl,1,edges,53
1772024454,exim,chatafl,1,nodes,16
1772024454,exim,chatafl,1,edges,53
1772024459,exim,chatafl,1,nodes,16
1772024459,exim,chatafl,1,edges,54
1772024465,exim,chatafl,1,nodes,16
1772024465,exim,chatafl,1,edges,54
1772024470,exim,chatafl,1,nodes,16
1772024470,exim,chatafl,1,edges,54
1772024475,exim,chatafl,1,nodes,16
1772024475,exim,chatafl,1,edges,54
1772024481,exim,chatafl,1,nodes,16
1772024481,exim,chatafl,1,edges,54
1772024491,exim,chatafl,1,nodes,16
1772024491,exim,chatafl,1,edges,55
1772024497,exim,chatafl,1,nodes,16
1772024497,exim,chatafl,1,edges,55
1772024502,exim,chatafl,1,nodes,16
1772024502,exim,chatafl,1,edges,55
1772024513,exim,chatafl,1,nodes,16
1772024513,exim,chatafl,1,edges,55
1772024518,exim,chatafl,1,nodes,17
1772024518,exim,chatafl,1,edges,58
1772024538,exim,chatafl,1,nodes,17
1772024538,exim,chatafl,1,edges,58
1772024544,exim,chatafl,1,nodes,17
1772024544,exim,chatafl,1,edges,58
1772024549,exim,chatafl,1,nodes,17
1772024549,exim,chatafl,1,edges,59
1772024554,exim,chatafl,1,nodes,17
1772024554,exim,chatafl,1,edges,59
1772024575,exim,chatafl,1,nodes,17
1772024575,exim,chatafl,1,edges,59
1772024580,exim,chatafl,1,nodes,17
1772024580,exim,chatafl,1,edges,59
1772024591,exim,chatafl,1,nodes,17
1772024591,exim,chatafl,1,edges,59
1772024596,exim,chatafl,1,nodes,17
1772024596,exim,chatafl,1,edges,59
1772024618,exim,chatafl,1,nodes,17
1772024618,exim,chatafl,1,edges,59
1772024641,exim,chatafl,1,nodes,17
1772024641,exim,chatafl,1,edges,59
1772024646,exim,chatafl,1,nodes,17
1772024646,exim,chatafl,1,edges,59
1772024652,exim,chatafl,1,nodes,17
1772024652,exim,chatafl,1,edges,59
1772024684,exim,chatafl,1,nodes,17
1772024684,exim,chatafl,1,edges,59
1772024689,exim,chatafl,1,nodes,17
1772024689,exim,chatafl,1,edges,59
1772024695,exim,chatafl,1,nodes,17
1772024695,exim,chatafl,1,edges,59
1772024700,exim,chatafl,1,nodes,18
1772024700,exim,chatafl,1,edges,61
1772024705,exim,chatafl,1,nodes,18
1772024705,exim,chatafl,1,edges,61
1772024710,exim,chatafl,1,nodes,18
1772024710,exim,chatafl,1,edges,61
1772024721,exim,chatafl,1,nodes,18
1772024721,exim,chatafl,1,edges,61
1772024726,exim,chatafl,1,nodes,18
1772024726,exim,chatafl,1,edges,61
1772024731,exim,chatafl,1,nodes,18
1772024731,exim,chatafl,1,edges,61
1772024736,exim,chatafl,1,nodes,18
1772024736,exim,chatafl,1,edges,61
1772024747,exim,chatafl,1,nodes,18
1772024747,exim,chatafl,1,edges,61
1772024752,exim,chatafl,1,nodes,18
1772024752,exim,chatafl,1,edges,61
1772024757,exim,chatafl,1,nodes,18
1772024757,exim,chatafl,1,edges,61
1772024763,exim,chatafl,1,nodes,18
1772024763,exim,chatafl,1,edges,61
1772024773,exim,chatafl,1,nodes,18
1772024773,exim,chatafl,1,edges,61
1772024779,exim,chatafl,1,nodes,18
1772024779,exim,chatafl,1,edges,61
1772024784,exim,chatafl,1,nodes,18
1772024784,exim,chatafl,1,edges,61
1772024789,exim,chatafl,1,nodes,18
1772024789,exim,chatafl,1,edges,61
1772024795,exim,chatafl,1,nodes,18
1772024795,exim,chatafl,1,edges,61
1772024800,exim,chatafl,1,nodes,18
1772024800,exim,chatafl,1,edges,61
1772024822,exim,chatafl,1,nodes,18
1772024822,exim,chatafl,1,edges,61
1772024827,exim,chatafl,1,nodes,18
1772024827,exim,chatafl,1,edges,61
1772024832,exim,chatafl,1,nodes,18
1772024832,exim,chatafl,1,edges,61
1772024837,exim,chatafl,1,nodes,18
1772024837,exim,chatafl,1,edges,61
1772024842,exim,chatafl,1,nodes,18
1772024842,exim,chatafl,1,edges,61
1772024848,exim,chatafl,1,nodes,18
1772024848,exim,chatafl,1,edges,61
1772024928,exim,chatafl,1,nodes,18
1772024928,exim,chatafl,1,edges,61
1772024933,exim,chatafl,1,nodes,18
1772024933,exim,chatafl,1,edges,61
1772024955,exim,chatafl,1,nodes,18
1772024955,exim,chatafl,1,edges,61
1772024960,exim,chatafl,1,nodes,18
1772024960,exim,chatafl,1,edges,61
1772024970,exim,chatafl,1,nodes,18
1772024970,exim,chatafl,1,edges,61
1772024976,exim,chatafl,1,nodes,18
1772024976,exim,chatafl,1,edges,61
1772024981,exim,chatafl,1,nodes,18
1772024981,exim,chatafl,1,edges,61
1772024986,exim,chatafl,1,nodes,18
1772024986,exim,chatafl,1,edges,61
1772024997,exim,chatafl,1,nodes,18
1772024997,exim,chatafl,1,edges,61
1772025002,exim,chatafl,1,nodes,18
1772025002,exim,chatafl,1,edges,61
1772025013,exim,chatafl,1,nodes,18
1772025013,exim,chatafl,1,edges,61
1772025033,exim,chatafl,1,nodes,18
1772025033,exim,chatafl,1,edges,61
1772025039,exim,chatafl,1,nodes,18
1772025039,exim,chatafl,1,edges,61
1772025062,exim,chatafl,1,nodes,18
1772025062,exim,chatafl,1,edges,61
1772025079,exim,chatafl,1,nodes,18
1772025079,exim,chatafl,1,edges,61
1772025084,exim,chatafl,1,nodes,18
1772025084,exim,chatafl,1,edges,61
1772025094,exim,chatafl,1,nodes,18
1772025094,exim,chatafl,1,edges,61
1772025105,exim,chatafl,1,nodes,18
1772025105,exim,chatafl,1,edges,61
1772025110,exim,chatafl,1,nodes,18
1772025110,exim,chatafl,1,edges,61
1772025121,exim,chatafl,1,nodes,18
1772025121,exim,chatafl,1,edges,61
1772025126,exim,chatafl,1,nodes,18
1772025126,exim,chatafl,1,edges,61
1772025142,exim,chatafl,1,nodes,18
1772025142,exim,chatafl,1,edges,62
1772025163,exim,chatafl,1,nodes,18
1772025163,exim,chatafl,1,edges,62
1772025168,exim,chatafl,1,nodes,18
1772025168,exim,chatafl,1,edges,62
1772025174,exim,chatafl,1,nodes,18
1772025174,exim,chatafl,1,edges,62
1772025179,exim,chatafl,1,nodes,18
1772025179,exim,chatafl,1,edges,62
1772025195,exim,chatafl,1,nodes,18
1772025195,exim,chatafl,1,edges,62
1772025205,exim,chatafl,1,nodes,18
1772025205,exim,chatafl,1,edges,62
1772025211,exim,chatafl,1,nodes,18
1772025211,exim,chatafl,1,edges,62
1772025216,exim,chatafl,1,nodes,18
1772025216,exim,chatafl,1,edges,62
1772025222,exim,chatafl,1,nodes,18
1772025222,exim,chatafl,1,edges,64
1772025227,exim,chatafl,1,nodes,18
1772025227,exim,chatafl,1,edges,64
1772025237,exim,chatafl,1,nodes,18
1772025237,exim,chatafl,1,edges,64
1772025243,exim,chatafl,1,nodes,18
1772025243,exim,chatafl,1,edges,64
1772025248,exim,chatafl,1,nodes,18
1772025248,exim,chatafl,1,edges,64
1772025253,exim,chatafl,1,nodes,18
1772025253,exim,chatafl,1,edges,64
1772025258,exim,chatafl,1,nodes,18
1772025258,exim,chatafl,1,edges,64
1772025269,exim,chatafl,1,nodes,18
1772025269,exim,chatafl,1,edges,64
1772025274,exim,chatafl,1,nodes,18
1772025274,exim,chatafl,1,edges,64
1772025295,exim,chatafl,1,nodes,18
1772025295,exim,chatafl,1,edges,64
1772025326,exim,chatafl,1,nodes,18
1772025326,exim,chatafl,1,edges,64
1772025331,exim,chatafl,1,nodes,18
1772025331,exim,chatafl,1,edges,64
1772025358,exim,chatafl,1,nodes,18
1772025358,exim,chatafl,1,edges,64
1772025373,exim,chatafl,1,nodes,18
1772025373,exim,chatafl,1,edges,64
1772025442,exim,chatafl,1,nodes,18
1772025442,exim,chatafl,1,edges,64
1772025448,exim,chatafl,1,nodes,18
1772025448,exim,chatafl,1,edges,64
1772025459,exim,chatafl,1,nodes,18
1772025459,exim,chatafl,1,edges,64
1772025469,exim,chatafl,1,nodes,18
1772025469,exim,chatafl,1,edges,64
1772025479,exim,chatafl,1,nodes,18
1772025479,exim,chatafl,1,edges,64
1772025485,exim,chatafl,1,nodes,18
1772025485,exim,chatafl,1,edges,64
1772025500,exim,chatafl,1,nodes,18
1772025500,exim,chatafl,1,edges,64
1772025526,exim,chatafl,1,nodes,18
1772025526,exim,chatafl,1,edges,64
1772025532,exim,chatafl,1,nodes,18
1772025532,exim,chatafl,1,edges,64
1772025558,exim,chatafl,1,nodes,18
1772025558,exim,chatafl,1,edges,64
1772025563,exim,chatafl,1,nodes,18
1772025563,exim,chatafl,1,edges,64
1772025569,exim,chatafl,1,nodes,18
1772025569,exim,chatafl,1,edges,64
1772025574,exim,chatafl,1,nodes,18
1772025574,exim,chatafl,1,edges,64
1772025585,exim,chatafl,1,nodes,18
1772025585,exim,chatafl,1,edges,64
1772025617,exim,chatafl,1,nodes,18
1772025617,exim,chatafl,1,edges,64
1772025627,exim,chatafl,1,nodes,18
1772025627,exim,chatafl,1,edges,64
1772025643,exim,chatafl,1,nodes,18
1772025643,exim,chatafl,1,edges,64
1772025653,exim,chatafl,1,nodes,18
1772025653,exim,chatafl,1,edges,64
1772025663,exim,chatafl,1,nodes,18
1772025663,exim,chatafl,1,edges,64
1772025689,exim,chatafl,1,nodes,18
1772025689,exim,chatafl,1,edges,64
1772025700,exim,chatafl,1,nodes,18
1772025700,exim,chatafl,1,edges,64
1772025711,exim,chatafl,1,nodes,18
1772025711,exim,chatafl,1,edges,64
1772025716,exim,chatafl,1,nodes,18
