subject,fuzzer,data_type,time,data
exim,aflnet,nodes,0,0.0
exim,aflnet,nodes,1,9.0
exim,aflnet,nodes,61,16.0
exim,aflnet,nodes,121,16.0
exim,aflnet,nodes,181,16.0
exim,aflnet,edges,0,0.0
exim,aflnet,edges,1,15.0
exim,aflnet,edges,61,52.0
exim,aflnet,edges,121,58.0
exim,aflnet,edges,181,62.0
exim,chatafl,nodes,0,0.0
exim,chatafl,nodes,1,14.0
exim,chatafl,nodes,61,16.0
exim,chatafl,nodes,121,17.0
exim,chatafl,nodes,181,17.0
exim,chatafl,edges,0,0.0
exim,chatafl,edges,1,29.0
exim,chatafl,edges,61,54.0
exim,chatafl,edges,121,56.0
exim,chatafl,edges,181,60.0
exim,chatafl_opt,nodes,0,0.0
exim,chatafl_opt,nodes,1,17.0
exim,chatafl_opt,nodes,61,18.0
exim,chatafl_opt,nodes,121,18.0
exim,chatafl_opt,nodes,181,19.0
exim,chatafl_opt,edges,0,0.0
exim,chatafl_opt,edges,1,67.0
exim,chatafl_opt,edges,61,87.0
exim,chatafl_opt,edges,121,88.0
exim,chatafl_opt,edges,181,108.0
