time,subject,fuzzer,run,cov_type,cov
1772733163,exim,aflnet,1,l_per,12.7
1772733163,exim,aflnet,1,l_abs,5527
1772733163,exim,aflnet,1,b_per,8.0
1772733163,exim,aflnet,1,b_abs,3056
1772733169,exim,aflnet,1,l_per,13.2
1772733169,exim,aflnet,1,l_abs,5747
1772733169,exim,aflnet,1,b_per,8.3
1772733169,exim,aflnet,1,b_abs,3174
1772733406,exim,aflnet,1,l_per,13.2
1772733406,exim,aflnet,1,l_abs,5751
1772733406,exim,aflnet,1,b_per,8.3
1772733406,exim,aflnet,1,b_abs,3180
1772733857,exim,aflnet,1,l_per,13.2
1772733857,exim,aflnet,1,l_abs,5751
1772733857,exim,aflnet,1,b_per,8.3
1772733857,exim,aflnet,1,b_abs,3180
1772734211,exim,aflnet,1,l_per,13.2
1772734211,exim,aflnet,1,l_abs,5751
1772734211,exim,aflnet,1,b_per,8.3
1772734211,exim,aflnet,1,b_abs,3180
1772734803,exim,aflnet,1,l_per,13.3
1772734803,exim,aflnet,1,l_abs,5789
1772734803,exim,aflnet,1,b_per,8.4
1772734803,exim,aflnet,1,b_abs,3208
1772735641,exim,aflnet,1,l_per,13.3
1772735641,exim,aflnet,1,l_abs,5789
1772735641,exim,aflnet,1,b_per,8.4
1772735641,exim,aflnet,1,b_abs,3208
1772736081,exim,aflnet,1,l_per,13.5
1772736081,exim,aflnet,1,l_abs,5903
1772736081,exim,aflnet,1,b_per,8.6
1772736081,exim,aflnet,1,b_abs,3295
1772736710,exim,aflnet,1,l_per,13.6
1772736710,exim,aflnet,1,l_abs,5932
1772736710,exim,aflnet,1,b_per,8.7
1772736710,exim,aflnet,1,b_abs,3323
1772737104,exim,aflnet,1,l_per,13.8
1772737104,exim,aflnet,1,l_abs,6028
1772737104,exim,aflnet,1,b_per,8.9
1772737104,exim,aflnet,1,b_abs,3411
1772737651,exim,aflnet,1,l_per,13.9
1772737651,exim,aflnet,1,l_abs,6077
1772737651,exim,aflnet,1,b_per,9.0
