time,subject,fuzzer,run,state_type,state
1772792334,exim,aflnet,1,nodes,8
1772792334,exim,aflnet,1,edges,13
1772792340,exim,aflnet,1,nodes,8
1772792340,exim,aflnet,1,edges,13
1772792345,exim,aflnet,1,nodes,9
1772792345,exim,aflnet,1,edges,15
1772792350,exim,aflnet,1,nodes,9
1772792350,exim,aflnet,1,edges,15
1772792356,exim,aflnet,1,nodes,9
1772792356,exim,aflnet,1,edges,15
1772792361,exim,aflnet,1,nodes,9
1772792361,exim,aflnet,1,edges,15
1772792366,exim,aflnet,1,nodes,9
1772792366,exim,aflnet,1,edges,15
1772792371,exim,aflnet,1,nodes,9
1772792371,exim,aflnet,1,edges,15
1772792376,exim,aflnet,1,nodes,9
1772792376,exim,aflnet,1,edges,15
1772792381,exim,aflnet,1,nodes,9
1772792381,exim,aflnet,1,edges,15
1772792387,exim,aflnet,1,nodes,9
1772792387,exim,aflnet,1,edges,15
1772792392,exim,aflnet,1,nodes,9
1772792392,exim,aflnet,1,edges,15
1772792397,exim,aflnet,1,nodes,9
1772792397,exim,aflnet,1,edges,15
1772792402,exim,aflnet,1,nodes,9
1772792402,exim,aflnet,1,edges,15
1772792407,exim,aflnet,1,nodes,9
1772792407,exim,aflnet,1,edges,15
1772792417,exim,aflnet,1,nodes,9
1772792417,exim,aflnet,1,edges,16
1772792422,exim,aflnet,1,nodes,9
1772792422,exim,aflnet,1,edges,16
1772792427,exim,aflnet,1,nodes,9
1772792427,exim,aflnet,1,edges,16
1772792433,exim,aflnet,1,nodes,9
1772792433,exim,aflnet,1,edges,16
1772792438,exim,aflnet,1,nodes,9
1772792438,exim,aflnet,1,edges,16
1772792443,exim,aflnet,1,nodes,9
1772792443,exim,aflnet,1,edges,16
1772792449,exim,aflnet,1,nodes,9
1772792449,exim,aflnet,1,edges,17
1772792459,exim,aflnet,1,nodes,9
1772792459,exim,aflnet,1,edges,17
1772792464,exim,aflnet,1,nodes,9
1772792464,exim,aflnet,1,edges,17
1772792474,exim,aflnet,1,nodes,9
1772792474,exim,aflnet,1,edges,17
1772792480,exim,aflnet,1,nodes,9
1772792480,exim,aflnet,1,edges,17
1772792490,exim,aflnet,1,nodes,9
1772792490,exim,aflnet,1,edges,17
1772792495,exim,aflnet,1,nodes,9
1772792495,exim,aflnet,1,edges,17
1772792501,exim,aflnet,1,nodes,9
1772792501,exim,aflnet,1,edges,17
1772792506,exim,aflnet,1,nodes,9
1772792506,exim,aflnet,1,edges,17
1772792511,exim,aflnet,1,nodes,9
1772792511,exim,aflnet,1,edges,18
1772792516,exim,aflnet,1,nodes,9
1772792516,exim,aflnet,1,edges,19
1772792526,exim,aflnet,1,nodes,9
1772792526,exim,aflnet,1,edges,19
1772792531,exim,aflnet,1,nodes,9
1772792531,exim,aflnet,1,edges,19
1772792542,exim,aflnet,1,nodes,9
1772792542,exim,aflnet,1,edges,19
1772792548,exim,aflnet,1,nodes,9
1772792548,exim,aflnet,1,edges,19
1772792553,exim,aflnet,1,nodes,9
1772792553,exim,aflnet,1,edges,19
1772792563,exim,aflnet,1,nodes,9
1772792563,exim,aflnet,1,edges,19
1772792574,exim,aflnet,1,nodes,9
1772792574,exim,aflnet,1,edges,19
1772792584,exim,aflnet,1,nodes,9
1772792584,exim,aflnet,1,edges,19
1772792605,exim,aflnet,1,nodes,9
1772792605,exim,aflnet,1,edges,19
1772792615,exim,aflnet,1,nodes,9
1772792615,exim,aflnet,1,edges,19
1772792647,exim,aflnet,1,nodes,9
1772792647,exim,aflnet,1,edges,19
1772792652,exim,aflnet,1,nodes,9
1772792652,exim,aflnet,1,edges,19
1772792663,exim,aflnet,1,nodes,9
1772792663,exim,aflnet,1,edges,19
1772792684,exim,aflnet,1,nodes,9
1772792684,exim,aflnet,1,edges,19
1772792689,exim,aflnet,1,nodes,9
1772792689,exim,aflnet,1,edges,19
1772792715,exim,aflnet,1,nodes,9
1772792715,exim,aflnet,1,edges,19
1772792731,exim,aflnet,1,nodes,9
1772792731,exim,aflnet,1,edges,19
1772792742,exim,aflnet,1,nodes,9
1772792742,exim,aflnet,1,edges,19
1772792768,exim,aflnet,1,nodes,9
1772792768,exim,aflnet,1,edges,19
1772792779,exim,aflnet,1,nodes,9
1772792779,exim,aflnet,1,edges,19
1772792794,exim,aflnet,1,nodes,9
1772792794,exim,aflnet,1,edges,19
1772792805,exim,aflnet,1,nodes,9
1772792805,exim,aflnet,1,edges,19
1772792815,exim,aflnet,1,nodes,9
1772792815,exim,aflnet,1,edges,19
1772792831,exim,aflnet,1,nodes,10
1772792831,exim,aflnet,1,edges,21
1772792857,exim,aflnet,1,nodes,10
1772792857,exim,aflnet,1,edges,22
