fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1451,11,4121,12351,0,0.008029,4090,12257,0.007968,tiktoken_stall_only
chatafl,2,1450,9,3134,14888,0,0.009403,3112,14785,0.009338,tiktoken_stall_only
chatafl,3,1450,11,4176,15540,0,0.009950,4147,15433,0.009882,tiktoken_stall_only
chatafl,4,1448,15,5080,20154,0,0.012854,5052,20043,0.012783,tiktoken_stall_only
chatafl,5,1455,9,3633,15586,0,0.009897,3596,15425,0.009795,tiktoken_stall_only
chatafl_opt,1,1465,50,129155,7968,0,0.024154,126951,7832,0.023742,exact
chatafl_opt,2,1466,52,93017,5833,0,0.017452,91367,5730,0.017143,exact
chatafl_opt,3,1466,51,91904,5942,0,0.017351,90274,5837,0.017043,exact
chatafl_opt,4,1465,54,136764,9211,0,0.026041,134430,9054,0.025597,exact
chatafl_opt,5,1466,58,116784,7336,0,0.021919,114713,7206,0.021530,exact
