fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1468,112,14247,37629,0,0.024714,13975,36911,0.024243,exact
chatafl,2,1467,109,13486,39467,0,0.025703,13238,38741,0.025230,exact
chatafl,3,1469,109,13111,36241,0,0.023711,12852,35526,0.023243,exact
chatafl,4,1468,116,15633,53207,0,0.034269,15335,52192,0.033616,exact
chatafl,5,1470,113,14159,42817,0,0.027814,13870,41943,0.027246,exact
chatafl,6,1466,111,14299,45687,0,0.029557,14045,44877,0.029033,exact
chatafl,7,1470,110,13500,39324,0,0.025619,13224,38521,0.025097,exact
chatafl,8,1470,113,14836,50307,0,0.032410,14533,49280,0.031748,exact
chatafl,9,1468,107,12245,34598,0,0.022596,12011,33938,0.022165,exact
chatafl,10,1471,115,14671,48178,0,0.031107,14362,47163,0.030452,exact
chatafl_opt,1,1477,156,122433,20175,0,0.030470,119366,19670,0.029707,exact
chatafl_opt,2,1477,159,121223,21179,0,0.030891,118186,20648,0.030117,exact
chatafl_opt,3,1478,146,109546,15514,0,0.025740,106730,15115,0.025079,exact
chatafl_opt,4,1467,156,128867,18138,0,0.030213,126495,17804,0.029657,exact
chatafl_opt,5,1467,155,119259,20134,0,0.029969,117064,19763,0.029418,exact
chatafl_opt,6,1466,136,98190,22814,0,0.028417,96449,22409,0.027913,exact
chatafl_opt,7,1477,158,129170,16838,0,0.029478,125934,16416,0.028740,exact
chatafl_opt,8,1477,159,136083,20076,0,0.032458,132674,19573,0.031645,exact
chatafl_opt,9,1478,153,123649,15728,0,0.027984,120470,15324,0.027265,exact
chatafl_opt,10,1478,159,136578,17356,0,0.030900,133067,16910,0.030106,exact
