subject,fuzzer,data_type,time,data
exim,aflnet,nodes,0,0.0
exim,aflnet,nodes,1,9.0
exim,aflnet,nodes,61,14.3
exim,aflnet,nodes,121,15.9
exim,aflnet,nodes,181,15.9
exim,aflnet,nodes,241,16.1
exim,aflnet,nodes,301,16.7
exim,aflnet,nodes,361,16.9
exim,aflnet,nodes,421,17.1
exim,aflnet,nodes,481,17.2
exim,aflnet,nodes,541,17.4
exim,aflnet,nodes,601,17.4
exim,aflnet,nodes,661,17.6
exim,aflnet,nodes,721,17.6
exim,aflnet,nodes,781,17.6
exim,aflnet,nodes,841,17.6
exim,aflnet,nodes,901,17.6
exim,aflnet,nodes,961,17.6
exim,aflnet,nodes,1021,17.7
exim,aflnet,nodes,1081,17.7
exim,aflnet,nodes,1141,17.7
exim,aflnet,nodes,1201,17.9
exim,aflnet,nodes,1261,18.0
exim,aflnet,nodes,1321,18.1
exim,aflnet,nodes,1381,18.1
exim,aflnet,edges,0,0.0
exim,aflnet,edges,1,15.1
exim,aflnet,edges,61,42.8
exim,aflnet,edges,121,59.7
exim,aflnet,edges,181,60.2
exim,aflnet,edges,241,65.8
exim,aflnet,edges,301,72.2
exim,aflnet,edges,361,74.1
exim,aflnet,edges,421,76.7
exim,aflnet,edges,481,78.4
exim,aflnet,edges,541,80.1
exim,aflnet,edges,601,80.4
exim,aflnet,edges,661,81.3
exim,aflnet,edges,721,82.1
exim,aflnet,edges,781,82.8
exim,aflnet,edges,841,83.8
exim,aflnet,edges,901,84.2
exim,aflnet,edges,961,84.6
exim,aflnet,edges,1021,85.1
exim,aflnet,edges,1081,85.5
exim,aflnet,edges,1141,85.7
exim,aflnet,edges,1201,86.1
exim,aflnet,edges,1261,86.5
exim,aflnet,edges,1321,87.2
exim,aflnet,edges,1381,87.8
exim,chatafl,nodes,0,0.0
exim,chatafl,nodes,1,15.9
exim,chatafl,nodes,61,17.5
exim,chatafl,nodes,121,17.6
exim,chatafl,nodes,181,17.6
exim,chatafl,nodes,241,17.7
exim,chatafl,nodes,301,17.7
exim,chatafl,nodes,361,17.7
exim,chatafl,nodes,421,17.8
exim,chatafl,nodes,481,17.8
exim,chatafl,nodes,541,17.8
exim,chatafl,nodes,601,17.8
exim,chatafl,nodes,661,18.0
exim,chatafl,nodes,721,18.0
exim,chatafl,nodes,781,18.0
exim,chatafl,nodes,841,18.0
exim,chatafl,nodes,901,18.0
exim,chatafl,nodes,961,18.0
exim,chatafl,nodes,1021,18.0
exim,chatafl,nodes,1081,18.0
exim,chatafl,nodes,1141,18.1
exim,chatafl,nodes,1201,18.1
exim,chatafl,nodes,1261,18.1
exim,chatafl,nodes,1321,18.2
exim,chatafl,nodes,1381,18.2
exim,chatafl,edges,0,0.0
exim,chatafl,edges,1,38.4
exim,chatafl,edges,61,72.5
exim,chatafl,edges,121,74.7
exim,chatafl,edges,181,75.9
exim,chatafl,edges,241,80.5
exim,chatafl,edges,301,83.4
exim,chatafl,edges,361,85.1
exim,chatafl,edges,421,88.0
exim,chatafl,edges,481,89.5
exim,chatafl,edges,541,90.1
exim,chatafl,edges,601,91.1
exim,chatafl,edges,661,92.2
exim,chatafl,edges,721,92.6
exim,chatafl,edges,781,93.7
exim,chatafl,edges,841,94.7
exim,chatafl,edges,901,95.4
exim,chatafl,edges,961,95.5
exim,chatafl,edges,1021,96.6
exim,chatafl,edges,1081,96.7
exim,chatafl,edges,1141,97.2
exim,chatafl,edges,1201,97.4
exim,chatafl,edges,1261,98.3
exim,chatafl,edges,1321,98.8
exim,chatafl,edges,1381,99.3
exim,chatafl_opt,nodes,0,0.0
exim,chatafl_opt,nodes,1,16.4
exim,chatafl_opt,nodes,61,17.2
exim,chatafl_opt,nodes,121,17.6
exim,chatafl_opt,nodes,181,17.8
exim,chatafl_opt,nodes,241,17.8
exim,chatafl_opt,nodes,301,17.9
exim,chatafl_opt,nodes,361,18.0
exim,chatafl_opt,nodes,421,18.1
exim,chatafl_opt,nodes,481,18.2
exim,chatafl_opt,nodes,541,18.2
exim,chatafl_opt,nodes,601,18.3
exim,chatafl_opt,nodes,661,18.3
exim,chatafl_opt,nodes,721,18.3
exim,chatafl_opt,nodes,781,18.4
exim,chatafl_opt,nodes,841,18.4
exim,chatafl_opt,nodes,901,18.4
exim,chatafl_opt,nodes,961,18.4
exim,chatafl_opt,nodes,1021,18.4
exim,chatafl_opt,nodes,1081,18.4
exim,chatafl_opt,nodes,1141,18.4
exim,chatafl_opt,nodes,1201,18.5
exim,chatafl_opt,nodes,1261,18.5
exim,chatafl_opt,nodes,1321,18.6
exim,chatafl_opt,nodes,1381,18.6
exim,chatafl_opt,edges,0,0.0
exim,chatafl_opt,edges,1,57.7
exim,chatafl_opt,edges,61,72.3
exim,chatafl_opt,edges,121,83.7
exim,chatafl_opt,edges,181,88.0
exim,chatafl_opt,edges,241,89.4
exim,chatafl_opt,edges,301,94.5
exim,chatafl_opt,edges,361,99.4
exim,chatafl_opt,edges,421,102.0
exim,chatafl_opt,edges,481,104.7
exim,chatafl_opt,edges,541,106.3
exim,chatafl_opt,edges,601,107.9
exim,chatafl_opt,edges,661,109.0
exim,chatafl_opt,edges,721,109.5
exim,chatafl_opt,edges,781,110.3
exim,chatafl_opt,edges,841,110.8
exim,chatafl_opt,edges,901,111.5
exim,chatafl_opt,edges,961,112.2
exim,chatafl_opt,edges,1021,112.6
exim,chatafl_opt,edges,1081,113.6
exim,chatafl_opt,edges,1141,113.8
exim,chatafl_opt,edges,1201,114.4
exim,chatafl_opt,edges,1261,114.9
exim,chatafl_opt,edges,1321,115.2
exim,chatafl_opt,edges,1381,115.2
