time,subject,fuzzer,run,cov_type,cov
1773673834,exim,aflnet,1,l_per,12.7
1773673834,exim,aflnet,1,l_abs,5525
1773673834,exim,aflnet,1,b_per,8.0
1773673834,exim,aflnet,1,b_abs,3056
1773673865,exim,aflnet,1,l_per,13.2
1773673865,exim,aflnet,1,l_abs,5746
1773673865,exim,aflnet,1,b_per,8.3
1773673865,exim,aflnet,1,b_abs,3175
1773674160,exim,aflnet,1,l_per,13.2
1773674160,exim,aflnet,1,l_abs,5749
1773674160,exim,aflnet,1,b_per,8.3
1773674160,exim,aflnet,1,b_abs,3178
1773674827,exim,aflnet,1,l_per,13.2
1773674827,exim,aflnet,1,l_abs,5764
1773674827,exim,aflnet,1,b_per,8.4
1773674827,exim,aflnet,1,b_abs,3195
1773675216,exim,aflnet,1,l_per,13.4
1773675216,exim,aflnet,1,l_abs,5833
1773675216,exim,aflnet,1,b_per,8.5
1773675216,exim,aflnet,1,b_abs,3244
1773675723,exim,aflnet,1,l_per,13.4
1773675723,exim,aflnet,1,l_abs,5835
1773675723,exim,aflnet,1,b_per,8.5
1773675723,exim,aflnet,1,b_abs,3245
1773676449,exim,aflnet,1,l_per,13.4
1773676449,exim,aflnet,1,l_abs,5847
1773676449,exim,aflnet,1,b_per,8.5
1773676449,exim,aflnet,1,b_abs,3258
1773676924,exim,aflnet,1,l_per,13.5
1773676924,exim,aflnet,1,l_abs,5895
1773676924,exim,aflnet,1,b_per,8.6
1773676924,exim,aflnet,1,b_abs,3291
1773677890,exim,aflnet,1,l_per,13.5
1773677890,exim,aflnet,1,l_abs,5895
1773677890,exim,aflnet,1,b_per,8.6
1773677890,exim,aflnet,1,b_abs,3291
1773678461,exim,aflnet,1,l_per,13.6
1773678461,exim,aflnet,1,l_abs,5950
1773678461,exim,aflnet,1,b_per,8.8
1773678461,exim,aflnet,1,b_abs,3340
1773679306,exim,aflnet,1,l_per,13.7
1773679306,exim,aflnet,1,l_abs,5957
1773679306,exim,aflnet,1,b_per,8.8
1773679306,exim,aflnet,1,b_abs,3348
1773680036,exim,aflnet,1,l_per,13.7
1773680036,exim,aflnet,1,l_abs,5971
1773680036,exim,aflnet,1,b_per,8.8
1773680036,exim,aflnet,1,b_abs,3361
1773680852,exim,aflnet,1,l_per,13.8
1773680852,exim,aflnet,1,l_abs,6004
1773680852,exim,aflnet,1,b_per,8.9
1773680852,exim,aflnet,1,b_abs,3386
1773681800,exim,aflnet,1,l_per,13.9
1773681800,exim,aflnet,1,l_abs,6049
1773681800,exim,aflnet,1,b_per,9.0
1773681800,exim,aflnet,1,b_abs,3424
1773682981,exim,aflnet,1,l_per,13.9
1773682981,exim,aflnet,1,l_abs,6075
1773682981,exim,aflnet,1,b_per,9.0
1773682981,exim,aflnet,1,b_abs,3448
1773684882,exim,aflnet,1,l_per,14.0
1773684882,exim,aflnet,1,l_abs,6084
1773684882,exim,aflnet,1,b_per,9.1
1773684882,exim,aflnet,1,b_abs,3455
1773686633,exim,aflnet,1,l_per,14.2
1773686633,exim,aflnet,1,l_abs,6201
1773686633,exim,aflnet,1,b_per,9.3
1773686633,exim,aflnet,1,b_abs,3566
1773687531,exim,aflnet,1,l_per,14.2
1773687531,exim,aflnet,1,l_abs,6203
1773687531,exim,aflnet,1,b_per,9.4
1773687531,exim,aflnet,1,b_abs,3573
1773689060,exim,aflnet,1,l_per,14.3
1773689060,exim,aflnet,1,l_abs,6257
1773689060,exim,aflnet,1,b_per,9.5
1773689060,exim,aflnet,1,b_abs,3616
1773690480,exim,aflnet,1,l_per,14.4
1773690480,exim,aflnet,1,l_abs,6263
1773690480,exim,aflnet,1,b_per,9.5
1773690480,exim,aflnet,1,b_abs,3625
1773692082,exim,aflnet,1,l_per,14.4
1773692082,exim,aflnet,1,l_abs,6275
1773692082,exim,aflnet,1,b_per,9.5
1773692082,exim,aflnet,1,b_abs,3633
1773694468,exim,aflnet,1,l_per,14.4
1773694468,exim,aflnet,1,l_abs,6284
1773694468,exim,aflnet,1,b_per,9.5
1773694468,exim,aflnet,1,b_abs,3644
1773697444,exim,aflnet,1,l_per,14.5
1773697444,exim,aflnet,1,l_abs,6303
1773697444,exim,aflnet,1,b_per,9.6
1773697444,exim,aflnet,1,b_abs,3660
1773698608,exim,aflnet,1,l_per,14.5
1773698608,exim,aflnet,1,l_abs,6337
1773698608,exim,aflnet,1,b_per,9.7
1773698608,exim,aflnet,1,b_abs,3710
1773701471,exim,aflnet,1,l_per,14.5
1773701471,exim,aflnet,1,l_abs,6345
1773701471,exim,aflnet,1,b_per,9.7
1773701471,exim,aflnet,1,b_abs,3716
