subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
exim,aflnet,1,out-exim-aflnet_1.tar.gz,1479,1479,6430,3826,18,92,1773673810,1773762605
exim,aflnet,2,out-exim-aflnet_2.tar.gz,1479,1479,6440,3835,18,84,1773673811,1773762605
exim,aflnet,3,out-exim-aflnet_3.tar.gz,1479,1479,6401,3763,19,98,1773673811,1773762606
exim,aflnet,4,out-exim-aflnet_4.tar.gz,1479,1479,6364,3706,18,93,1774173990,1774262787
exim,aflnet,5,out-exim-aflnet_5.tar.gz,1479,1479,6453,3818,20,91,1774173991,1774262788
exim,aflnet,6,out-exim-aflnet_6.tar.gz,1479,1479,6428,3821,17,83,1774173992,1774262788
exim,aflnet,7,out-exim-aflnet_7.tar.gz,1479,1479,6368,3758,17,83,1774173992,1774262789
exim,aflnet,8,out-exim-aflnet_8.tar.gz,1479,1479,6415,3797,17,84,1774173993,1774262789
exim,aflnet,9,out-exim-aflnet_9.tar.gz,1479,1479,6479,3839,20,91,1774173993,1774262791
exim,aflnet,10,out-exim-aflnet_10.tar.gz,1479,1479,6387,3782,17,84,1774173994,1774262791
exim,chatafl,1,out-exim-chatafl_1.tar.gz,1468,1468,6238,3617,18,99,1773674489,1773762609
exim,chatafl,2,out-exim-chatafl_2.tar.gz,1467,1467,6208,3594,18,101,1773674534,1773762610
exim,chatafl,3,out-exim-chatafl_3.tar.gz,1469,1469,6395,3770,18,100,1773674443,1773762611
exim,chatafl,4,out-exim-chatafl_4.tar.gz,1468,1468,6372,3787,19,100,1774370131,1774458220
exim,chatafl,5,out-exim-chatafl_5.tar.gz,1470,1470,6284,3652,17,90,1774369990,1774458218
exim,chatafl,6,out-exim-chatafl_6.tar.gz,1466,1466,6270,3657,19,106,1774370238,1774458220
exim,chatafl,7,out-exim-chatafl_7.tar.gz,1470,1470,6382,3803,18,99,1774369977,1774458221
exim,chatafl,8,out-exim-chatafl_8.tar.gz,1470,1470,6302,3668,18,91,1774369997,1774458222
exim,chatafl,9,out-exim-chatafl_9.tar.gz,1468,1468,6365,3761,19,105,1774370139,1774458220
exim,chatafl,10,out-exim-chatafl_10.tar.gz,1471,1471,6360,3714,18,104,1774617415,1774705708
exim,chatafl_opt,1,out-exim-chatafl_opt_1.tar.gz,1477,1477,6542,3912,20,120,1773673941,1773762610
exim,chatafl_opt,2,out-exim-chatafl_opt_2.tar.gz,1477,1477,6512,3892,18,116,1773673950,1773762610
exim,chatafl_opt,3,out-exim-chatafl_opt_3.tar.gz,1478,1478,6521,3909,18,123,1773673928,1773762610
exim,chatafl_opt,4,out-exim-chatafl_opt_4.tar.gz,1467,1467,6554,3928,18,112,1773770192,1773858224
exim,chatafl_opt,5,out-exim-chatafl_opt_5.tar.gz,1467,1467,6501,3874,18,110,1773770186,1773858224
exim,chatafl_opt,6,out-exim-chatafl_opt_6.tar.gz,1466,1466,6507,3909,19,98,1773770231,1773858224
exim,chatafl_opt,7,out-exim-chatafl_opt_7.tar.gz,1477,1477,6534,3890,20,116,1774271977,1774360641
exim,chatafl_opt,8,out-exim-chatafl_opt_8.tar.gz,1477,1477,6526,3916,19,121,1774271990,1774360642
exim,chatafl_opt,9,out-exim-chatafl_opt_9.tar.gz,1478,1478,6521,3911,18,115,1774271961,1774360641
exim,chatafl_opt,10,out-exim-chatafl_opt_10.tar.gz,1478,1478,6522,3887,18,125,1774271960,1774360642
