time,subject,fuzzer,run,state_type,state
1773673870,exim,aflnet,1,nodes,9
1773673870,exim,aflnet,1,edges,13
1773673875,exim,aflnet,1,nodes,9
1773673875,exim,aflnet,1,edges,15
1773673881,exim,aflnet,1,nodes,9
1773673881,exim,aflnet,1,edges,15
1773673886,exim,aflnet,1,nodes,9
1773673886,exim,aflnet,1,edges,15
1773673891,exim,aflnet,1,nodes,9
1773673891,exim,aflnet,1,edges,15
1773673897,exim,aflnet,1,nodes,9
1773673897,exim,aflnet,1,edges,15
1773673902,exim,aflnet,1,nodes,9
1773673902,exim,aflnet,1,edges,15
1773673907,exim,aflnet,1,nodes,9
1773673907,exim,aflnet,1,edges,15
1773673913,exim,aflnet,1,nodes,9
1773673913,exim,aflnet,1,edges,15
1773673918,exim,aflnet,1,nodes,9
1773673918,exim,aflnet,1,edges,15
1773673923,exim,aflnet,1,nodes,9
1773673923,exim,aflnet,1,edges,15
1773673929,exim,aflnet,1,nodes,9
1773673929,exim,aflnet,1,edges,15
1773673934,exim,aflnet,1,nodes,9
1773673934,exim,aflnet,1,edges,15
1773673940,exim,aflnet,1,nodes,9
1773673940,exim,aflnet,1,edges,15
1773673945,exim,aflnet,1,nodes,9
1773673945,exim,aflnet,1,edges,15
1773673950,exim,aflnet,1,nodes,9
1773673950,exim,aflnet,1,edges,15
1773673965,exim,aflnet,1,nodes,9
1773673965,exim,aflnet,1,edges,15
1773673976,exim,aflnet,1,nodes,9
1773673976,exim,aflnet,1,edges,15
1773673981,exim,aflnet,1,nodes,9
1773673981,exim,aflnet,1,edges,15
1773673986,exim,aflnet,1,nodes,9
1773673986,exim,aflnet,1,edges,15
1773673992,exim,aflnet,1,nodes,9
1773673992,exim,aflnet,1,edges,15
1773674012,exim,aflnet,1,nodes,9
1773674012,exim,aflnet,1,edges,15
1773674017,exim,aflnet,1,nodes,9
1773674017,exim,aflnet,1,edges,15
1773674022,exim,aflnet,1,nodes,9
1773674022,exim,aflnet,1,edges,15
1773674033,exim,aflnet,1,nodes,9
1773674033,exim,aflnet,1,edges,16
1773674053,exim,aflnet,1,nodes,9
1773674053,exim,aflnet,1,edges,16
1773674074,exim,aflnet,1,nodes,9
1773674074,exim,aflnet,1,edges,16
1773674090,exim,aflnet,1,nodes,9
1773674090,exim,aflnet,1,edges,16
1773674095,exim,aflnet,1,nodes,9
1773674095,exim,aflnet,1,edges,16
1773674131,exim,aflnet,1,nodes,9
1773674131,exim,aflnet,1,edges,16
1773674136,exim,aflnet,1,nodes,9
1773674136,exim,aflnet,1,edges,16
1773674142,exim,aflnet,1,nodes,9
1773674142,exim,aflnet,1,edges,16
1773674157,exim,aflnet,1,nodes,9
1773674157,exim,aflnet,1,edges,16
1773674162,exim,aflnet,1,nodes,9
1773674162,exim,aflnet,1,edges,16
1773674183,exim,aflnet,1,nodes,9
1773674183,exim,aflnet,1,edges,16
1773674213,exim,aflnet,1,nodes,9
1773674213,exim,aflnet,1,edges,16
1773674245,exim,aflnet,1,nodes,9
1773674245,exim,aflnet,1,edges,16
1773674255,exim,aflnet,1,nodes,9
1773674255,exim,aflnet,1,edges,16
1773674275,exim,aflnet,1,nodes,9
1773674275,exim,aflnet,1,edges,16
1773674280,exim,aflnet,1,nodes,9
1773674280,exim,aflnet,1,edges,16
1773674301,exim,aflnet,1,nodes,9
1773674301,exim,aflnet,1,edges,16
1773674332,exim,aflnet,1,nodes,9
1773674332,exim,aflnet,1,edges,16
1773674348,exim,aflnet,1,nodes,9
1773674348,exim,aflnet,1,edges,16
1773674363,exim,aflnet,1,nodes,9
1773674363,exim,aflnet,1,edges,16
1773674380,exim,aflnet,1,nodes,9
1773674380,exim,aflnet,1,edges,16
1773674395,exim,aflnet,1,nodes,9
1773674395,exim,aflnet,1,edges,16
1773674401,exim,aflnet,1,nodes,9
1773674401,exim,aflnet,1,edges,16
