time,subject,fuzzer,run,cov_type,cov
1772103561,forked-daapd,chatafl,1,l_per,19.3
1772103561,forked-daapd,chatafl,1,l_abs,6110
1772103561,forked-daapd,chatafl,1,b_per,13.7
1772103561,forked-daapd,chatafl,1,b_abs,1930
1772103603,forked-daapd,chatafl,1,l_per,19.6
1772103603,forked-daapd,chatafl,1,l_abs,6185
1772103603,forked-daapd,chatafl,1,b_per,13.9
1772103603,forked-daapd,chatafl,1,b_abs,1959
1772103611,forked-daapd,chatafl,1,l_per,19.6
1772103611,forked-daapd,chatafl,1,l_abs,6185
1772103611,forked-daapd,chatafl,1,b_per,13.9
1772103611,forked-daapd,chatafl,1,b_abs,1959
1772103653,forked-daapd,chatafl,1,l_per,19.7
1772103653,forked-daapd,chatafl,1,l_abs,6210
1772103653,forked-daapd,chatafl,1,b_per,14.0
1772103653,forked-daapd,chatafl,1,b_abs,1975
1772103662,forked-daapd,chatafl,1,l_per,19.7
1772103662,forked-daapd,chatafl,1,l_abs,6210
1772103662,forked-daapd,chatafl,1,b_per,14.0
1772103662,forked-daapd,chatafl,1,b_abs,1975
1772103670,forked-daapd,chatafl,1,l_per,19.7
1772103670,forked-daapd,chatafl,1,l_abs,6210
1772103670,forked-daapd,chatafl,1,b_per,14.0
1772103670,forked-daapd,chatafl,1,b_abs,1975
1772103678,forked-daapd,chatafl,1,l_per,19.7
1772103678,forked-daapd,chatafl,1,l_abs,6210
1772103678,forked-daapd,chatafl,1,b_per,14.0
1772103678,forked-daapd,chatafl,1,b_abs,1975
1772103687,forked-daapd,chatafl,1,l_per,19.7
1772103687,forked-daapd,chatafl,1,l_abs,6210
1772103687,forked-daapd,chatafl,1,b_per,14.0
1772103687,forked-daapd,chatafl,1,b_abs,1975
1772103695,forked-daapd,chatafl,1,l_per,19.7
1772103695,forked-daapd,chatafl,1,l_abs,6210
1772103695,forked-daapd,chatafl,1,b_per,14.0
1772103695,forked-daapd,chatafl,1,b_abs,1975
1772103703,forked-daapd,chatafl,1,l_per,19.7
1772103703,forked-daapd,chatafl,1,l_abs,6210
1772103703,forked-daapd,chatafl,1,b_per,14.0
1772103703,forked-daapd,chatafl,1,b_abs,1975
1772103712,forked-daapd,chatafl,1,l_per,19.7
1772103712,forked-daapd,chatafl,1,l_abs,6210
1772103712,forked-daapd,chatafl,1,b_per,14.0
1772103712,forked-daapd,chatafl,1,b_abs,1975
1772103720,forked-daapd,chatafl,1,l_per,19.7
1772103720,forked-daapd,chatafl,1,l_abs,6210
1772103720,forked-daapd,chatafl,1,b_per,14.0
1772103720,forked-daapd,chatafl,1,b_abs,1975
1772103728,forked-daapd,chatafl,1,l_per,19.7
1772103728,forked-daapd,chatafl,1,l_abs,6210
1772103728,forked-daapd,chatafl,1,b_per,14.0
1772103728,forked-daapd,chatafl,1,b_abs,1975
1772103737,forked-daapd,chatafl,1,l_per,19.7
1772103737,forked-daapd,chatafl,1,l_abs,6210
1772103737,forked-daapd,chatafl,1,b_per,14.0
1772103737,forked-daapd,chatafl,1,b_abs,1975
1772103779,forked-daapd,chatafl,1,l_per,19.7
1772103779,forked-daapd,chatafl,1,l_abs,6210
1772103779,forked-daapd,chatafl,1,b_per,14.0
1772103779,forked-daapd,chatafl,1,b_abs,1975
1772103787,forked-daapd,chatafl,1,l_per,19.7
1772103787,forked-daapd,chatafl,1,l_abs,6210
1772103787,forked-daapd,chatafl,1,b_per,14.0
1772103787,forked-daapd,chatafl,1,b_abs,1975
1772103795,forked-daapd,chatafl,1,l_per,19.7
1772103795,forked-daapd,chatafl,1,l_abs,6210
1772103795,forked-daapd,chatafl,1,b_per,14.0
1772103795,forked-daapd,chatafl,1,b_abs,1975
1772103804,forked-daapd,chatafl,1,l_per,19.7
1772103804,forked-daapd,chatafl,1,l_abs,6210
1772103804,forked-daapd,chatafl,1,b_per,14.0
1772103804,forked-daapd,chatafl,1,b_abs,1975
1772103812,forked-daapd,chatafl,1,l_per,19.7
1772103812,forked-daapd,chatafl,1,l_abs,6210
1772103812,forked-daapd,chatafl,1,b_per,14.0
1772103812,forked-daapd,chatafl,1,b_abs,1975
1772103821,forked-daapd,chatafl,1,l_per,19.7
1772103821,forked-daapd,chatafl,1,l_abs,6210
1772103821,forked-daapd,chatafl,1,b_per,14.0
1772103821,forked-daapd,chatafl,1,b_abs,1975
1772103829,forked-daapd,chatafl,1,l_per,19.7
1772103829,forked-daapd,chatafl,1,l_abs,6210
1772103829,forked-daapd,chatafl,1,b_per,14.0
1772103829,forked-daapd,chatafl,1,b_abs,1975
1772103837,forked-daapd,chatafl,1,l_per,19.7
1772103837,forked-daapd,chatafl,1,l_abs,6210
1772103837,forked-daapd,chatafl,1,b_per,14.0
1772103837,forked-daapd,chatafl,1,b_abs,1975
1772103846,forked-daapd,chatafl,1,l_per,19.7
1772103846,forked-daapd,chatafl,1,l_abs,6210
1772103846,forked-daapd,chatafl,1,b_per,14.0
1772103846,forked-daapd,chatafl,1,b_abs,1975
1772103854,forked-daapd,chatafl,1,l_per,19.7
1772103854,forked-daapd,chatafl,1,l_abs,6210
1772103854,forked-daapd,chatafl,1,b_per,14.0
1772103854,forked-daapd,chatafl,1,b_abs,1975
1772103862,forked-daapd,chatafl,1,l_per,19.7
1772103862,forked-daapd,chatafl,1,l_abs,6210
1772103862,forked-daapd,chatafl,1,b_per,14.0
1772103862,forked-daapd,chatafl,1,b_abs,1975
1772103871,forked-daapd,chatafl,1,l_per,19.7
1772103871,forked-daapd,chatafl,1,l_abs,6210
1772103871,forked-daapd,chatafl,1,b_per,14.0
1772103871,forked-daapd,chatafl,1,b_abs,1975
1772103879,forked-daapd,chatafl,1,l_per,19.7
1772103879,forked-daapd,chatafl,1,l_abs,6210
1772103879,forked-daapd,chatafl,1,b_per,14.0
1772103879,forked-daapd,chatafl,1,b_abs,1975
1772103888,forked-daapd,chatafl,1,l_per,19.7
1772103888,forked-daapd,chatafl,1,l_abs,6210
1772103888,forked-daapd,chatafl,1,b_per,14.0
1772103888,forked-daapd,chatafl,1,b_abs,1975
1772103896,forked-daapd,chatafl,1,l_per,19.7
1772103896,forked-daapd,chatafl,1,l_abs,6210
1772103896,forked-daapd,chatafl,1,b_per,14.0
1772103896,forked-daapd,chatafl,1,b_abs,1975
1772103904,forked-daapd,chatafl,1,l_per,19.7
1772103904,forked-daapd,chatafl,1,l_abs,6210
1772103904,forked-daapd,chatafl,1,b_per,14.0
1772103904,forked-daapd,chatafl,1,b_abs,1975
1772103913,forked-daapd,chatafl,1,l_per,19.7
1772103913,forked-daapd,chatafl,1,l_abs,6210
1772103913,forked-daapd,chatafl,1,b_per,14.0
1772103913,forked-daapd,chatafl,1,b_abs,1975
1772103921,forked-daapd,chatafl,1,l_per,19.7
1772103921,forked-daapd,chatafl,1,l_abs,6210
1772103921,forked-daapd,chatafl,1,b_per,14.0
1772103921,forked-daapd,chatafl,1,b_abs,1975
1772103929,forked-daapd,chatafl,1,l_per,19.7
1772103929,forked-daapd,chatafl,1,l_abs,6210
1772103929,forked-daapd,chatafl,1,b_per,14.0
1772103929,forked-daapd,chatafl,1,b_abs,1975
1772103938,forked-daapd,chatafl,1,l_per,19.7
1772103938,forked-daapd,chatafl,1,l_abs,6210
1772103938,forked-daapd,chatafl,1,b_per,14.0
1772103938,forked-daapd,chatafl,1,b_abs,1975
1772103946,forked-daapd,chatafl,1,l_per,19.7
1772103946,forked-daapd,chatafl,1,l_abs,6210
1772103946,forked-daapd,chatafl,1,b_per,14.0
1772103946,forked-daapd,chatafl,1,b_abs,1975
1772103955,forked-daapd,chatafl,1,l_per,19.7
1772103955,forked-daapd,chatafl,1,l_abs,6210
1772103955,forked-daapd,chatafl,1,b_per,14.0
1772103955,forked-daapd,chatafl,1,b_abs,1975
1772103963,forked-daapd,chatafl,1,l_per,19.7
1772103963,forked-daapd,chatafl,1,l_abs,6210
1772103963,forked-daapd,chatafl,1,b_per,14.0
1772103963,forked-daapd,chatafl,1,b_abs,1975
1772103971,forked-daapd,chatafl,1,l_per,19.7
1772103971,forked-daapd,chatafl,1,l_abs,6210
1772103971,forked-daapd,chatafl,1,b_per,14.0
1772103971,forked-daapd,chatafl,1,b_abs,1975
1772103980,forked-daapd,chatafl,1,l_per,19.7
1772103980,forked-daapd,chatafl,1,l_abs,6210
1772103980,forked-daapd,chatafl,1,b_per,14.0
1772103980,forked-daapd,chatafl,1,b_abs,1975
1772103988,forked-daapd,chatafl,1,l_per,19.7
1772103988,forked-daapd,chatafl,1,l_abs,6210
1772103988,forked-daapd,chatafl,1,b_per,14.0
1772103988,forked-daapd,chatafl,1,b_abs,1975
1772103997,forked-daapd,chatafl,1,l_per,19.7
1772103997,forked-daapd,chatafl,1,l_abs,6210
1772103997,forked-daapd,chatafl,1,b_per,14.0
1772103997,forked-daapd,chatafl,1,b_abs,1975
1772104005,forked-daapd,chatafl,1,l_per,19.7
1772104005,forked-daapd,chatafl,1,l_abs,6210
1772104005,forked-daapd,chatafl,1,b_per,14.0
1772104005,forked-daapd,chatafl,1,b_abs,1975
1772104013,forked-daapd,chatafl,1,l_per,19.7
1772104013,forked-daapd,chatafl,1,l_abs,6210
1772104013,forked-daapd,chatafl,1,b_per,14.0
1772104013,forked-daapd,chatafl,1,b_abs,1975
1772104055,forked-daapd,chatafl,1,l_per,19.7
1772104055,forked-daapd,chatafl,1,l_abs,6210
