subject,fuzzer,data_type,time,data
forked-daapd,aflnet,nodes,0,0.0
forked-daapd,aflnet,nodes,1,5.0
forked-daapd,aflnet,nodes,61,7.0
forked-daapd,aflnet,edges,0,0.0
forked-daapd,aflnet,edges,1,7.0
forked-daapd,aflnet,edges,61,9.0
forked-daapd,chatafl,nodes,0,0.0
forked-daapd,chatafl,nodes,1,6.0
forked-daapd,chatafl,nodes,61,6.0
forked-daapd,chatafl,edges,0,0.0
forked-daapd,chatafl,edges,1,8.0
forked-daapd,chatafl,edges,61,8.0
forked-daapd,chatafl_opt,nodes,0,0.0
forked-daapd,chatafl_opt,nodes,1,6.0
forked-daapd,chatafl_opt,nodes,61,6.0
forked-daapd,chatafl_opt,edges,0,0.0
forked-daapd,chatafl_opt,edges,1,8.0
forked-daapd,chatafl_opt,edges,61,8.0
