time,subject,fuzzer,run,cov_type,cov
1772685094,forked-daapd,aflnet,1,l_per,19.3
1772685094,forked-daapd,aflnet,1,l_abs,6109
1772685094,forked-daapd,aflnet,1,b_per,13.7
1772685094,forked-daapd,aflnet,1,b_abs,1929
1772685136,forked-daapd,aflnet,1,l_per,19.6
1772685136,forked-daapd,aflnet,1,l_abs,6185
1772685136,forked-daapd,aflnet,1,b_per,13.9
1772685136,forked-daapd,aflnet,1,b_abs,1959
1772695220,forked-daapd,aflnet,1,l_per,19.9
1772695220,forked-daapd,aflnet,1,l_abs,6300
1772695220,forked-daapd,aflnet,1,b_per,14.1
1772695220,forked-daapd,aflnet,1,b_abs,1995
1772695802,forked-daapd,aflnet,1,l_per,21.2
1772695802,forked-daapd,aflnet,1,l_abs,6703
1772695802,forked-daapd,aflnet,1,b_per,15.2
1772695802,forked-daapd,aflnet,1,b_abs,2138
1772697479,forked-daapd,aflnet,1,l_per,21.6
1772697479,forked-daapd,aflnet,1,l_abs,6813
1772697479,forked-daapd,aflnet,1,b_per,15.4
1772697479,forked-daapd,aflnet,1,b_abs,2177
1772685094,forked-daapd,aflnet,2,l_per,19.3
1772685094,forked-daapd,aflnet,2,l_abs,6110
1772685094,forked-daapd,aflnet,2,b_per,13.7
1772685094,forked-daapd,aflnet,2,b_abs,1930
1772685136,forked-daapd,aflnet,2,l_per,19.6
1772685136,forked-daapd,aflnet,2,l_abs,6185
1772685136,forked-daapd,aflnet,2,b_per,13.9
1772685136,forked-daapd,aflnet,2,b_abs,1959
1772697511,forked-daapd,aflnet,2,l_per,19.8
1772697511,forked-daapd,aflnet,2,l_abs,6246
1772697511,forked-daapd,aflnet,2,b_per,14.0
1772697511,forked-daapd,aflnet,2,b_abs,1980
1772697634,forked-daapd,aflnet,2,l_per,19.9
1772697634,forked-daapd,aflnet,2,l_abs,6289
1772697634,forked-daapd,aflnet,2,b_per,14.2
1772697634,forked-daapd,aflnet,2,b_abs,2003
1772686285,forked-daapd,chatafl,1,l_per,19.3
1772686285,forked-daapd,chatafl,1,l_abs,6110
1772686285,forked-daapd,chatafl,1,b_per,13.7
1772686285,forked-daapd,chatafl,1,b_abs,1930
1772686327,forked-daapd,chatafl,1,l_per,19.6
1772686327,forked-daapd,chatafl,1,l_abs,6185
1772686327,forked-daapd,chatafl,1,b_per,13.9
1772686327,forked-daapd,chatafl,1,b_abs,1959
1772686336,forked-daapd,chatafl,1,l_per,19.6
1772686336,forked-daapd,chatafl,1,l_abs,6185
1772686336,forked-daapd,chatafl,1,b_per,13.9
1772686336,forked-daapd,chatafl,1,b_abs,1959
1772686344,forked-daapd,chatafl,1,l_per,19.6
1772686344,forked-daapd,chatafl,1,l_abs,6185
1772686344,forked-daapd,chatafl,1,b_per,13.9
1772686344,forked-daapd,chatafl,1,b_abs,1959
1772686352,forked-daapd,chatafl,1,l_per,19.6
1772686352,forked-daapd,chatafl,1,l_abs,6185
1772686352,forked-daapd,chatafl,1,b_per,13.9
1772686352,forked-daapd,chatafl,1,b_abs,1959
1772686361,forked-daapd,chatafl,1,l_per,19.6
1772686361,forked-daapd,chatafl,1,l_abs,6185
1772686361,forked-daapd,chatafl,1,b_per,13.9
1772686361,forked-daapd,chatafl,1,b_abs,1959
1772686369,forked-daapd,chatafl,1,l_per,19.6
1772686369,forked-daapd,chatafl,1,l_abs,6185
1772686369,forked-daapd,chatafl,1,b_per,13.9
1772686369,forked-daapd,chatafl,1,b_abs,1959
1772686378,forked-daapd,chatafl,1,l_per,19.6
1772686378,forked-daapd,chatafl,1,l_abs,6185
1772686378,forked-daapd,chatafl,1,b_per,13.9
1772686378,forked-daapd,chatafl,1,b_abs,1959
1772686386,forked-daapd,chatafl,1,l_per,19.6
1772686386,forked-daapd,chatafl,1,l_abs,6185
1772686386,forked-daapd,chatafl,1,b_per,13.9
1772686386,forked-daapd,chatafl,1,b_abs,1959
1772686395,forked-daapd,chatafl,1,l_per,19.6
1772686395,forked-daapd,chatafl,1,l_abs,6185
1772686395,forked-daapd,chatafl,1,b_per,13.9
1772686395,forked-daapd,chatafl,1,b_abs,1959
1772686403,forked-daapd,chatafl,1,l_per,19.6
1772686403,forked-daapd,chatafl,1,l_abs,6185
1772686403,forked-daapd,chatafl,1,b_per,13.9
1772686403,forked-daapd,chatafl,1,b_abs,1959
1772686412,forked-daapd,chatafl,1,l_per,19.6
1772686412,forked-daapd,chatafl,1,l_abs,6185
1772686412,forked-daapd,chatafl,1,b_per,13.9
1772686412,forked-daapd,chatafl,1,b_abs,1959
1772686420,forked-daapd,chatafl,1,l_per,19.6
1772686420,forked-daapd,chatafl,1,l_abs,6185
1772686420,forked-daapd,chatafl,1,b_per,13.9
1772686420,forked-daapd,chatafl,1,b_abs,1959
1772686429,forked-daapd,chatafl,1,l_per,19.6
1772686429,forked-daapd,chatafl,1,l_abs,6185
1772686429,forked-daapd,chatafl,1,b_per,13.9
1772686429,forked-daapd,chatafl,1,b_abs,1959
1772686437,forked-daapd,chatafl,1,l_per,19.6
1772686437,forked-daapd,chatafl,1,l_abs,6185
1772686437,forked-daapd,chatafl,1,b_per,13.9
1772686437,forked-daapd,chatafl,1,b_abs,1959
1772686446,forked-daapd,chatafl,1,l_per,19.6
1772686446,forked-daapd,chatafl,1,l_abs,6185
1772686446,forked-daapd,chatafl,1,b_per,13.9
1772686446,forked-daapd,chatafl,1,b_abs,1959
1772686454,forked-daapd,chatafl,1,l_per,19.6
1772686454,forked-daapd,chatafl,1,l_abs,6185
1772686454,forked-daapd,chatafl,1,b_per,13.9
1772686454,forked-daapd,chatafl,1,b_abs,1959
1772686463,forked-daapd,chatafl,1,l_per,19.6
1772686463,forked-daapd,chatafl,1,l_abs,6185
1772686463,forked-daapd,chatafl,1,b_per,13.9
1772686463,forked-daapd,chatafl,1,b_abs,1959
1772686471,forked-daapd,chatafl,1,l_per,19.6
1772686471,forked-daapd,chatafl,1,l_abs,6185
1772686471,forked-daapd,chatafl,1,b_per,13.9
1772686471,forked-daapd,chatafl,1,b_abs,1959
1772686480,forked-daapd,chatafl,1,l_per,19.6
1772686480,forked-daapd,chatafl,1,l_abs,6185
1772686480,forked-daapd,chatafl,1,b_per,13.9
1772686480,forked-daapd,chatafl,1,b_abs,1959
1772686488,forked-daapd,chatafl,1,l_per,19.6
1772686488,forked-daapd,chatafl,1,l_abs,6185
1772686488,forked-daapd,chatafl,1,b_per,13.9
1772686488,forked-daapd,chatafl,1,b_abs,1959
1772686496,forked-daapd,chatafl,1,l_per,19.6
1772686496,forked-daapd,chatafl,1,l_abs,6185
1772686496,forked-daapd,chatafl,1,b_per,13.9
1772686496,forked-daapd,chatafl,1,b_abs,1959
1772686505,forked-daapd,chatafl,1,l_per,19.6
1772686505,forked-daapd,chatafl,1,l_abs,6185
1772686505,forked-daapd,chatafl,1,b_per,13.9
1772686505,forked-daapd,chatafl,1,b_abs,1959
1772686513,forked-daapd,chatafl,1,l_per,19.6
1772686513,forked-daapd,chatafl,1,l_abs,6185
1772686513,forked-daapd,chatafl,1,b_per,13.9
1772686513,forked-daapd,chatafl,1,b_abs,1959
1772686522,forked-daapd,chatafl,1,l_per,19.6
1772686522,forked-daapd,chatafl,1,l_abs,6185
1772686522,forked-daapd,chatafl,1,b_per,13.9
1772686522,forked-daapd,chatafl,1,b_abs,1959
1772686530,forked-daapd,chatafl,1,l_per,19.6
1772686530,forked-daapd,chatafl,1,l_abs,6185
1772686530,forked-daapd,chatafl,1,b_per,13.9
1772686530,forked-daapd,chatafl,1,b_abs,1959
1772686539,forked-daapd,chatafl,1,l_per,19.6
1772686539,forked-daapd,chatafl,1,l_abs,6185
1772686539,forked-daapd,chatafl,1,b_per,13.9
