time,subject,fuzzer,run,state_type,state
1772685141,forked-daapd,aflnet,1,nodes,5
1772685141,forked-daapd,aflnet,1,edges,7
1772685156,forked-daapd,aflnet,1,nodes,6
1772685156,forked-daapd,aflnet,1,edges,8
1772685283,forked-daapd,aflnet,1,nodes,7
1772685283,forked-daapd,aflnet,1,edges,9
1772685330,forked-daapd,aflnet,1,nodes,7
1772685330,forked-daapd,aflnet,1,edges,9
1772685362,forked-daapd,aflnet,1,nodes,7
1772685362,forked-daapd,aflnet,1,edges,9
1772685462,forked-daapd,aflnet,1,nodes,7
1772685462,forked-daapd,aflnet,1,edges,9
1772685509,forked-daapd,aflnet,1,nodes,7
1772685509,forked-daapd,aflnet,1,edges,9
1772685546,forked-daapd,aflnet,1,nodes,7
1772685546,forked-daapd,aflnet,1,edges,9
1772685625,forked-daapd,aflnet,1,nodes,7
1772685625,forked-daapd,aflnet,1,edges,9
1772685635,forked-daapd,aflnet,1,nodes,7
1772685635,forked-daapd,aflnet,1,edges,9
1772686031,forked-daapd,aflnet,1,nodes,7
1772686031,forked-daapd,aflnet,1,edges,9
1772686136,forked-daapd,aflnet,1,nodes,7
1772686136,forked-daapd,aflnet,1,edges,9
1772686205,forked-daapd,aflnet,1,nodes,7
1772686205,forked-daapd,aflnet,1,edges,9
1772686216,forked-daapd,aflnet,1,nodes,7
1772686216,forked-daapd,aflnet,1,edges,9
1772686263,forked-daapd,aflnet,1,nodes,7
1772686263,forked-daapd,aflnet,1,edges,9
1772686427,forked-daapd,aflnet,1,nodes,7
1772686427,forked-daapd,aflnet,1,edges,9
1772687391,forked-daapd,aflnet,1,nodes,7
1772687391,forked-daapd,aflnet,1,edges,9
1772687672,forked-daapd,aflnet,1,nodes,7
1772687672,forked-daapd,aflnet,1,edges,9
1772687953,forked-daapd,aflnet,1,nodes,7
1772687953,forked-daapd,aflnet,1,edges,9
1772688249,forked-daapd,aflnet,1,nodes,7
1772688249,forked-daapd,aflnet,1,edges,9
1772688530,forked-daapd,aflnet,1,nodes,7
1772688530,forked-daapd,aflnet,1,edges,9
1772688562,forked-daapd,aflnet,1,nodes,7
1772688562,forked-daapd,aflnet,1,edges,9
