fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1456,102,63965,107792,0,0.074270,63262,106607,0.073454,exact
chatafl,2,1458,104,65036,92053,0,0.064987,64233,90917,0.064185,exact
chatafl,3,1468,75,44252,76659,0,0.052633,43408,75197,0.051629,exact
chatafl,4,1457,106,65646,89280,0,0.063415,64880,88238,0.062675,exact
chatafl,5,1458,93,58112,84778,0,0.059584,57395,83731,0.058848,exact
chatafl,6,1457,104,65197,90838,0,0.064282,64436,89778,0.063532,exact
chatafl,7,1457,102,64098,83552,0,0.059746,63350,82577,0.059049,exact
chatafl,8,1470,61,35137,66213,0,0.044998,34420,64862,0.044080,exact
chatafl,9,1459,116,69986,104727,0,0.073334,69075,103363,0.072379,exact
chatafl,10,1467,73,43150,75122,0,0.051546,42356,73739,0.050597,exact
chatafl_opt,1,1473,152,263118,187181,0,0.151776,257223,182988,0.148376,exact
chatafl_opt,2,1475,149,266948,174298,0,0.144621,260614,170162,0.141189,exact
chatafl_opt,3,1473,152,263118,187181,0,0.151776,257223,182988,0.148376,exact
chatafl_opt,4,1475,149,266948,174298,0,0.144621,260614,170162,0.141189,exact
chatafl_opt,5,1477,159,288523,179978,0,0.151265,281295,175469,0.147476,exact
chatafl_opt,6,1467,159,284968,176261,0,0.148502,279723,173017,0.145769,exact
chatafl_opt,7,1467,155,282782,180927,0,0.150974,277577,177597,0.148195,exact
chatafl_opt,8,1467,147,265037,180723,0,0.148189,260159,177397,0.145462,exact
chatafl_opt,9,1476,154,279635,182610,0,0.151511,272815,178156,0.147816,exact
chatafl_opt,10,1477,150,272278,174708,0,0.145667,265457,170331,0.142017,exact
