subject,fuzzer,data_type,time,data
forked-daapd,aflnet,nodes,0,0.0
forked-daapd,aflnet,nodes,1,5.6
forked-daapd,aflnet,nodes,61,7.4
forked-daapd,aflnet,nodes,121,7.8
forked-daapd,aflnet,nodes,181,7.9
forked-daapd,aflnet,nodes,241,7.9
forked-daapd,aflnet,nodes,301,7.9
forked-daapd,aflnet,nodes,361,7.9
forked-daapd,aflnet,nodes,421,8.0
forked-daapd,aflnet,nodes,481,8.0
forked-daapd,aflnet,nodes,541,8.0
forked-daapd,aflnet,nodes,601,8.0
forked-daapd,aflnet,nodes,661,8.1
forked-daapd,aflnet,nodes,721,8.1
forked-daapd,aflnet,nodes,781,8.1
forked-daapd,aflnet,nodes,841,8.1
forked-daapd,aflnet,nodes,901,8.1
forked-daapd,aflnet,nodes,961,8.1
forked-daapd,aflnet,nodes,1021,8.1
forked-daapd,aflnet,nodes,1081,8.1
forked-daapd,aflnet,nodes,1141,8.1
forked-daapd,aflnet,nodes,1201,8.1
forked-daapd,aflnet,nodes,1261,8.1
forked-daapd,aflnet,nodes,1321,8.1
forked-daapd,aflnet,nodes,1381,8.1
forked-daapd,aflnet,edges,0,0.0
forked-daapd,aflnet,edges,1,7.6
forked-daapd,aflnet,edges,61,12.0
forked-daapd,aflnet,edges,121,15.3
forked-daapd,aflnet,edges,181,17.4
forked-daapd,aflnet,edges,241,17.5
forked-daapd,aflnet,edges,301,18.0
forked-daapd,aflnet,edges,361,18.3
forked-daapd,aflnet,edges,421,18.6
forked-daapd,aflnet,edges,481,18.8
forked-daapd,aflnet,edges,541,19.0
forked-daapd,aflnet,edges,601,19.2
forked-daapd,aflnet,edges,661,19.6
forked-daapd,aflnet,edges,721,19.6
forked-daapd,aflnet,edges,781,19.9
forked-daapd,aflnet,edges,841,19.9
forked-daapd,aflnet,edges,901,20.4
forked-daapd,aflnet,edges,961,20.5
forked-daapd,aflnet,edges,1021,20.6
forked-daapd,aflnet,edges,1081,20.7
forked-daapd,aflnet,edges,1141,20.8
forked-daapd,aflnet,edges,1201,20.8
forked-daapd,aflnet,edges,1261,20.8
forked-daapd,aflnet,edges,1321,20.9
forked-daapd,aflnet,edges,1381,21.0
forked-daapd,chatafl,nodes,0,0.0
forked-daapd,chatafl,nodes,1,5.4
forked-daapd,chatafl,nodes,61,6.0
forked-daapd,chatafl,nodes,121,6.2
forked-daapd,chatafl,nodes,181,6.7
forked-daapd,chatafl,nodes,241,7.1
forked-daapd,chatafl,nodes,301,7.3
forked-daapd,chatafl,nodes,361,7.4
forked-daapd,chatafl,nodes,421,7.5
forked-daapd,chatafl,nodes,481,7.5
forked-daapd,chatafl,nodes,541,7.7
forked-daapd,chatafl,nodes,601,7.9
forked-daapd,chatafl,nodes,661,8.0
forked-daapd,chatafl,nodes,721,8.0
forked-daapd,chatafl,nodes,781,8.0
forked-daapd,chatafl,nodes,841,8.1
forked-daapd,chatafl,nodes,901,8.1
forked-daapd,chatafl,nodes,961,8.1
forked-daapd,chatafl,nodes,1021,8.1
forked-daapd,chatafl,nodes,1081,8.1
forked-daapd,chatafl,nodes,1141,8.1
forked-daapd,chatafl,nodes,1201,8.1
forked-daapd,chatafl,nodes,1261,8.1
forked-daapd,chatafl,nodes,1321,8.1
forked-daapd,chatafl,nodes,1381,8.1
forked-daapd,chatafl,edges,0,0.0
forked-daapd,chatafl,edges,1,7.2
forked-daapd,chatafl,edges,61,8.6
forked-daapd,chatafl,edges,121,9.5
forked-daapd,chatafl,edges,181,11.1
forked-daapd,chatafl,edges,241,12.2
forked-daapd,chatafl,edges,301,13.3
forked-daapd,chatafl,edges,361,14.2
forked-daapd,chatafl,edges,421,15.1
