subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
forked-daapd,aflnet,1,out-forked-daapd-aflnet_1.tar.gz,1479,1479,7480,2350,9,20,1773673847,1773762642
forked-daapd,aflnet,2,out-forked-daapd-aflnet_2.tar.gz,1479,1479,7164,2249,8,21,1773673847,1773762642
forked-daapd,aflnet,3,out-forked-daapd-aflnet_3.tar.gz,1479,1479,7178,2279,8,21,1774614790,1774703579
forked-daapd,aflnet,4,out-forked-daapd-aflnet_4.tar.gz,1479,1479,7608,2396,8,23,1774201645,1774290442
forked-daapd,aflnet,5,out-forked-daapd-aflnet_5.tar.gz,1479,1479,7015,2234,8,21,1774614790,1774703580
forked-daapd,aflnet,6,out-forked-daapd-aflnet_6.tar.gz,1479,1479,7575,2398,8,20,1774614791,1774703580
forked-daapd,aflnet,7,out-forked-daapd-aflnet_7.tar.gz,1479,1479,7238,2293,8,22,1774201646,1774290443
forked-daapd,aflnet,8,out-forked-daapd-aflnet_8.tar.gz,1479,1479,7793,2461,8,23,1774201647,1774290443
forked-daapd,aflnet,9,out-forked-daapd-aflnet_9.tar.gz,1479,1479,7476,2356,8,21,1774201647,1774290444
forked-daapd,aflnet,10,out-forked-daapd-aflnet_10.tar.gz,1479,1479,7124,2247,8,19,1774201648,1774290444
forked-daapd,chatafl,1,out-forked-daapd-chatafl_1.tar.gz,1456,1456,7229,2288,8,20,1774617914,1774705316
forked-daapd,chatafl,2,out-forked-daapd-chatafl_2.tar.gz,1458,1458,7312,2285,8,21,1773675137,1773762649
forked-daapd,chatafl,3,out-forked-daapd-chatafl_3.tar.gz,1468,1468,6969,2209,8,19,1774617223,1774705317
forked-daapd,chatafl,4,out-forked-daapd-chatafl_4.tar.gz,1457,1457,7475,2345,9,22,1774370797,1774458230
forked-daapd,chatafl,5,out-forked-daapd-chatafl_5.tar.gz,1458,1458,7123,2268,8,22,1774370728,1774458231
forked-daapd,chatafl,6,out-forked-daapd-chatafl_6.tar.gz,1457,1457,7114,2266,8,21,1774370800,1774458231
forked-daapd,chatafl,7,out-forked-daapd-chatafl_7.tar.gz,1457,1457,7330,2311,8,21,1774370783,1774458231
forked-daapd,chatafl,8,out-forked-daapd-chatafl_8.tar.gz,1470,1470,6922,2213,8,21,1774370030,1774458232
forked-daapd,chatafl,9,out-forked-daapd-chatafl_9.tar.gz,1459,1459,7032,2246,8,21,1774370637,1774458232
forked-daapd,chatafl,10,out-forked-daapd-chatafl_10.tar.gz,1467,1467,7217,2277,8,18,1774370210,1774458233
forked-daapd,chatafl_opt,1,out-forked-daapd-chatafl_opt_1.tar.gz,1473,1473,8374,2629,8,22,1773715945,1773804366
forked-daapd,chatafl_opt,2,out-forked-daapd-chatafl_opt_2.tar.gz,1475,1475,8358,2609,9,21,1773715808,1773804367
forked-daapd,chatafl_opt,3,out-forked-daapd-chatafl_opt_3.tar.gz,1473,1473,8374,2629,8,22,1773715945,1773804366
forked-daapd,chatafl_opt,4,out-forked-daapd-chatafl_opt_4.tar.gz,1475,1475,8358,2609,9,21,1773715808,1773804367
forked-daapd,chatafl_opt,5,out-forked-daapd-chatafl_opt_5.tar.gz,1477,1477,8280,2612,9,23,1774267747,1774356386
forked-daapd,chatafl_opt,6,out-forked-daapd-chatafl_opt_6.tar.gz,1467,1467,8210,2576,8,23,1774005974,1774094023
forked-daapd,chatafl_opt,7,out-forked-daapd-chatafl_opt_7.tar.gz,1467,1467,8272,2622,8,20,1774006661,1774094720
forked-daapd,chatafl_opt,8,out-forked-daapd-chatafl_opt_8.tar.gz,1467,1467,8149,2574,9,22,1774007434,1774095481
forked-daapd,chatafl_opt,9,out-forked-daapd-chatafl_opt_9.tar.gz,1476,1476,8249,2606,8,20,1774614172,1774702758
forked-daapd,chatafl_opt,10,out-forked-daapd-chatafl_opt_10.tar.gz,1477,1477,8324,2593,9,23,1774614893,1774703519
