time,subject,fuzzer,run,cov_type,cov
1772182535,kamailio,chatafl,1,l_per,4.2
1772182535,kamailio,chatafl,1,l_abs,10014
1772182535,kamailio,chatafl,1,b_per,0.8
1772182535,kamailio,chatafl,1,b_abs,4638
1772182543,kamailio,chatafl,1,l_per,5.3
1772182543,kamailio,chatafl,1,l_abs,12580
1772182543,kamailio,chatafl,1,b_per,1.1
1772182543,kamailio,chatafl,1,b_abs,6056
1772182544,kamailio,chatafl,1,l_per,5.5
1772182544,kamailio,chatafl,1,l_abs,12973
1772182544,kamailio,chatafl,1,b_per,1.1
1772182544,kamailio,chatafl,1,b_abs,6314
1772182546,kamailio,chatafl,1,l_per,5.5
1772182546,kamailio,chatafl,1,l_abs,13008
1772182546,kamailio,chatafl,1,b_per,1.1
1772182546,kamailio,chatafl,1,b_abs,6338
1772182547,kamailio,chatafl,1,l_per,5.5
1772182547,kamailio,chatafl,1,l_abs,13032
1772182547,kamailio,chatafl,1,b_per,1.1
1772182547,kamailio,chatafl,1,b_abs,6388
1772182549,kamailio,chatafl,1,l_per,5.5
1772182549,kamailio,chatafl,1,l_abs,13038
1772182549,kamailio,chatafl,1,b_per,1.1
1772182549,kamailio,chatafl,1,b_abs,6396
1772182550,kamailio,chatafl,1,l_per,5.5
1772182550,kamailio,chatafl,1,l_abs,13090
1772182550,kamailio,chatafl,1,b_per,1.1
1772182550,kamailio,chatafl,1,b_abs,6427
1772182552,kamailio,chatafl,1,l_per,5.6
1772182552,kamailio,chatafl,1,l_abs,13346
1772182552,kamailio,chatafl,1,b_per,1.2
1772182552,kamailio,chatafl,1,b_abs,6556
1772182554,kamailio,chatafl,1,l_per,5.6
1772182554,kamailio,chatafl,1,l_abs,13353
1772182554,kamailio,chatafl,1,b_per,1.2
1772182554,kamailio,chatafl,1,b_abs,6567
1772182562,kamailio,chatafl,1,l_per,5.6
1772182562,kamailio,chatafl,1,l_abs,13353
1772182562,kamailio,chatafl,1,b_per,1.2
1772182562,kamailio,chatafl,1,b_abs,6568
1772182563,kamailio,chatafl,1,l_per,5.6
1772182563,kamailio,chatafl,1,l_abs,13353
1772182563,kamailio,chatafl,1,b_per,1.2
1772182563,kamailio,chatafl,1,b_abs,6568
1772182565,kamailio,chatafl,1,l_per,5.6
1772182565,kamailio,chatafl,1,l_abs,13365
1772182565,kamailio,chatafl,1,b_per,1.2
1772182565,kamailio,chatafl,1,b_abs,6593
1772182567,kamailio,chatafl,1,l_per,5.6
1772182567,kamailio,chatafl,1,l_abs,13365
1772182567,kamailio,chatafl,1,b_per,1.2
1772182567,kamailio,chatafl,1,b_abs,6593
1772182568,kamailio,chatafl,1,l_per,5.6
1772182568,kamailio,chatafl,1,l_abs,13365
1772182568,kamailio,chatafl,1,b_per,1.2
1772182568,kamailio,chatafl,1,b_abs,6593
1772182570,kamailio,chatafl,1,l_per,5.6
1772182570,kamailio,chatafl,1,l_abs,13365
1772182570,kamailio,chatafl,1,b_per,1.2
1772182570,kamailio,chatafl,1,b_abs,6593
1772182571,kamailio,chatafl,1,l_per,5.6
1772182571,kamailio,chatafl,1,l_abs,13365
1772182571,kamailio,chatafl,1,b_per,1.2
1772182571,kamailio,chatafl,1,b_abs,6593
1772182573,kamailio,chatafl,1,l_per,5.6
1772182573,kamailio,chatafl,1,l_abs,13365
1772182573,kamailio,chatafl,1,b_per,1.2
1772182573,kamailio,chatafl,1,b_abs,6593
1772182575,kamailio,chatafl,1,l_per,5.6
1772182575,kamailio,chatafl,1,l_abs,13365
1772182575,kamailio,chatafl,1,b_per,1.2
1772182575,kamailio,chatafl,1,b_abs,6593
1772182576,kamailio,chatafl,1,l_per,5.6
1772182576,kamailio,chatafl,1,l_abs,13365
1772182576,kamailio,chatafl,1,b_per,1.2
1772182576,kamailio,chatafl,1,b_abs,6593
1772182578,kamailio,chatafl,1,l_per,5.6
1772182578,kamailio,chatafl,1,l_abs,13365
1772182578,kamailio,chatafl,1,b_per,1.2
1772182578,kamailio,chatafl,1,b_abs,6593
1772182579,kamailio,chatafl,1,l_per,5.6
1772182579,kamailio,chatafl,1,l_abs,13365
1772182579,kamailio,chatafl,1,b_per,1.2
1772182579,kamailio,chatafl,1,b_abs,6593
