time,subject,fuzzer,run,state_type,state
1772182624,kamailio,chatafl,1,nodes,5
1772182624,kamailio,chatafl,1,edges,9
1772182629,kamailio,chatafl,1,nodes,5
1772182629,kamailio,chatafl,1,edges,9
1772182634,kamailio,chatafl,1,nodes,5
1772182634,kamailio,chatafl,1,edges,9
1772182639,kamailio,chatafl,1,nodes,5
1772182639,kamailio,chatafl,1,edges,9
1772182644,kamailio,chatafl,1,nodes,5
1772182644,kamailio,chatafl,1,edges,9
1772182649,kamailio,chatafl,1,nodes,5
1772182649,kamailio,chatafl,1,edges,9
1772182654,kamailio,chatafl,1,nodes,5
1772182654,kamailio,chatafl,1,edges,9
1772182664,kamailio,chatafl,1,nodes,5
1772182664,kamailio,chatafl,1,edges,9
1772182669,kamailio,chatafl,1,nodes,5
1772182669,kamailio,chatafl,1,edges,9
1772182680,kamailio,chatafl,1,nodes,5
1772182680,kamailio,chatafl,1,edges,9
1772182685,kamailio,chatafl,1,nodes,5
1772182685,kamailio,chatafl,1,edges,9
1772182705,kamailio,chatafl,1,nodes,5
1772182705,kamailio,chatafl,1,edges,9
1772182711,kamailio,chatafl,1,nodes,5
1772182711,kamailio,chatafl,1,edges,9
1772182726,kamailio,chatafl,1,nodes,5
1772182726,kamailio,chatafl,1,edges,9
1772182731,kamailio,chatafl,1,nodes,5
1772182731,kamailio,chatafl,1,edges,9
1772182736,kamailio,chatafl,1,nodes,5
1772182736,kamailio,chatafl,1,edges,9
1772182752,kamailio,chatafl,1,nodes,5
1772182752,kamailio,chatafl,1,edges,9
1772182762,kamailio,chatafl,1,nodes,5
1772182762,kamailio,chatafl,1,edges,9
1772182767,kamailio,chatafl,1,nodes,5
1772182767,kamailio,chatafl,1,edges,9
1772182782,kamailio,chatafl,1,nodes,5
1772182782,kamailio,chatafl,1,edges,9
1772182803,kamailio,chatafl,1,nodes,5
1772182803,kamailio,chatafl,1,edges,9
1772182818,kamailio,chatafl,1,nodes,5
1772182818,kamailio,chatafl,1,edges,9
1772182823,kamailio,chatafl,1,nodes,5
1772182823,kamailio,chatafl,1,edges,9
1772182839,kamailio,chatafl,1,nodes,6
1772182839,kamailio,chatafl,1,edges,12
1772182844,kamailio,chatafl,1,nodes,6
1772182844,kamailio,chatafl,1,edges,13
1772182849,kamailio,chatafl,1,nodes,6
1772182849,kamailio,chatafl,1,edges,15
1772182854,kamailio,chatafl,1,nodes,6
1772182854,kamailio,chatafl,1,edges,16
1772182859,kamailio,chatafl,1,nodes,6
