time,subject,fuzzer,run,cov_type,cov
1772330561,kamailio,aflnet,1,l_per,5.3
1772330561,kamailio,aflnet,1,l_abs,12484
1772330561,kamailio,aflnet,1,b_per,1.0
1772330561,kamailio,aflnet,1,b_abs,5823
1772330561,kamailio,aflnet,1,l_per,5.4
1772330561,kamailio,aflnet,1,l_abs,12891
1772330561,kamailio,aflnet,1,b_per,1.1
1772330561,kamailio,aflnet,1,b_abs,6095
1772330565,kamailio,aflnet,1,l_per,5.5
1772330565,kamailio,aflnet,1,l_abs,12975
1772330565,kamailio,aflnet,1,b_per,1.1
1772330565,kamailio,aflnet,1,b_abs,6218
1772330572,kamailio,aflnet,1,l_per,5.5
1772330572,kamailio,aflnet,1,l_abs,12996
1772330572,kamailio,aflnet,1,b_per,1.1
1772330572,kamailio,aflnet,1,b_abs,6246
1772330574,kamailio,aflnet,1,l_per,5.5
1772330574,kamailio,aflnet,1,l_abs,12997
1772330574,kamailio,aflnet,1,b_per,1.1
1772330574,kamailio,aflnet,1,b_abs,6247
1772330576,kamailio,aflnet,1,l_per,5.5
1772330576,kamailio,aflnet,1,l_abs,12999
1772330576,kamailio,aflnet,1,b_per,1.1
1772330576,kamailio,aflnet,1,b_abs,6256
1772330583,kamailio,aflnet,1,l_per,5.5
1772330583,kamailio,aflnet,1,l_abs,13000
1772330583,kamailio,aflnet,1,b_per,1.1
1772330583,kamailio,aflnet,1,b_abs,6265
1772330585,kamailio,aflnet,1,l_per,5.5
1772330585,kamailio,aflnet,1,l_abs,13014
1772330585,kamailio,aflnet,1,b_per,1.1
1772330585,kamailio,aflnet,1,b_abs,6277
1772330592,kamailio,aflnet,1,l_per,5.5
1772330592,kamailio,aflnet,1,l_abs,13014
1772330592,kamailio,aflnet,1,b_per,1.1
1772330592,kamailio,aflnet,1,b_abs,6281
1772330600,kamailio,aflnet,1,l_per,5.5
1772330600,kamailio,aflnet,1,l_abs,13016
1772330600,kamailio,aflnet,1,b_per,1.1
1772330600,kamailio,aflnet,1,b_abs,6283
1772330601,kamailio,aflnet,1,l_per,5.5
1772330601,kamailio,aflnet,1,l_abs,13018
1772330601,kamailio,aflnet,1,b_per,1.1
1772330601,kamailio,aflnet,1,b_abs,6285
1772330603,kamailio,aflnet,1,l_per,5.5
1772330603,kamailio,aflnet,1,l_abs,13028
1772330603,kamailio,aflnet,1,b_per,1.1
1772330603,kamailio,aflnet,1,b_abs,6310
1772330605,kamailio,aflnet,1,l_per,5.5
1772330605,kamailio,aflnet,1,l_abs,13028
1772330605,kamailio,aflnet,1,b_per,1.1
1772330605,kamailio,aflnet,1,b_abs,6310
1772330606,kamailio,aflnet,1,l_per,5.5
1772330606,kamailio,aflnet,1,l_abs,13028
1772330606,kamailio,aflnet,1,b_per,1.1
1772330606,kamailio,aflnet,1,b_abs,6310
1772330608,kamailio,aflnet,1,l_per,5.5
1772330608,kamailio,aflnet,1,l_abs,13047
1772330608,kamailio,aflnet,1,b_per,1.1
1772330608,kamailio,aflnet,1,b_abs,6354
1772330610,kamailio,aflnet,1,l_per,5.5
1772330610,kamailio,aflnet,1,l_abs,13107
1772330610,kamailio,aflnet,1,b_per,1.1
1772330610,kamailio,aflnet,1,b_abs,6405
1772330611,kamailio,aflnet,1,l_per,5.5
1772330611,kamailio,aflnet,1,l_abs,13133
1772330611,kamailio,aflnet,1,b_per,1.1
1772330611,kamailio,aflnet,1,b_abs,6429
1772330613,kamailio,aflnet,1,l_per,5.5
1772330613,kamailio,aflnet,1,l_abs,13135
1772330613,kamailio,aflnet,1,b_per,1.1
1772330613,kamailio,aflnet,1,b_abs,6432
1772330620,kamailio,aflnet,1,l_per,5.5
1772330620,kamailio,aflnet,1,l_abs,13135
1772330620,kamailio,aflnet,1,b_per,1.1
1772330620,kamailio,aflnet,1,b_abs,6432
1772330622,kamailio,aflnet,1,l_per,5.6
1772330622,kamailio,aflnet,1,l_abs,13156
1772330622,kamailio,aflnet,1,b_per,1.1
1772330622,kamailio,aflnet,1,b_abs,6472
1772330624,kamailio,aflnet,1,l_per,5.6
1772330624,kamailio,aflnet,1,l_abs,13156
1772330624,kamailio,aflnet,1,b_per,1.1
1772330624,kamailio,aflnet,1,b_abs,6474
1772330626,kamailio,aflnet,1,l_per,5.6
1772330626,kamailio,aflnet,1,l_abs,13159
1772330626,kamailio,aflnet,1,b_per,1.1
1772330626,kamailio,aflnet,1,b_abs,6481
1772330627,kamailio,aflnet,1,l_per,5.6
1772330627,kamailio,aflnet,1,l_abs,13165
1772330627,kamailio,aflnet,1,b_per,1.1
1772330627,kamailio,aflnet,1,b_abs,6491
1772330629,kamailio,aflnet,1,l_per,5.6
1772330629,kamailio,aflnet,1,l_abs,13165
1772330629,kamailio,aflnet,1,b_per,1.1
1772330629,kamailio,aflnet,1,b_abs,6491
1772330632,kamailio,aflnet,1,l_per,5.6
1772330632,kamailio,aflnet,1,l_abs,13165
1772330632,kamailio,aflnet,1,b_per,1.1
1772330632,kamailio,aflnet,1,b_abs,6491
1772330633,kamailio,aflnet,1,l_per,5.6
1772330633,kamailio,aflnet,1,l_abs,13204
1772330633,kamailio,aflnet,1,b_per,1.1
1772330633,kamailio,aflnet,1,b_abs,6509
1772330636,kamailio,aflnet,1,l_per,5.6
1772330636,kamailio,aflnet,1,l_abs,13222
1772330636,kamailio,aflnet,1,b_per,1.2
1772330636,kamailio,aflnet,1,b_abs,6526
1772330637,kamailio,aflnet,1,l_per,5.6
1772330637,kamailio,aflnet,1,l_abs,13243
1772330637,kamailio,aflnet,1,b_per,1.2
1772330637,kamailio,aflnet,1,b_abs,6547
1772330639,kamailio,aflnet,1,l_per,5.6
1772330639,kamailio,aflnet,1,l_abs,13244
1772330639,kamailio,aflnet,1,b_per,1.2
1772330639,kamailio,aflnet,1,b_abs,6549
1772330640,kamailio,aflnet,1,l_per,5.6
1772330640,kamailio,aflnet,1,l_abs,13245
1772330640,kamailio,aflnet,1,b_per,1.2
1772330640,kamailio,aflnet,1,b_abs,6550
1772330642,kamailio,aflnet,1,l_per,5.6
1772330642,kamailio,aflnet,1,l_abs,13253
1772330642,kamailio,aflnet,1,b_per,1.2
1772330642,kamailio,aflnet,1,b_abs,6574
1772330644,kamailio,aflnet,1,l_per,5.6
1772330644,kamailio,aflnet,1,l_abs,13253
1772330644,kamailio,aflnet,1,b_per,1.2
1772330644,kamailio,aflnet,1,b_abs,6575
1772330645,kamailio,aflnet,1,l_per,5.6
1772330645,kamailio,aflnet,1,l_abs,13253
1772330645,kamailio,aflnet,1,b_per,1.2
1772330645,kamailio,aflnet,1,b_abs,6575
1772330647,kamailio,aflnet,1,l_per,5.6
1772330647,kamailio,aflnet,1,l_abs,13275
1772330647,kamailio,aflnet,1,b_per,1.2
1772330647,kamailio,aflnet,1,b_abs,6620
1772330649,kamailio,aflnet,1,l_per,5.6
1772330649,kamailio,aflnet,1,l_abs,13275
1772330649,kamailio,aflnet,1,b_per,1.2
1772330649,kamailio,aflnet,1,b_abs,6620
1772330650,kamailio,aflnet,1,l_per,5.6
1772330650,kamailio,aflnet,1,l_abs,13280
1772330650,kamailio,aflnet,1,b_per,1.2
1772330650,kamailio,aflnet,1,b_abs,6632
1772330652,kamailio,aflnet,1,l_per,5.6
1772330652,kamailio,aflnet,1,l_abs,13280
1772330652,kamailio,aflnet,1,b_per,1.2
1772330652,kamailio,aflnet,1,b_abs,6633
1772330654,kamailio,aflnet,1,l_per,5.6
1772330654,kamailio,aflnet,1,l_abs,13280
1772330654,kamailio,aflnet,1,b_per,1.2
1772330654,kamailio,aflnet,1,b_abs,6633
1772330655,kamailio,aflnet,1,l_per,5.6
1772330655,kamailio,aflnet,1,l_abs,13280
1772330655,kamailio,aflnet,1,b_per,1.2
1772330655,kamailio,aflnet,1,b_abs,6634
1772330657,kamailio,aflnet,1,l_per,5.6
1772330657,kamailio,aflnet,1,l_abs,13290
1772330657,kamailio,aflnet,1,b_per,1.2
1772330657,kamailio,aflnet,1,b_abs,6646
1772330659,kamailio,aflnet,1,l_per,5.6
1772330659,kamailio,aflnet,1,l_abs,13304
1772330659,kamailio,aflnet,1,b_per,1.2
1772330659,kamailio,aflnet,1,b_abs,6657
1772330661,kamailio,aflnet,1,l_per,5.6
1772330661,kamailio,aflnet,1,l_abs,13307
1772330661,kamailio,aflnet,1,b_per,1.2
1772330661,kamailio,aflnet,1,b_abs,6658
1772330663,kamailio,aflnet,1,l_per,5.6
1772330663,kamailio,aflnet,1,l_abs,13310
1772330663,kamailio,aflnet,1,b_per,1.2
1772330663,kamailio,aflnet,1,b_abs,6669
1772330665,kamailio,aflnet,1,l_per,5.6
1772330665,kamailio,aflnet,1,l_abs,13317
1772330665,kamailio,aflnet,1,b_per,1.2
1772330665,kamailio,aflnet,1,b_abs,6688
1772330667,kamailio,aflnet,1,l_per,5.6
1772330667,kamailio,aflnet,1,l_abs,13317
1772330667,kamailio,aflnet,1,b_per,1.2
1772330667,kamailio,aflnet,1,b_abs,6691
1772330669,kamailio,aflnet,1,l_per,5.6
1772330669,kamailio,aflnet,1,l_abs,13320
1772330669,kamailio,aflnet,1,b_per,1.2
1772330669,kamailio,aflnet,1,b_abs,6700
1772330672,kamailio,aflnet,1,l_per,5.6
1772330672,kamailio,aflnet,1,l_abs,13324
1772330672,kamailio,aflnet,1,b_per,1.2
1772330672,kamailio,aflnet,1,b_abs,6715
1772330673,kamailio,aflnet,1,l_per,5.6
1772330673,kamailio,aflnet,1,l_abs,13329
